accession,source_list,title,study_type,description,sample_count,assay_count,experimental_designs,experimental_factors,organism,developmental_stage,organism_part,disease,disease_state_or_staging,cell_type_or_line,clinical_or_familial,treatment_or_compound,quality_controls,technology,assay_by_molecule
E-MTAB-8635,als-ftd-screened,Gene expression profiles in spinal cord of control and sporadic Amyotrophic Lateral Sclerosis patients,transcription profiling by array,We performed gene expression profiles of spinal cord samples of ALS patients (30) and controls (10) in order to obtain transcriptomics information belonging to different brain regions of ALS patients. Motor cortex gene expression profiles of the same patients were previously submitted (E-MTAB-2325) and published.,40,40,Experimental Designs: case control design,Experimental Factors: disease,Homo sapiens,adult,first lumbar spinal cord segment,sporadic amyotrophic lateral sclerosis; normal,,,,,,Array assay,RNA assay
E-MTAB-4964,als-ftd-screened,Microenvironment-driven resistance to B-Raf inhibition in a melanoma patient is accompanied by broad changes of gene methylation and expression in distal fibroblasts. Transcriptomic study.,transcription profiling by array,"In this study, we compared gene expression and genome methylation of diverse fibroblast populations from a patient suffering from acrolentiginous melanoma (Breslow 4.0 mm, Clark IV, B-Raf V600E mutated). Stromal cells from the metastasis, i.e., melanoma associated fibroblasts (MAF), were positive for smooth muscle actin (SMA). Autologous control fibroblasts (ACF) isolated from distant uninvolved skin of the same patient during B-Raf inhibitor therapy and before clinical progression of the disease exhibited also strong SMA expression. Similar phenotype was observed in control dermal fibroblasts (CDF) from different donors yet exclusively after stimulation by TGF-Î²1. The identified differences in gene transcription as well as in DNA methylation indicate systemic activation of dermal fibroblasts in a patient with malignant melanoma. This dataset contains transcription profiling data, complementary methylation profiling data are available under accession E-MTAB-4965.",8,8,Experimental Designs: cell type comparison design,"Experimental Factors: cell type, individual, disease",Homo sapiens,,dermis,acrolentiginous melanoma; normal,,"Cell type: control dermal fibroblast, melanoma associated fibroblast of dermis, autologous control fibroblast of dermis; cell type: autologous control fibroblast of dermis, melanoma associated fibroblast of dermis, control dermal fibroblast",,,,Array assay,RNA assay
E-MTAB-6189,als-ftd-screened,Differential gene expression study in brain samples from patients suffering distinct frontotemporal lobar degeneration (FTLD) conditions.,transcription profiling by array,"RNA extracted from human frontal cortex area 8, the main area afected in FTLD, of controls (n=10), sporadic FTLD-TDP (sFTLD) (n=10) and C9ORF72-familial FTLD (fFTLD) (n=10) samples were analyzed using the Affymetrix Clariom™ D Assay, human (Affymetrix ref.902923). The present study identifies the main gene deregulation between sporadic forms of FTLD-TDP (sFTLD) and the major and most common genetic cause of FTLD, the C9ORF72 repeat expansion (fFTLD), when compare with control samples.",30,30,Experimental Designs: disease state design,Experimental Factors: disease,Homo sapiens,,Brodman (1909) area 8,normal; sporadic frontotemporal lobar degeneration; familial frontotemporal lobar degeneration,,,"Clinical information: postmortem delay 05 h 00 min, postmortem delay 12 h 00 min, postmortem delay 16 h 00 min, postmortem delay 07 h 15 min, postmortem delay 05 h 20 min, postmortem delay 18 h 00 min, postmortem delay 06 h 40 min, postmortem delay 03 h 45 min, postmortem delay 11 h 00 min, postmortem delay 04 h 40 min, postmortem delay 08 h 05 min, postmortem delay 03 h 15 min, postmortem delay 11 h 30 min, postmortem delay 17 h 30 min, postmortem delay 03 h 40 min, ... 11 other values; clinical information: postmortem delay 18 h 00 min, postmortem delay 02 h 45 min, postmortem delay 03 h 40 min, postmortem delay 06 h 40 min, postmortem delay 05 h 15 min, postmortem delay 08 h 05 min, postmortem delay 03 h 35 min, postmortem delay 05 h 20 min, postmortem delay 03 h 45 min, postmortem delay 04 h 40 min, postmortem delay 05 h 00 min, postmortem delay 07 h 39 min, postmortem delay 13 h 00 min, postmortem delay 08 h 00 min, postmortem delay 04 h 00 min, postmortem delay 15 h 15 min, postmortem delay 03 h 15 min, postmortem delay 07 h 15 min, postmortem delay 17 h 30 min, postmortem delay 11 h 00 min, postmortem delay 09 h 15 min, postmortem delay 11 h 30 min, postmortem delay 16 h 00 min, postmortem delay 12 h 00 min, postmortem delay 15 h 00 min, postmortem delay 05 h 45 min",,,Array assay,RNA assay
E-GEOD-59128,als-ftd-screened,The human airway epithelial basal cell transcriptome in the early response to injury,transcription profiling by array,"Background: Basal cells within the human airway epithelium constitute the stem/progenitor cells for other epithelial cell types. Basal cells respond to mucosal injury and damage to the airway mucosa in an ordered sequence of spreading, migration, proliferation and phenotype shifting (differentiation) to other needed cell types. However, dynamic gene transcription in the early events of injury and repair has not been examined in these cells. Methodology and findings: Airway epithelial cells were obtained from donated lungs and grown in submersion culture on pliable membranes to obtain a pure population of basal cells. Microarrays were used to assess the transcriptome of basal cells 8 and 24 hr after mechanical injury (MI), or to cyclic stretch (CS) in a Flexcell system (0.5 Hz, 20% distension), or both treatments. We identified 121 signature genes with > 2-fold higher differential expression (DE) 8 hr after MI; expression of nearly all of these genes returned to baseline at 24 hr after injury. In cells subjected to CS, little change in DE was noted at 8 hr, whereas at 24 hr a CS signature of 1430 DE genes were identified. The MI signature was characterized by genes encoding growth factor receptors related to the EGF pathway, IL-6, IL-8 and IL-33, extracellular matrix components, and NF-kB and p38-MAPK signaling pathways, whereas the CS signature was characterized by a broad range of genes that did not identify specific signaling pathways. Combined MI and CS at 8 hr elicited DE of down-regulated genes not seen with either stimulus alone, and at 24 hr elicited DE that was similar to that seen with CS alone. Conclusion and significance: The human airway basal epithelial cell transcription signature in the first hours after MI, after CS, and after both stimuli identifies unique differentially expressed genes and pathways that may be important in the early molecular response and biology to airway injury. Total RNA obtained from primary (AEC) and differentiated (dAEC) human airway epithelial cells subjected to 8 or 24 hours in vitro mechanical or cyclic stretch or both injuries compared to sham control as well as to type of injury. Cells were collected from four donated lungs and cultured separated in submission or air liquid interface condition prior to injury for various durations.",80,80,,"Experimental Factors: injury type, cell line id, culture condition, cell type, injury duration",Homo sapiens,,,,,"Cell type: differentiated airway epithelial cells (dAEC), primary airway epithelial cells (AEC); cell type: differentiated airway epithelial cells (dAEC), primary airway epithelial cells (AEC)",,,,Array assay,RNA assay
E-GEOD-68240,als-ftd-screened,hiPSC-derived motor neurons: sporadic ALS patients vs. controls,transcription profiling by array,"Differentiated motor neurons from hiPSC derived from peripheral nerve fibroblasts of sporadic ALS patients and evaluated the gene expression profile by means microarray-linked to specific analysis tools. Two-condition experiment, ALS patients motor neurons vs. controls. Biological replicates: 3 ALS replicates, 3 control replicates.",12,6,,Experimental Factors: disease state,Homo sapiens,,,control; ALS; not specified,"Disease state: control, ALS, not specified; disease state: ALS, not specified, control",Cell line: HEK 293; Cell type: Fibroblasts from peripheral nerve; cell type: Fibroblasts from peripheral nerve; cell line: HEK 293,,,,Array assay,RNA assay
E-GEOD-60082,als-ftd-screened,Effective sorafenib treatment response in a panel of genomically-characterized malignant peripheral nerve sheath tumor orthoxenograft models,transcription profiling by array,"Background: Malignant peripheral nerve sheath tumors (MPNST) are soft-tissue sarcomas that can arise either sporadically or in association with neurofibromatosis type 1 (NF1). These aggressive malignancies confer poor survival, with no effective therapy available. Methods: We generated five patient-derived MPNST orthoxenograft models (three NF1-related and two sporadic) and performed an exhaustive histological and molecular characterization of primary MPNSTs and their corresponding orthoxenografts. Finally, orthoxenografts models were used as an in vivo pre-clinical platform to test several treatment strategies. Results: MPNST orthoxenografts recapitulate the histopathological properties and preserve the genomic and transcriptomic status of their parental primary tumors. Additionally, they mimic distal dissemination properties in mice. Compatible with an origin in a catastrophic event and subsequent stabilization, MPNSTs contained highly altered genomes that remained remarkably stable in orthoxenograft establishment and along passages. Although preliminary, the results presented here point to clear differences between NF1-associated and sporadic MPNSTs. In accordance, mutation frequency in sporadic MPNSTs was an order of magnitude higher than in NF1-associated MPNSTs and unsupervised cluster analysis and principal component analysis (PCA) using a MPNST signature perfectly divided the samples between NF1 and sporadic MPNST. Finally, different therapeutic approaches tested in the validated orthoxenograft MPNST models, reveal that sorafenib, or in combination with doxorubicin or rapamycin caused a great tumor reduction in all models. Conclusion: The development of a well-characterized and standardized preclinical model for MPNSTs has laid the foundations for evaluating novel therapeutic strategies in the clinical setting. Moreover, results obtained strongly support the clinical evaluation of Sorafenib in this subset of patients. Primary MPNSTs were implanted in the sciatic nerve of nude mices to create orthoxenograft MPNST models. Several orthoxenograft passages were created. The primary tumor (when available) and passages 1 and 4 were selected for gene expression profiling to demonstrate that the orthoxenografts closely resemble their primary tumors and are stable along xenograft passages.",12,12,,"Experimental Factors: sample type, nf1-associated, passage, original tumor",nude mouse; Homo sapiens,,,,,,,,,Array assay,RNA assay
E-GEOD-67527,als-ftd-screened,Gene expression comparison between fibroblasts samples of control and SPOAN affected patients,transcription profiling by array,"Objective: Analyze expression patterns of genes located at linkage region of SPOAN syndrome (11q12-13), in order to identify genes differentially expressed in samples of SPOAN individuals compared to healthy controls. Fibroblast samples of 8 samples where analyzed: 4 SPOAN affected patients and 4 healthy controls. There are no replicates and there are not affected and control from the same patient.",8,8,,Experimental Factors: cell type,Homo sapiens,,Skin fibroblast,,,"Cell type: Healthy, SPOAN (spastic paraplegia, optic atrophy, and neuropathy) syndrome; cell type: Healthy, SPOAN (spastic paraplegia, optic atrophy, and neuropathy) syndrome",,,,Array assay,RNA assay
E-MTAB-2325,als-ftd-screened,Gene expression profiles in motor cortex of Control and Sporadic Amyotrphic Lateral Sclerosis patients,transcription profiling by array,Threshold: 1.0 . Logbase: 2 . Technology: Generic.SingleColor.014850. Normalization: Shift to 75 percentile . Baseline Transformation: median of all samples .,41,41,"Experimental Designs: case control design, clinical history design","Experimental Factors: age at death, disease, Survival characteristics, Survival time from date of onset (months), Post-mortem interval in hours, Location of onset, Occupation (job), Smoker or non smoker, Alchool use or not, Other pathologies, Therapy used, Vaccination boost, Familial anamnesis",Homo sapiens,,v4 cortex,normal; Sporadic Amyotrophic Lateral Sclerosis,,,"Familial anamnesis: Mother died of cancer, Husband died in 13-03-1986 in Switserland of ALS. A nephew of mother's side was paralyzed, Father died of heart attack., father died at the age of 49 of hart disease and mother suffered of hypertension, Several cases of Alzheimer in his mother's family, A son with asthma bronchiale. Brother with back problems., ""brother MS, daughter handicapped"", ""Mother died of cancer, father of consequences tentamen suicidii"", father died in 1987 of brain tumor and had spinal cord tumors and intestine polyps, A sister of her mother had MS and died after an ilness period of 10 years at the age of 68, n/a, sister with morbus Reckinhhausen, ""A sister had leukemia, whereas an uncle had Parkinson""",,,Array assay,RNA assay
E-GEOD-40807,als-ftd-screened,MiRNA expression profiling in human medullary thyroid carcinoma,transcription profiling by array,"This study aims to investigate the microRNA profile in human medullary carcinoma tissue by microarray analysis and RT-qPCR. Matched tumor and adjacent normal tissue were obtained from 24 patients and analysed using human microRNA Microarray Kit Agilent, Differentially expressed miRNAs were validated by RT-qPCR using 37 other tumors samples (validation set), Associations of microRNA expression with clinicopathological items were studied Matched tumor and adjacent normal frozen tissues were obtained from thyroid of 40 patients. Normal tissue (name with suffix S) and lesionnal tissue (name with suffix L) were hybridized on microarray.",80,80,,"Experimental Factors: tissue type, sample id, ret mutation, age, sex",Homo sapiens,,thyroid,,,,,,,Array assay,RNA assay
E-GEOD-44721,als-ftd-screened,IL4 DCs and monocytes stimulated by 13 human vaccines and LPS for 6hr,transcription profiling by array,"While dendritic cells (DCs) are known to play a major role in the process of vaccination, the mechanisms by which vaccines induce protective immunity in humans remain elusive. Herein, we used gene microarrays to characterize the transcriptional programs induced over time in human monocyte-derived DCs (moDCs) in vitro in response to influenza H1N1 Brisbane, Salmonella enterica and Staphylococcus aureus. We built a data-driven modular analytical framework focused on 204 pathogen-induced gene clusters. The expression of these modules was analyzed in response to 16 well-defined ligands, targeting TLRs, cytoplasmic PAMP receptors and cytokine receptors. This multi-dimensional framework covers the major biological functions of APC, including the IFN response, inflammation, DC maturation, T cell activation, antigen processing, cell motility and histone regulation. This framework was used to characterize the response of monocytes and moDCs to 14 commercially available vaccines. These vaccines displayed quantitatively and qualitatively distinct modular signatures in monocytes and DCs, in particular Fluzone and Pneumovax, highlighting the functional and phenotypic differences between APC subsets. This modular framework allows the application of systems immunology approaches to study early transcriptional changes in human APC subsets in response to pathogens and vaccines, which might guide the development of improved vaccines. 64 samples of IL4 DC, and 64 samples of monocytes stimulated by media (controls, designated 1 and 2 to indicate biological replicates), Menomune (Neisseiria meningitis vaccine, MGL), Fluzone 09-10 (Influenza vaccine, FZ), Havrix (Hepatitis A vaccine, HEPA), Ixiaro (Japanese encephalitis vaccine, JPE), ActHib (Haemophilus influenza vaccine, HIB) and Pneumovax (Pneumococcus vaccine, PVX), Engerix-B (Hepatitis B vaccine, HEPB), Zostavax (Herpes Zoster vaccine, HER), and Gardasil (Human Papilloma virus vaccine, HPV), LPS, Ipol (Polio vaccine, POL), Rabies vaccine (RAB), toxoid-based vaccine (TDAP), Varivax (Varicella vaccine, VAR)",128,128,,"Experimental Factors: concentration, culture conditions, cell population, donor id",Homo sapiens,,,,,,,,,Array assay,RNA assay
