accession,source_list,title,study_type,description,sample_count,assay_count,experimental_designs,experimental_factors,organism,developmental_stage,organism_part,disease,disease_state_or_staging,cell_type_or_line,clinical_or_familial,treatment_or_compound,quality_controls,technology,assay_by_molecule
E-MTAB-7852,alzheimer-screened,Cultures of hiPS cells and their differentiation into neuronal cells,transcription profiling by array,"In order to identify endogenous factors that modulate Aβ production, we performed a transcriptome analysis on neuronal cells derived from human induced pluripotent stem cells (hiPS) because these cells changed the Aβ production during neuronal differentiation. When the expression of APP and the ratio Aβ42/40 of the secreted proteins were measured at days 38, 45, and 52 during differentiation, both APP expression and the secretion of Aβ40 and Aβ42 at days 45 and 52 were significantly increased compared to those at day 38. Furthermore, the ratio of Aβ42/40 was dramatically reduced at days 45 and 52 compared to that at day 38. We hypothesized that transcriptional changes during the differentiation into neuronal cells may affect APP production and/or processing. To test this hypothesis, we performed microarray analyses using three independent neuronal cell cultures that were differentiated from each of three hiPS cells, namely 201B7, 253G4, and AD4F-1 (nine cell lines in total). Total RNA was prepared at three differentiation time points (days 38, 45, and 52) and subjected to an Affymetrix Gene Chip Human Exon 1.0 ST array. Compare between samples from 38-day cultures and samples from 45- and 52-day cultures.",27,27,"Experimental Designs: disease state design, development or differentiation design","Experimental Factors: time, disease, cell line",Homo sapiens,,,normal; Alzheimer disease,,"Cell line: 201B7, 253G4, AD4F-1; cell line: AD4F-1, 201B7, 253G4; Cell type: induced pluripotent stem cell",,,,Array assay,RNA assay
E-MTAB-8283,alzheimer-screened,"miRNA PCR Array of cortex tissue from Alzheimer disease (AD), high pathological control (HPC) and normal (CTL)subjects",Human - One-color microarray,"These data assess the levels of microRNAs via miRNA array in brain tissue from control, high pathological controls, and Alzheimer disease subjects curated from the Rush cohort",15,15,Experimental Designs: disease state design,Experimental Factors: disease staging,Homo sapiens,adult,brain,high-pathological control; Alzheimer's disease; normal,"Disease staging: high-pathological control, Alzheimer's disease, normal; disease staging: Alzheimer's disease, normal, high-pathological control",,"Clinical information: low neurofibrillary tangles and no neuritic plaques, intermediate neurofibrillary tangles and low neuritic plaques, low neurofibrillary tangles and low neuritic plaques; clinical information: low neurofibrillary tangles and low neuritic plaques, low neurofibrillary tangles and no neuritic plaques, intermediate neurofibrillary tangles and low neuritic plaques",,,Array assay,RNA assay
E-MTAB-6094,alzheimer-screened,Whole genome transcriptional analysis of Alzheimer's disease patients compared with age-matched non-demented controls,transcription profiling by array,"Alzheimer’s disease (AD) is an aging related neurodegenerative pathology that affects millions of people worldwide. This pathology has been related to a range of features such as deposition of proteins in the brain, alterations in cell cycle, accumulation of DNA damage, DNA repair deficiency and mitochondrial dysfunction, however the molecular mechanisms implicated in its pathogenesis are still uncertain. Thereby, the present study aimed to evaluate whether peripheral blood mononuclear cells (PBMCs) of AD patients display alterations in gene expression profilescompared to age-matched controls. Blood samples were collected from 25 AD patients and 15 age-matched controls in order to perform genome-wide mRNA expression (microarray). In blood cells, Rank products bioinformatics analysis indicated 593 mRNAs adifferentially expressed in AD compared to controls. Our results demonstrated that PBMCs have alterations in cell cycle and DNA repair as proposed for AD neurons, reinforcing the idea that AD blood cells can provide information about AD status and also can be import as source of studies to better understand the disease.",35,35,,"Experimental Factors: disease, disease staging",Homo sapiens,,blood,Alzheimers disease; normal; clinical dementia rate 1; clinical dementia rate 3; not applicable,"Disease staging: clinical dementia rate 1, clinical dementia rate 3, not applicable; disease staging: not applicable, clinical dementia rate 3, clinical dementia rate 1",Cell type: mononuclear cell,,,,Array assay,RNA assay
E-MTAB-2325,alzheimer-screened,Gene expression profiles in motor cortex of Control and Sporadic Amyotrphic Lateral Sclerosis patients,transcription profiling by array,Threshold: 1.0 . Logbase: 2 . Technology: Generic.SingleColor.014850. Normalization: Shift to 75 percentile . Baseline Transformation: median of all samples .,41,41,"Experimental Designs: case control design, clinical history design","Experimental Factors: age at death, disease, Survival characteristics, Survival time from date of onset (months), Post-mortem interval in hours, Location of onset, Occupation (job), Smoker or non smoker, Alchool use or not, Other pathologies, Therapy used, Vaccination boost, Familial anamnesis",Homo sapiens,,v4 cortex,normal; Sporadic Amyotrophic Lateral Sclerosis,,,"Familial anamnesis: Mother died of cancer, Husband died in 13-03-1986 in Switserland of ALS. A nephew of mother's side was paralyzed, Father died of heart attack., father died at the age of 49 of hart disease and mother suffered of hypertension, Several cases of Alzheimer in his mother's family, A son with asthma bronchiale. Brother with back problems., ""brother MS, daughter handicapped"", ""Mother died of cancer, father of consequences tentamen suicidii"", father died in 1987 of brain tumor and had spinal cord tumors and intestine polyps, A sister of her mother had MS and died after an ilness period of 10 years at the age of 68, n/a, sister with morbus Reckinhhausen, ""A sister had leukemia, whereas an uncle had Parkinson""",,,Array assay,RNA assay
E-MTAB-1841,alzheimer-screened,"Transcription profiling of SH-SY5Y cells after treatment with soluble Abeta42_wt, Abeta42_G33A and Abeta40 for different timepoints",transcription profiling by array,"Although amyloid-beta42 (Abeta42) has long been implicated in the pathogenesis of Alzheimer disease (AD), the biological basis of its effects remains uncertain. Intraneuronal Abeta accumulation in brains of patients with AD or Down syndrome, in animal models, and in cultured cells has suggested an early pathophysiological role specific for intracellular Abeta40 and Abeta42. As a consequence of intraneuronal oligomerization, cell death can result from ER stress, endosomal/lysosomal leakage, and mitochondrial dysfunction. A possible nuclear role of intraneuronal Abeta has remained unexplored so far. We here study the role of intranuclear Abeta40 versus Abeta42 and Abeta42_G33A, and an untreated vehicle control in synchronized SH-SY5Y cells. RNA samples for microarray gene expression profiling were collected at t=0, 2, 6, 8 and 12 hours after incubation with Abeta40, Abeta42 and Abeta42_G33A peptides, respectively.'",80,80,"Experimental Designs: compound_treatment_design, time_series_design, in_vitro_design, co-expression_design","Experimental Factors: compound, time",Homo sapiens,,,,,Cell line: SH-SY5Y; Cell type: neuroblastoma,,"Compound: Abeta peptide 40, vehicle control, Abeta peptide 42, Abeta peptide 42_G33A; compound: Abeta peptide 42, Abeta peptide 42_G33A, Abeta peptide 40, vehicle control",Quality Controls: technical replicate,Array assay,RNA assay
E-GEOD-38652,alzheimer-screened,In vitro responses of fibroblasts from patients with TBK1 deficiency after TLR3 dependent and independent stimuli,transcription profiling by array,"We report here two unrelated HSE patients carrying different heterozygous mutations (D50A and G159A) in TBK1, the gene encoding TANK-binding kinase 1, a kinase at the crossroads of multiple IFN-inducing signaling pathways. Both mutant TBK1 alleles are loss-of-function, but through different mechanisms: protein instability (D50A) or a loss of kinase activity (G159A). Both are also associated with an autosomal dominant (AD) trait, but by different mechanisms: haplotype-insufficiency (D50A) or negative dominance (G159A). A defect in poly(I:C)-induced TLR3 responses can be detected in fibroblasts heterozygous for G159A, but not for D50A TBK1. Skin fibroblast cell lines were derived from healthy controls (n=3), patients with deficiencies for TBK1 (n=2), TLR3 (n=2), STAT1 (n=1) and cultured for 2 or 8 hours in the presence of IFNa (105 IU/ml), IL1b (20ng/ml), or poly I:C (25ug/ml) or left unstimulated for the same length of time.",58,,,"Experimental Factors: CONCENTRATION, STIMULATION, TIMEPOINTS, SEX",Homo sapiens,,,,,,,,,Array assay,RNA assay
E-GEOD-30951,alzheimer-screened,Complete TLR3 deficiency,transcription profiling by array,"The objective of this study is to study the Toll-like receptor 3 (TLR3)-dependent gene expression in human fibroblast cells and peripheral blood mononuclear cells (PBMCs) Fibroblast cells and PBMCs from donors with autosomal recessive (AR) complete TLR3 deficiency and autosomal dominant (AD) partial TLR3 deficiency were collected for microarray analysis to measure the transcriptional responsiveness of TLR3 in fibroblast and PBMCs. A total of 3 healthy controls, 1 AD TLR3-deficient patient, 1 AR TLR3-deficient patient, 1 AR UNC-93B-deficient patient, 1 MyD88 deficient patien were used in this study. The fibroblast cells were cultured in DMEM medium supplemented with 10% fetal calf serum (FCS). The PBMCs were cultured in RPMI medium complemented with 10% FCS. Different kinetics (2 hours and 8 hours) of poly(I:C) (25ug/ml, purchased from Amersham) stimulations were performed, aiming to define TLR3-inducible genes in these human cells. A stimulation of IL-1β (20ng/ml, purchased from R&D system Inc.) was used as a positive activation control with same kinetics of stimulations. A total of one million cells per stimulation were used for fibroblasts, and around 1.5 million cells per stimulation for PBMCs.",44,,,"Experimental Factors: TREATMENT, DISEASE STATE, CELL TYPE",Homo sapiens,,,TLR3-/- Patient; MyD88-/- Patient; UNC93B-/- Patient; Healthy; TLR3+/- Patient,"Disease state: TLR3-/- Patient, MyD88-/- Patient, UNC93B-/- Patient, Healthy, TLR3+/- Patient; DISEASE STATE: TLR3-/- Patient, Healthy, MyD88-/- Patient, UNC93B-/- Patient, TLR3+/- Patient; disease state: TLR3-/- Patient, Healthy, MyD88-/- Patient, UNC93B-/- Patient, TLR3+/- Patient","Cell type: skin fibroblast, PBMC; CELL TYPE: PBMC, skin fibroblast; cell type: PBMC, skin fibroblast",,"Treatment: IL1b 2h, Poly(I:C) 2h, IL1b 8h, Poly(I:C) 8h; TREATMENT: IL1b 8h, IL1b 2h, Poly(I:C) 8h, Poly(I:C) 2h; treatment: IL1b 8h, IL1b 2h, Poly(I:C) 8h, Poly(I:C) 2h",,Array assay,RNA assay
E-GEOD-32390,alzheimer-screened,In vitro responses of PBMC and fibroblasts from patients with TRIF deficiency after TRIF dependent and independent stimuli,transcription profiling by array,"We report here unrelated HSE patients with autosomal recessive (AR) or autosomal dominant (AD) TRIF deficiency. The AR form of the disease is due to a homozygous nonsense mutation, resulting in a complete absence of the TRIF protein. Both the TLR3 and the TRIF-dependent TLR4 signaling pathways are abolished. The AD form of TRIF deficiency is due to a heterozygous missense mutation resulting in a dysfunctional protein. The TLR3 signaling pathway is impaired, whereas the TRIF-dependent TLR4 pathway is unaffected. Both patients however showed reduced capacity to respond to cytosolic double stranded RNA, consistent with recent reports of TRIF’s involvement in the DExD/H-box helicases pathway. Skin fibroblast cell lines were derived from healthy controls (n=3), patient with deficiencies for TRIF (n=1), MYD88 (n=1), and TLR3 (n=1) and cultured for 4 hours in the presence of IL1B (20ng/ml) or poly I:C (25ng/ml) or left unstimulated for the same length of time. PBMCs (previously frozen) collected from a healthy control (n=1) and patients with deficiencies for TRIF (n=1), and MYD88 (n=1) were cultured together with LPS (10ng/ml) or R848 (3ug/ml) for 2hrs or left unstimulated for the same length of time.",27,,,"Experimental Factors: CONCENTRATION, TREATMENT, DISEASE STATE, TIME POINT, CELL TYPE",Homo sapiens,,,herpes simplex virus type 1 (HSV1) encephalitis (HSE) MYD88 deficient patient; herpes simplex virus type 1 (HSV1) encephalitis (HSE) TLR3 deficient patient; herpes simplex virus type 1 (HSV1) encephalitis (HSE) TRIF deficient patient; healthy control,"Disease state: herpes simplex virus type 1 (HSV1) encephalitis (HSE) MYD88 deficient patient, herpes simplex virus type 1 (HSV1) encephalitis (HSE) TLR3 deficient patient, herpes simplex virus type 1 (HSV1) encephalitis (HSE) TRIF deficient patient, healthy control; DISEASE STATE: herpes simplex virus type 1 (HSV1) encephalitis (HSE) MYD88 deficient patient, herpes simplex virus type 1 (HSV1) encephalitis (HSE) TRIF deficient patient, healthy control, herpes simplex virus type 1 (HSV1) encephalitis (HSE) TLR3 deficient patient; disease state: herpes simplex virus type 1 (HSV1) encephalitis (HSE) MYD88 deficient patient, herpes simplex virus type 1 (HSV1) encephalitis (HSE) TRIF deficient patient, healthy control, herpes simplex virus type 1 (HSV1) encephalitis (HSE) TLR3 deficient patient","Cell type: PBMC, Fibroblasts; CELL TYPE: PBMC, Fibroblasts; cell type: PBMC, Fibroblasts",,"Treatment: NS, R848, not specified, LPS, Non stimulated, IL1B; TREATMENT: R848, Non stimulated, LPS, not specified, IL1B, NS; treatment: R848, Non stimulated, LPS, IL1B, NS",,Array assay,RNA assay
E-MTAB-656,alzheimer-screened,Alternative splicing in human temporal cortex,transcription profiling by array,"We analysed changes in transcript levels and alternative splicing in the temporal cortex of individuals of different ages that were cognitively normal, affected by frontotemporal lobar degeneration (FTLD), or affected by Alzheimer's disease (AD). Our experiment's purpose is to provide new insights into the gene expression changes that distinguish healthy aging from neurodegeneration and identify the candidate regulators of alternative splicing that are associated with both processes.",25,,"Experimental Designs: disease_state_design, clinical_history_design, co-expression_design, transcript_identification_design","Experimental Factors: DISEASESTATE, AGE",Homo sapiens,,middle temporal gyrus,Alzheimer's disease; normal; Frontotemporal lobar degeneration,"Diseasestate: Alzheimer's disease, normal, Frontotemporal lobar degeneration; DISEASESTATE: normal, Frontotemporal lobar degeneration, Alzheimer's disease; DiseaseState: normal, Frontotemporal lobar degeneration, Alzheimer's disease",,"Clinicalhistory: sporadic FTLD-TDP, Familial FTLD-TDP with PGRN mutations, cognitively normal, Alzheimer's disease, Familial FTLD with MAPT mutations; ClinicalHistory: cognitively normal, Familial FTLD with MAPT mutations, sporadic FTLD-TDP, Familial FTLD-TDP with PGRN mutations, Alzheimer's disease",,,Array assay,RNA assay
E-MEXP-2280,alzheimer-screened,Transcription profiling of patients with four neurodegenerative disorders distinguishes tauopathies and identifies shared molecular pathways,transcription profiling by array,"We have constructed genome wide expression profiles from snap frozen post-mortem tissue from the medial temporal lobe of patients with four neurodegenerative disorders (5 AD, 5 PSP, 5 PiD and 5 FTD patients) and 5 control subjects. All patients were matched for age, gender, ApoE-epsilon and MAPT (tau) haplotype. From all groups a total of 790 probes were shown to be differently expressed when compared to control individuals. The results from these experiments were then used to investigate the correlations between clinical, pathological and molecular findings. From the 790 identified probes we extracted a gene set of 166 probes whose expression could discriminate between these disorders and normal ageing. This gene set can be further developed into an accurate microarray-based classification test. Furthermore, from this dataset we extracted a disease specific set of genes and identified two aging related transcription factors (FOXO1A and FOXO3A) as possible drug targets related to neurodegenerative disease.",31,,"Experimental Designs: disease_state_design, co-expression_design, replicate_design, transcription profiling by array",Experimental Factors: disease,Homo sapiens,adult,medial temporal lobe,progressive supranuclear palsy; Pick disease; Alzheimer's disease; normal; braak stage 2; braak stage 0; constantinides type A; braak stage 1; braak stage 6; constantinides type C1,"Disease staging: braak stage 2, braak stage 0, constantinides type A, braak stage 1, braak stage 6, constantinides type C1; disease staging: braak stage 6, braak stage 1, braak stage 0, constantinides type C1, constantinides type A, braak stage 2",,"Clinical information: post mortem delay 5:30, post mortem delay 5:15, post mortem delay 3:25, post mortem delay 3:45, post mortem delay 3:35, post mortem delay 5:48, post mortem delay 7:55, post mortem delay 4:40, post mortem delay 4:20, post mortem delay 4:15, post mortem delay 5:00, post mortem delay 5:10, post mortem delay 7:40, post mortem delay 8:10, post mortem delay 6:45, ... 6 other values; Clinical history: Disease duration: 15 years; Cause of death: dehydration, Disease duration: 2 years; Cause of death: euthanasia, Disease duration: 7 years; Cause of death: pulmonary arrest, Disease duration: 3 years; Cause of death: pneumonia / cachexia, Cause of death: heart failure, Disease duration: 4 years; Cause of death: complications secondary to a cerebro vasculair accident, Disease duration: 7 years; Cause of death: unknown, Disease duration: 7 years; Cause of death: dehydration and vascular insufficiency, Disease duration: 11 years; Cause of death: pneumonia in a dehydrated and cachexic patient, Disease duration: 10 years; Cause of death: cachexia following swallowing disturbances, Disease duration: 15 years; Cause of death: aspiration pneumonia, Disease duration: 3 years; Cause of death: cachexia and dehydration, Disease duration: 13 years; Cause of death: cachexia and dehydration, Disease duration: 4 years; Cause of death: septic with a urinary infection, Cause of death: myocardial infarction, ... 15 other values; clinical information: post mortem delay 5:20, post mortem delay 5:00, post mortem delay 3:35, post mortem delay 3:45, post mortem delay 4:20, post mortem delay 3:25, post mortem delay 4:15, post mortem delay 5:30, post mortem delay 6:45, post mortem delay 4:50, post mortem delay 7:40, post mortem delay 5:10, post mortem delay 3:55, post mortem delay 4:40, post mortem delay 5:15, post mortem delay 7:55, post mortem delay 6:15, post mortem delay 8:55, post mortem delay 5:43, post mortem delay 5:48, post mortem delay 8:10; clinical history: Disease duration: more than 7 years; Cause of death: general deterioration, Disease duration: 10 years; Cause of death: cachexia following swallowing disturbances, Disease duration: 7 years; Cause of death: unknown, Disease duration: 15 years; Cause of death: dehydration, Disease duration: 7 years; Cause of death: dehydration and vascular insufficiency, Disease duration: 13 years; Cause of death: cachexia and dehydration, Disease duration: 8 years; Cause of death: aspiration pneumonia, Cause of death: myocardial infarction, Cause of death: heart failure, Cause of death: pancreatic cancer, Cause of death: heart attack, Disease duration: 12 years; Cause of death: sepsis, due to an urinary tract infection, and cachexia, Disease duration: 3 years; Cause of death: respiratory insufficience, Disease duration: 8 years; Cause of death: cachexia and dehydration, Disease duration: 14 years; Cause of death: infection of lungs, Disease duration: 11 years; Cause of death: pneumonia in a dehydrated and cachexic patient, Disease duration: 4 years; Cause of death: complications secondary to a cerebro vasculair accident, Disease duration: 16 years; Cause of death: acute cardiac arrest, Disease duration: 6 years; Cause of death: myocardial infarction, Disease duration: 15 years; Cause of death: aspiration pneumonia, Disease duration: 6 years; Cause of death: bleeding of the stomach, Disease duration: 8 years; Cause of death: lungdisorder with fever for 4 weeks, Disease duration: 12 years; Cause of death: bronchopneumonia, Disease duration: 2 years; Cause of death: euthanasia, Disease duration: 6 years; Cause of death: pneumonia and cachexia by PSP, Disease duration: 9 years; Cause of death: dehydration and respiratory insufficiency, Disease duration: 3 years; Cause of death: cachexia and dehydration, Disease duration: 7 years; Cause of death: pulmonary arrest, Disease duration: 4 years; Cause of death: septic with a urinary infection, Disease duration: 3 years; Cause of death: pneumonia / cachexia",,,Array assay,RNA assay
