accession,source_list,title,study_type,description,sample_count,assay_count,experimental_designs,experimental_factors,organism,developmental_stage,organism_part,disease,disease_state_or_staging,cell_type_or_line,clinical_or_familial,treatment_or_compound,quality_controls,technology,assay_by_molecule
E-MTAB-6667,lbd-screened,"Identification of cis-eQTLs in six immune cell types CD4, CD8, CD14,CD15, CD19, PLA and ileal, colonic and rectal biopsies in 323 healthy European individuals (CEDAR cohort).",transcription profiling by array,Transcriptome in 6 immune cell types and 3 colonic biopsis from 323 individuals in order to perform cis-eQTL analysis. Identification of regulatory modules across genes and tissues on the basis of correlated SNPs in expression associated patterns (EAPs). Integration of cis-eQTLs regulatory modules with known 200 IBD loci.,2967,2967,,"Experimental Factors: cell type, organism part",Homo sapiens,,blood; rectum; transverse colon; ileum,"Hypercholesterolemia, diarrhea, parkinson; helicobacter pyloris; chronic obstructive pulmonary disease, hypercholesterolemia, esophagitis, hypertensive retinopathy, hypothyroidism, hypertension; jaundice; infarction, osteoarthritis, arrhythmia, chronic obstructive pulmonary disease, hypercholesterolemia, polype, bk, hypertension; diabetes mellitus, tuberculosis; dyspepsia, hypertension; prostatitis, infection urinaire, esophagitis, hiatal hernia gerd; hepatitis B; pneumonia; pyrosis, hypertension; asthma; renal colic, diabetes mellitus, hypertension; hypertension; Hypercholesterolemia, hypothyroidism, osteoporosis; ... 29 other values; asthma, hypothyroidism; chronic obstructive pulmonary disease, asthma, gastroesophageal reflux disease, hypercholesterolemia; colorectal cancer; diabetes mellitus; diabetes mellitus, fibromyalgia, pyrosis, hypercholesterolemia, hypertension; diabetes mellitus, peptic ulcer disease, rhinopharyngite, hypertension; diphtheria meningitis; diverticulitis, duodenal ulcer, hypertension; gastritis, l-thyroxine, hypothyroidism; gingivitis; glaucome, pyrosis, arrhythmia, gastritis; hepatitis A; Hypercholesterolemia; Hypercholesterolemia, asthma; Hypercholesterolemia, asthma, diverticulitis, hypertension; hypothyroidism; hypothyroidism, peptic ulcer disease; hypothyroidism, diabetes mellitus, fatty liver; lyme disease; mononucleosis; normal; osteoarthritis, transient ischemic attack, asthma, diabetes mellitus, esophagitis, palpitation, hypertension; pyrosis, asthma, melanome; pyrosis, hypercholesterolemia; pyrosis, hypercholesterolemia, hypothyroidism, diabetes mellitus, hypertension; renal colic, bronchite, angor animi, hypothyroidism, tuberculosis, peptic ulcer disease, dyspnea, anemia; pyrosis, sarcoidosis, hypertension; not available; corneal ulcer, diabetes mellitus, hypertension",,"Cell type: not applicable, thymocyte, B cell, T cell, platelet, CD15 positive leukocyte, CD14-positive monocyte; cell type: CD14-positive monocyte, CD15 positive leukocyte, B cell, T cell, thymocyte, not applicable, platelet","Clinical history: smoker, non-smoker, not available; Clinical information: BMI of 25.16, BMI of 29.75, BMI of 23.1, BMI of 22.95, BMI of 18.51, BMI of 20.43, BMI of 37.48, BMI of 21.53, BMI of 27.77, BMI of 29.74, BMI of 31.21, BMI of 24.96, BMI of NA, BMI of 30.42, BMI of 26.89, ... 257 other values; clinical history: non-smoker, smoker, not available; clinical information: BMI of 24.09, BMI of 34.63, BMI of 30.35, BMI of 19.27, BMI of 31.25, BMI of 23.84, BMI of 36.33, BMI of 21.51, BMI of 21.89, BMI of 25.95, BMI of 26.56, BMI of 28.09, BMI of 31.22, BMI of 24.44, BMI of 26.81, BMI of 28.4, BMI of 27.01, BMI of 27.92, BMI of 30.12, BMI of 28.52, BMI of 26.75, BMI of NA, BMI of 28.67, BMI of 33.26, BMI of 22.86, BMI of 27.38, BMI of 31.56, BMI of 30.11, BMI of 29.41, BMI of 42.05, BMI of 23.14, BMI of 21.93, BMI of 25.71, BMI of 28.91, BMI of 22.66, BMI of 25.48, BMI of 21.85, BMI of 26.53, BMI of 29.17, BMI of 21.46, BMI of 20.66, BMI of 29.39, BMI of 22.48, BMI of 22.76, BMI of 27.47, BMI of 24.84, BMI of 28.38, BMI of 26.86, BMI of 19.13, BMI of 25.35, BMI of 33.52, BMI of 18.55, BMI of 34.57, BMI of 23.12, BMI of 25.97, BMI of 25.51, BMI of 33.06, BMI of 28.73, BMI of 29.94, BMI of 35.03, BMI of 25.1, BMI of 21.63, BMI of 22.68, BMI of 24.58, BMI of 26.64, BMI of 21.45, BMI of 24.11, BMI of 21.5, BMI of 20.05, BMI of 26.99, BMI of 24.34, BMI of 28.07, BMI of 23.81, BMI of 20.44, BMI of 26.88, BMI of 33.87, BMI of 21.26, BMI of 25.11, BMI of 20.55, BMI of 25.06, BMI of 35.02, BMI of 27.17, BMI of 27.73, BMI of 20.76, BMI of 32.03, BMI of 23.88, BMI of 21.72, BMI of 18.51, BMI of 30.26, BMI of 31.21, BMI of 26.42, BMI of 22.58, BMI of 29, BMI of 21.22, BMI of 30.42, BMI of 24.54, BMI of 26.22, BMI of 22.84, BMI of 28.37, BMI of 25.47, BMI of 19.15, BMI of 26.23, BMI of 27.76, BMI of 29.51, BMI of 29.76, BMI of 20.28, BMI of 29.75, BMI of 23.34, BMI of 23.66, BMI of 23.53, BMI of 20.43, BMI of 21.55, BMI of 28.34, BMI of 26.12, BMI of 35.29, BMI of 24.21, BMI of 25.62, BMI of 30.41, BMI of 34.67, BMI of 30, BMI of 23.63, BMI of 26.83, BMI of 28.62, BMI of 24.91, BMI of 32.37, BMI of 23.51, BMI of 22.43, BMI of 24.92, BMI of 22.5, BMI of 17.58, BMI of 26.28, BMI of 25.56, BMI of 31.98, BMI of 32.72, BMI of 27.55, BMI of 29.01, BMI of 36.51, BMI of 30.3, BMI of 18.78, BMI of 25.61, BMI of 21.67, BMI of 24.81, BMI of 25.76, BMI of 24.97, BMI of 31.18, BMI of 32.79, BMI of 22.89, BMI of 27.7, BMI of 23.77, BMI of 22.45, BMI of 26.4, BMI of 21.83, BMI of 31.07, BMI of 32.42, BMI of 23.44, BMI of 25.16, BMI of 28.76, BMI of 29.72, BMI of 24.31, BMI of 43.34, BMI of 27.89, BMI of 28.06, BMI of 27.43, BMI of 26.82, BMI of 20.42, BMI of 21.88, BMI of 27.68, BMI of 27.94, BMI of 26.67, BMI of 23.5, BMI of 29.04, BMI of 20.31, BMI of 25.25, BMI of 33.13, BMI of 27.34, BMI of 23.36, BMI of 29.67, BMI of 30.86, BMI of 29.38, BMI of 23.03, BMI of 26.17, BMI of 31.64, BMI of 22.04, BMI of 24.73, BMI of 28.96, BMI of 25.89, BMI of 21.04, BMI of 27.25, BMI of 42.72, BMI of 28.41, BMI of 23.37, BMI of 17.9, BMI of 24.49, BMI of 23.1, BMI of 24.68, BMI of 23.57, BMI of 22.96, BMI of 21.34, BMI of 21.78, BMI of 25.39, BMI of 23.19, BMI of 26.95, BMI of 20.94, BMI of 25.99, BMI of 21.99, BMI of 38.42, BMI of 15.94, BMI of 26.73, BMI of 20.02, BMI of 36.23, BMI of 30.67, BMI of 29.74, BMI of 28.23, BMI of 24.76, BMI of 27.77, BMI of 23.39, BMI of 24.38, BMI of 21.53, BMI of 20.7, BMI of 21.94, BMI of 24.06, BMI of 24.74, BMI of 24.25, BMI of 29.65, BMI of 27.14, BMI of 21.29, BMI of 25.28, BMI of 16.95, BMI of 22.09, BMI of 26.91, BMI of 25.21, BMI of 29.97, BMI of 22.31, BMI of 24.82, BMI of 23.15, BMI of 19.72, BMI of 28.04, BMI of 40.61, BMI of 32.74, BMI of 30.46, BMI of 29.03, BMI of 25.15, BMI of 23.62, BMI of 22.53, BMI of 26.03, BMI of 25.7, BMI of 22.12, BMI of 26.89, BMI of 19.37, BMI of 23.38, BMI of 24.51, BMI of 19.43, BMI of 37.48, BMI of 18.9, BMI of 28.69, BMI of 24.16, BMI of 34.08, BMI of 24.86, BMI of 40.09, BMI of 25.26, BMI of 18.75, BMI of 20.41, BMI of 33.98, BMI of 24.96, BMI of 24.59, BMI of 18.52, BMI of 26.08, BMI of 24.78, not available, BMI of 25.22, BMI of 22.95, BMI of 26.51",,,Array assay,RNA assay
E-MTAB-4164,lbd-screened,Rotenone susceptibility phenotype in olfactory derived patient cells as a model of idiopathic Parkinsonâs disease,transcription profiling by array,"Physiologically relevant cellular models are critical for understanding complex pathological processes. Parkinsonâs disease (PD) is the second most common neurodegenerative disorder characterised by motor and non-motor symptoms. Several cellular models for PD have been developed to reproduce the abberant biochemical pathways associated with Parkinsonâs disease such as oxidative stress, apoptosis, improper clearance of misfolded proteins and mitochondrial impairment. However, there is still a need for models that effectively recapitulate pathological phenotypes of PD. We previously reported that cells derived from the olfactory epithelium of idiopathic PD patients have altered cellular functions compared with age and gender-matched healthy controls. We also identified an underlying dysregulation of molecular pathways including the Nrf2 pathway in PD hONS cells. Here, we tested the hypothesis that hONS cells derived from PD patients are more vulnerable to extrinsic stressors. We identified that PD-hONS cells are particularly sensitive to mitochondrial and oxidative stress. Notably, PD hONS cells exposed to Rotenone undergo significant apoptosis, show reduced mitochondrial complex I activity and reduced induction of Heat Shock Protein HSP27.",32,32,"Experimental Designs: case control design, compound treatment design","Experimental Factors: disease, compound, sex",Homo sapiens,,,parkinson's disease; normal,,Cell type: olfactory neurosphere-derived cell,,"Compound: none, rotenone; compound: none, rotenone",,Array assay,RNA assay
E-GEOD-70845,lbd-screened,Gene expression profiling of SHSY5Y cells exposed to manganese,transcription profiling by array,"The trace element manganese is essential for normal development for all the organisms. Overexposure of manganese may leads to multiple neuronal disorders such as Parkinson, manganism. To explore the molecular mechanism of manganese induced neurotoxicity, gene expression profiling was performed on human neuroblastoma SHSY-5Y cells. Cells were exposed to sub-lethal concentration of manganese (100 Î¼M) for 24 hrs. Our result demonstrates that manganese alter multiple biological pathways including chromatin assembly, neurogenesis and apoptotic pathways.Cells grown in 75mm2 flask. three replicates for each sample SHSY5Y cells grown in MEM:F12 media (1:1) were treated with manganese and total RNA was isolated from cells after 24 hour exposure Three replicate were used for the experiment",6,6,,Experimental Factors: treated with,Homo sapiens,,,,,Cell line: SHSY5Y; Cell type: neuroblastoma cell line,,,,Array assay,RNA assay
E-MTAB-2325,lbd-screened,Gene expression profiles in motor cortex of Control and Sporadic Amyotrphic Lateral Sclerosis patients,transcription profiling by array,Threshold: 1.0 . Logbase: 2 . Technology: Generic.SingleColor.014850. Normalization: Shift to 75 percentile . Baseline Transformation: median of all samples .,41,41,"Experimental Designs: case control design, clinical history design","Experimental Factors: age at death, disease, Survival characteristics, Survival time from date of onset (months), Post-mortem interval in hours, Location of onset, Occupation (job), Smoker or non smoker, Alchool use or not, Other pathologies, Therapy used, Vaccination boost, Familial anamnesis",Homo sapiens,,v4 cortex,normal; Sporadic Amyotrophic Lateral Sclerosis,,,"Familial anamnesis: Mother died of cancer, Husband died in 13-03-1986 in Switserland of ALS. A nephew of mother's side was paralyzed, Father died of heart attack., father died at the age of 49 of hart disease and mother suffered of hypertension, Several cases of Alzheimer in his mother's family, A son with asthma bronchiale. Brother with back problems., ""brother MS, daughter handicapped"", ""Mother died of cancer, father of consequences tentamen suicidii"", father died in 1987 of brain tumor and had spinal cord tumors and intestine polyps, A sister of her mother had MS and died after an ilness period of 10 years at the age of 68, n/a, sister with morbus Reckinhhausen, ""A sister had leukemia, whereas an uncle had Parkinson""",,,Array assay,RNA assay
E-MTAB-2374,lbd-screened,Transcriptional profiling of cerebrospinal fluid cells of multiple sclerosis patients,transcription profiling by array,RNA was isolated from fresh cerebrospinal fluid samples of multiple sclerosis and control patients and analyzed by hybridization of HG U133 plus 2.0 arrays in order to investigate disease mechanisms of multiple sclerosis and to identify transcriptional biomarker,48,48,"Experimental Designs: disease state design, ex_vivo_design, co-expression_design",Experimental Factors: disease,Homo sapiens,,cerebrospinal fluid,primary-progressive multiple sclerosis; unknown - not multiple sclerosis; HTLV1-associated myelopathy; stroke; relapsing-remitting multiple sclerosis; Parkinson's disease; secondary progressive multiple sclerosis; spinal stenosis; neurosarcoidosis,,,,"Treatment: none, Tysabri, Avonex, itMTX, oral MTX, intrathecal methotrexate, Avonex, intrathecal methotrexate; treatment: none, intrathecal methotrexate, itMTX, Tysabri, Avonex, oral MTX, Avonex, intrathecal methotrexate",,Array assay,RNA assay
E-MTAB-1194,lbd-screened,Microarrays of frontal cortex (area 8) of Parkinson cases and controls,transcription profiling by array,Microarrays of frontal cortex (area 8) of Parkinson cases and controls,18,,"Experimental Designs: disease_state_design, co-expression_design",Experimental Factors: DISEASESTATE,Homo sapiens,,frontal lobe,normal; Parkinson's disease,"Diseasestate: normal, Parkinson's disease; DISEASESTATE: Parkinson's disease, normal; DiseaseState: Parkinson's disease, normal",,,,,Array assay,RNA assay
E-MTAB-812,lbd-screened,Whole genome expression in Parkinson disease and neurologically healthy control prefrontal cortex Brodmann area 9 samples,transcription profiling by array,Whole genome expression in Parkinson disease and neurologically healthy control prefrontal cortex Brodmann area 9 samples,53,,"Experimental Designs: disease_state_design, co-expression_design",Experimental Factors: DISEASE_STATE,Homo sapiens,,"brain, prefrontal cortex BA9",neurologically healthy control; Parkinson disease,"Disease_state: neurologically healthy control, Parkinson disease; DISEASE_STATE: neurologically healthy control, Parkinson disease; Diseasestate: neurologically healthy control, Parkinson disease; DiseaseState: neurologically healthy control, Parkinson disease",,,,Quality Controls: Biological replicate,Array assay,RNA assay
E-GEOD-16658,lbd-screened,microRNA (miRNA) expression profiling of PBMCs of Parkinson's disease (PD) patients and controls,transcription profiling by array,"To investigate the role of miRNAs in the etiology of idiopathic PD, we conducted global miRNA expression profiling in peripheral blood mononuclear cells (PBMCs) of PD patients and controls. Total RNA was extracted from the PBMCs of 19 PD patients and 13 controls, labeled and hybridized to Exiqon microarrays spotted with probes for 733 human miRNAs.",64,,,"Experimental Factors: UPDRS SCORE, DISEASE STATE, AGE, SEX",Homo sapiens,,,"not specified; parkinson´s disease patient (with tremor, rigidity, bradykinesia, and postural disturbance); parkinson´s disease patient (with tremor, bradykinesia, and postural disturbance); unaffected with parkinson´s disease; parkinson´s disease patient (with rigidity, bradykinesia, and postural disturbance); parkinson´s disease patient (with rigidity and postural disturbance); parkinson´s disease patient (with rigidity and bradykinesia); parkinson´s disease patient (with tremor, rigidity, and bradykinesia); parkinson´s disease patient (with tremor and bradykinesia); parkinson´s disease patient (with tremor and rigidity); parkinson´s disease patient (with tremor, rigidity, and postural disturbance)","Disease state: not specified, parkinson´s disease patient (with tremor, rigidity, bradykinesia, and postural disturbance), parkinson´s disease patient (with tremor, bradykinesia, and postural disturbance), unaffected with parkinson´s disease, parkinson´s disease patient (with rigidity, bradykinesia, and postural disturbance), parkinson´s disease patient (with rigidity and postural disturbance), parkinson´s disease patient (with rigidity and bradykinesia), parkinson´s disease patient (with tremor, rigidity, and bradykinesia), parkinson´s disease patient (with tremor and bradykinesia), parkinson´s disease patient (with tremor and rigidity), parkinson´s disease patient (with tremor, rigidity, and postural disturbance); DISEASE STATE: not specified, parkinson´s disease patient (with rigidity, bradykinesia, and postural disturbance), parkinson´s disease patient (with tremor and bradykinesia), parkinson´s disease patient (with tremor, rigidity, and bradykinesia), parkinson´s disease patient (with tremor, bradykinesia, and postural disturbance), parkinson´s disease patient (with rigidity and bradykinesia), parkinson´s disease patient (with tremor and rigidity), parkinson´s disease patient (with tremor, rigidity, and postural disturbance), parkinson´s disease patient (with rigidity and postural disturbance), parkinson´s disease patient (with tremor, rigidity, bradykinesia, and postural disturbance), unaffected with parkinson´s disease; disease state: parkinson´s disease patient (with rigidity, bradykinesia, and postural disturbance), parkinson´s disease patient (with tremor and bradykinesia), parkinson´s disease patient (with tremor, rigidity, and bradykinesia), parkinson´s disease patient (with tremor, bradykinesia, and postural disturbance), parkinson´s disease patient (with rigidity and bradykinesia), parkinson´s disease patient (with tremor and rigidity), parkinson´s disease patient (with tremor, rigidity, and postural disturbance), parkinson´s disease patient (with rigidity and postural disturbance), parkinson´s disease patient (with tremor, rigidity, bradykinesia, and postural disturbance), unaffected with parkinson´s disease",,,,,Array assay,RNA assay
E-TABM-879,lbd-screened,Transcriptional profiling of human olfactory neurosphere-derived cell lines from healthy and idiopathic Parkinsons disease individuals.,transcription profiling by array,"The human olfactory epithelium represents a readily accessible source of adult neural cell types which can be propagated in vitro. We have used this feature to establish olfactory neurosphere-derived (hONS) cells lines from patients with idiopathic Parkinson's disease (PD) and healthy controls. We interrogated several metabolic activities of hONS cells from PD patients and detected significantly decreased levels of reduced glutathione and MTS [3- (4,5-dimethylthiazol-2-yl)-5-(3-carboxymethoxyphenyl)-2-(4-sulfophenyl)-2H-tetrazolium, inner salt] metabolism. Both were decreased to approximately 80% of control donor hONS cell levels. These decreases did not correlate with any other known parameter, such as donor age or gender nor with the number of passages in vitro. Therefore we conclude that the differences are either symptomatic of PD or reflect an underlying predisposition for PD. Transcriptomic analysis identified the xenobiotic and anti-oxidant pathways, mediated by the aryl hydrocarbon receptor and NRF2, respectively, as significantly dysregulated in PD hONS cells. We show here that activation of the NRF2 pathway, by ectopic L-sulforaphane treatment, increased total glutathione and MTS metabolism levels to control-donor hONS cell levels in 12 of 14 hONS cell lines established from 14 individual donors with idiopathic PD. The importance of our results is three-fold. Firstly, they corroborated data obtained from in vivo and other in vitro cell models but uniquely on varied human genetic backgrounds. Secondly, they demonstrate that cells from PD patients are responsive to NRF2 pathway activation. Finally, they suggest that the dysregulation of the NRF2 pathway is not merely symptomatic of PD but may be a contributing factor.",33,,"Experimental Designs: co-expression_design, transcription profiling by array","Experimental Factors: DiseaseStage, Compound, Sex, Age",Homo sapiens,,,normal; idiopathic Parkinsons disease,"DiseaseStage: normal; Diseasestaging: idiopathic Parkinsons disease, normal; DiseaseStaging: idiopathic Parkinsons disease, normal",CellLine: olfactory neurosphere-derived cells (hONS),,Compound: Lsulforaphane,,Array assay,RNA assay
E-GEOD-29889,lbd-screened,Gene expression of a variety of Huh-7 derived hepatoma cells and their susceptibility to infection by JHF1 HCV in the HCV cell culture system.,transcription profiling by array,"Hepatitis C virus (HCV) is a global problem. To better understand HCV infection researchers employ in vitro HCV cell-culture (HCVcc) systems that use Huh-7 derived hepatoma cells that are particularly permissive to HCV infection. A variety of hyper-permissive cells have been subcloned for this purpose. In addition, subclones of Huh-7 which have evolved resistance to HCV are available. However, the mechanisms of susceptibility or resistance to infection among these cells have not been fully determined. In order to elucidate mechanisms by which hepatoma cells are susceptible or resistant to HCV infection we performed genome-wide expression analyses of six Huh-7 derived cell cultures (Huh-7, Huh-7.5.1, Huh-7.5.1c2, R1.09, R1.10 and R2.1) R that have different levels of permissiveness to infection. A great number of genes, representing a wide spectrum of functions are differentially expressed between cells. To focus our investigation, we identify host proteins from HCV replicase complexes, perform gene expression analysis of three HCV infected cells (infected Huh-7, Huh-7.5.1 and Huh-7.5.1c2) and conduct a detailed analysis of differentially expressed host factors by integrating a variety of data sources. Our results demonstrate that changes relating to susceptibility to HCV infection in hepatoma cells are linked to the innate immune response, secreted signal peptides and host factors that have a role in virus entry and replication. This work identifies both known and novel host factors that may influence HCV infection. Our findings build upon current knowledge of the complex interplay between HCV and the host cell, which could aid development of new antiviral strategies. Six Huh-7 derived hepatoma cell types that have different levels of susceptibility to HCV infection in cell culture are used: Huh-7, Huh-7.5.1, Huh-7.5.1c2, R1.09, R1.10 and R2.1. Of these the first three (label starting Huh are susceptible to HCV infection and the latter three (label starting R are resistant to HCV infection. All cell types are derived from Huh-7. Huh-7.5.1 is a subclone of Huh-7.5 that in turn is a subclone of Huh-7. Huh-7.5.1c2 is a subclone of Huh-7.5.1. R1.09 and R1.10 are subclones of R1 that is inturn a sublone of Huh-7.5,1. R2.1 is a subclone of Huh-7.5.1. 39 samples are used. In every case there are 3 biological replicates, i.e., there are 13 unique conditions (39/3=13). These samples are subdivided between two studies: (1) A comparison of HCV infection resistant cells R1.09, R1.10 and R2 against HCV susceptible Huh-7.5.1. (2) A comparison of JFH1 HCV infected Huh-7, Huh-7.5.1 and Huh-7.5.1c2 cells versus their uninfected counterparts. In each case there are two uninfected counterparts, cells that were harvested after being in culture for 20 hours and cells that were harvested at the same time point as the infected cells, that is, at the peak time of infection. Peak times for infection vary between cells, depending on their susceptibility to infection: 168 hours for Huh-7, 120 hours for Huh-7.5.1 and 96 hours for Huh-7.5.1c2.",39,39,,"Experimental Factors: HCV INFECTION SUSCEPTIBILITY, HCV INFECTED",Homo sapiens,,,,,,,,,Array assay,RNA assay
