model,input_config,trials,sensitivity_median,sensitivity_min,sensitivity_max,specificity_median,specificity_min,specificity_max,precision_median,precision_min,precision_max,accuracy_median,accuracy_min,accuracy_max,f1_score_median,f1_score_min,f1_score_max,true_positive_median,true_positive_min,true_positive_max,false_positive_median,false_positive_min,false_positive_max,true_negative_median,true_negative_min,true_negative_max,false_negative_median,false_negative_min,false_negative_max,delta_sensitivity_vs_full,delta_specificity_vs_full,delta_precision_vs_full,delta_accuracy_vs_full,delta_f1_score_vs_full
GPT-4o-mini,title_only,1,0.625,0.625,0.625,0.971,0.971,0.971,0.333,0.333,0.333,0.964,0.964,0.964,0.435,0.435,0.435,5.0,5.0,5.0,10.0,10.0,10.0,339.0,339.0,339.0,3.0,3.0,3.0,-0.25,0.020000000000000018,0.041000000000000036,0.014000000000000012,-0.0030000000000000027
GPT-4o-mini,title_description,1,0.25,0.25,0.25,0.983,0.983,0.983,0.25,0.25,0.25,0.966,0.966,0.966,0.25,0.25,0.25,2.0,2.0,2.0,6.0,6.0,6.0,343.0,343.0,343.0,6.0,6.0,6.0,-0.625,0.03200000000000003,-0.04199999999999998,0.016000000000000014,-0.188
GPT-4o-mini,title_description_clinical,1,0.875,0.875,0.875,0.951,0.951,0.951,0.292,0.292,0.292,0.95,0.95,0.95,0.438,0.438,0.438,7.0,7.0,7.0,17.0,17.0,17.0,332.0,332.0,332.0,1.0,1.0,1.0,,,,,
GPT-4.1-mini,title_only,1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.978,0.978,0.978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.0,349.0,349.0,8.0,8.0,8.0,-0.875,0.029000000000000026,-0.412,0.009000000000000008,-0.56
GPT-4.1-mini,title_description,1,0.25,0.25,0.25,0.991,0.991,0.991,0.4,0.4,0.4,0.975,0.975,0.975,0.308,0.308,0.308,2.0,2.0,2.0,3.0,3.0,3.0,346.0,346.0,346.0,6.0,6.0,6.0,-0.625,0.020000000000000018,-0.011999999999999955,0.006000000000000005,-0.25200000000000006
GPT-4.1-mini,title_description_clinical,1,0.875,0.875,0.875,0.971,0.971,0.971,0.412,0.412,0.412,0.969,0.969,0.969,0.56,0.56,0.56,7.0,7.0,7.0,10.0,10.0,10.0,339.0,339.0,339.0,1.0,1.0,1.0,,,,,
GPT-5-mini,title_only,1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.978,0.978,0.978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.0,349.0,349.0,8.0,8.0,8.0,-0.875,0.009000000000000008,-0.7,-0.01100000000000001,-0.778
GPT-5-mini,title_description,1,0.25,0.25,0.25,0.994,0.994,0.994,0.5,0.5,0.5,0.978,0.978,0.978,0.333,0.333,0.333,2.0,2.0,2.0,2.0,2.0,2.0,347.0,347.0,347.0,6.0,6.0,6.0,-0.625,0.0030000000000000027,-0.19999999999999996,-0.01100000000000001,-0.445
GPT-5-mini,title_description_clinical,10,0.875,0.875,0.875,0.991,0.989,0.994,0.7,0.636,0.778,0.989,0.986,0.992,0.778,0.737,0.824,7.0,7.0,7.0,3.0,2.0,4.0,346.0,345.0,347.0,1.0,1.0,1.0,,,,,
o4-mini,title_only,1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.978,0.978,0.978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.0,349.0,349.0,8.0,8.0,8.0,-0.875,0.010000000000000009,-0.6679999999999999,-0.009500000000000064,-0.7575000000000001
o4-mini,title_description,1,0.125,0.125,0.125,0.997,0.997,0.997,0.5,0.5,0.5,0.978,0.978,0.978,0.2,0.2,0.2,1.0,1.0,1.0,1.0,1.0,1.0,348.0,348.0,348.0,7.0,7.0,7.0,-0.75,0.007000000000000006,-0.16799999999999993,-0.009500000000000064,-0.5575000000000001
o4-mini,title_description_clinical,10,0.875,0.875,0.875,0.99,0.986,0.991,0.6679999999999999,0.583,0.7,0.9875,0.983,0.989,0.7575000000000001,0.7,0.778,7.0,7.0,7.0,3.5,3.0,5.0,345.5,344.0,346.0,1.0,1.0,1.0,,,,,
