# TITLE: Methylation analysis of HBEC cells exposed to cigarette smoke condensate (CSC) over a period of 15 months
# SUMMARY: We define how chronic cigarette smoke-induced time-dependent epigenetic alterations can sensitize human bronchial epithelial cells (HBEC) for transformation by a single oncogene. The smoke-induced, chromatin changes include initial repressive polycomb marking of genes later manifesting abnormal DNA methylation by 10 months. At this time, cells manifest epithelial to mesenchymal changes, anchorage-independent growth and upregulated RAS/MAPK signaling with silencing of hyper-methylated genes normally inhibiting these pathways and which are associated with smoking related NSCLC. These cells, in the absence of any driver gene mutations, now transform by introducing a single KRAS mutation and form adeno-squamous lung carcinomas in mice. Thus, epigenetic abnormalities may prime for changing oncogene senescence to addiction for a single key oncogene involved in lung cancer initiation.
GPL13534_Group,GPL13534_Accession,GPL13534_Title,GPL13534_Source name,GPL13534_Cell or tissue type,GPL13534_Treated with,GPL13534_Time point,GPL13534_Genotype/variation
-,GSM2711824,genomic DNA from control cells at 1 month_rep1,control cells at 1 month,human bronchial epithelial cells (HBEC),none (control),at 1 month,
-,GSM2711825,genomic DNA from CSC treated cells at 1 month_rep1,CSC treated cells at 1 month,human bronchial epithelial cells (HBEC),cigarette smoke condensate (CSC) over a period of 15 months,at 1 month,
-,GSM2711826,genomic DNA from control cells at 6 month_rep1,control cells at 6 month,human bronchial epithelial cells (HBEC),none (control),at 6 month,
-,GSM2711827,genomic DNA from CSC treated cells at 6 month_rep1,CSC treated cells at 6 month,human bronchial epithelial cells (HBEC),cigarette smoke condensate (CSC) over a period of 15 months,at 6 month,
-,GSM2711828,genomic DNA from control cells at 10 month_rep1,control cells at 10 month,human bronchial epithelial cells (HBEC),none (control),at 10 month,
-,GSM2711829,genomic DNA from CSC treated cells at 10 month_rep1,CSC treated cells at 10 month,human bronchial epithelial cells (HBEC),cigarette smoke condensate (CSC) over a period of 15 months,at 10 month,
-,GSM2711830,genomic DNA from control cells at 15 month_rep1,control cells at 15 month,human bronchial epithelial cells (HBEC),none (control),at 15 month,
-,GSM2711831,genomic DNA from CSC treated cells at 15 month_rep1,CSC treated cells at 15 month,human bronchial epithelial cells (HBEC),cigarette smoke condensate (CSC) over a period of 15 months,at 15 month,
-,GSM2711832,genomic DNA from control cells at 1 month_rep2,control cells at 1 month,human bronchial epithelial cells (HBEC),none (control),at 1 month,
-,GSM2711833,genomic DNA from CSC treated cells at 1 month_rep2,CSC treated cells at 1 month,human bronchial epithelial cells (HBEC),cigarette smoke condensate (CSC) over a period of 15 months,at 1 month,
