# TITLE: Trigger-happy resident memory CD4+ T cells inhabit the human lungs.
# SUMMARY: Resident memory T-cells (TRM) reside in the lung epithelium and mediate protective immunity against respiratory pathogens. While lung CD8+ TRM have been extensively characterized, the properties of CD4+ TRM remain unclear. Here we determined the transcriptional signature of CD4+ TRM, identified by the expression of CD103, retrieved from human lung resection material. Various tissue homing molecules were specifically upregulated on CD4+ TRM, while expression of tissue egress and lymph node homing molecules were low. CD103+ TRM expressed low levels of T-bet, only a small portion expressed Eomes, and while the mRNA levels for Hobit were increased, protein expression was absent. On the other hand, the CD103+ TRM showed a Notch signature. CD4+CD103+ TRM constitutively expressed high transcript levels of numerous cytotoxic mediators, which was functionally reflected by a fast recall response, magnitude of cytokine production, and a high degree of polyfunctionality. Interestingly, the superior cytokine production appears to be due to an accessible IFNγ locus and was partially due to rapid translation of preformed mRNA. Our studies provide a molecular understanding of the maintenance and potential function of CD4+ TRM in the human lung. Understanding the specific properties of CD4+ TRM is required to rationally improve vaccine design.
GPL10558_Group,GPL10558_Accession,GPL10558_Title,GPL10558_Source name,GPL10558_Patient_id,GPL10558_Subject status,GPL10558_Tissue,GPL10558_Cell type,GPL10558_Cell subtype,GPL10558_Cd45ra,GPL10558_Cd27,GPL10558_Cd103
-,GSM2773069,blood_CD4+Tcell_naive_rep1,blood_CD4+Tcell_naive,Pool,healthy donor,blood,Peripheral blood mononuclear cells,CD4+Tcell_naive,POS,POS,
-,GSM2773070,blood_CD4+Tcell_memory_rep1,blood_CD4+Tcell_memory,Pool,healthy donor,blood,Peripheral blood mononuclear cells,CD4+Tcell_memory,NEG,POS,
-,GSM2773071,blood_CD4+Tcell_effector_memory_rep1,blood_CD4+Tcell_effector_memory,Pool,healthy donor,blood,Peripheral blood mononuclear cells,CD4+Tcell_effector_memory,POS,NEG,
-,GSM2773072,lung_CD4+Tcell_CD103+CD27-_rep1,lung_CD4+Tcell_CD103+CD27-,B25,non-small cell lung carcinoma patient,lung;  non-cancerous lobectomy tissue,Lung mononuclear cells,CD4+Tcell_CD103+CD27-,,NEG,POS
-,GSM2773073,lung_CD4+Tcell_CD103-CD27-_rep1,lung_CD4+Tcell_CD103-CD27-,B25,non-small cell lung carcinoma patient,lung;  non-cancerous lobectomy tissue,Lung mononuclear cells,CD4+Tcell_CD103-CD27-,,NEG,NEG
-,GSM2773074,lung_CD4+Tcell_CD103+CD27-_rep2,lung_CD4+Tcell_CD103+CD27-,B26,non-small cell lung carcinoma patient,lung;  non-cancerous lobectomy tissue,Lung mononuclear cells,CD4+Tcell_CD103+CD27-,,NEG,POS
-,GSM2773075,lung_CD4+Tcell_CD103-CD27+_rep1,lung_CD4+Tcell_CD103-CD27+,B26,non-small cell lung carcinoma patient,lung;  non-cancerous lobectomy tissue,Lung mononuclear cells,CD4+Tcell_CD103-CD27+,,NEG,NEG
-,GSM2773076,lung_CD4+Tcell_CD103-CD27-_rep2,lung_CD4+Tcell_CD103-CD27-,B26,non-small cell lung carcinoma patient,lung;  non-cancerous lobectomy tissue,Lung mononuclear cells,CD4+Tcell_CD103-CD27-,,NEG,NEG
-,GSM2773077,lung_CD4+Tcell_CD103-CD27-_rep3,lung_CD4+Tcell_CD103-CD27-,B32,non-small cell lung carcinoma patient,lung;  non-cancerous lobectomy tissue,Lung mononuclear cells,CD4+Tcell_CD103-CD27-,,NEG,NEG
-,GSM2773078,lung_CD4+Tcell_CD103+CD27-_rep3,lung_CD4+Tcell_CD103+CD27-,B38,non-small cell lung carcinoma patient,lung;  non-cancerous lobectomy tissue,Lung mononuclear cells,CD4+Tcell_CD103+CD27-,,NEG,POS
-,GSM2773079,lung_CD4+Tcell_CD103-CD27+_rep2,lung_CD4+Tcell_CD103-CD27+,B38,non-small cell lung carcinoma patient,lung;  non-cancerous lobectomy tissue,Lung mononuclear cells,CD4+Tcell_CD103-CD27+,,NEG,NEG
-,GSM2773080,lung_CD4+Tcell_CD103-CD27-_rep4,lung_CD4+Tcell_CD103-CD27-,B38,non-small cell lung carcinoma patient,lung;  non-cancerous lobectomy tissue,Lung mononuclear cells,CD4+Tcell_CD103-CD27-,,NEG,NEG
-,GSM2773081,lung_CD4+Tcell_CD103+CD27-_rep4,lung_CD4+Tcell_CD103+CD27-,B56,non-small cell lung carcinoma patient,lung;  non-cancerous lobectomy tissue,Lung mononuclear cells,CD4+Tcell_CD103+CD27-,,NEG,POS
-,GSM2773082,lung_CD4+Tcell_CD103+CD27-_rep5,lung_CD4+Tcell_CD103+CD27-,VK,non-small cell lung carcinoma patient,lung;  non-cancerous lobectomy tissue,Lung mononuclear cells,CD4+Tcell_CD103+CD27-,,NEG,POS
-,GSM2773083,lung_CD4+Tcell_CD103-CD27+_rep3,lung_CD4+Tcell_CD103-CD27+,VK,non-small cell lung carcinoma patient,lung;  non-cancerous lobectomy tissue,Lung mononuclear cells,CD4+Tcell_CD103-CD27+,,NEG,NEG
