# TITLE: Lung cancer
# SUMMARY: Two prognostically significant subtypes of high-grade lung neuroendocrine tumors independent of small-cell and large-cell neuroendocrine carcinomas identified by gene expression profiles. BACKGROUND: Classification of high-grade neuroendocrine tumors (HGNT) of the lung currently recognises large-cell neuroendocrine carcinoma (LCNEC) and small-cell lung carcinoma (SCLC) as distinct groups. However, a similarity in histology for these two carcinomas and uncertain clinical course have led to suggestions that a single HGNT classification would be more appropriate. Gene expression profiling, which can reproduce histopathological classification, and often defines new subclasses with prognostic significance, can be used to resolve HGNT classification. METHODS: We used cDNA microarrays with 40386 elements to analyze the gene expression profiles of 38 surgically resected samples of lung neuroendocrine tumors and 11 SCLC cell lines. Samples of large-cell carcinoma, adenocarcinoma, and normal lung were also included to give a total of 105 samples analyzed. The data were subjected to filtering to yield informative genes before unsupervised hierarchical clustering that identified relatedness of tumor samples. FINDINGS: Distinct groups for carcinoids, large-cell carcinoma, adenocarcinoma, and normal lung were readily identified. However, we were unable to distinguish LCNEC from SCLC by gene expression profiling. Three independent rounds of unsupervised hierarchical clustering consistently divided SCLC samples into two main groups with LCNEC samples largely integrated with these groups. Furthermore, patients in one of the groups identified by clustering had a significantly better clinical outcome than the other (83% vs 12% survived for 5 years; p=0.0094. None of the highly proliferative SCLC cell lines subsequently analyzed clustered with this good-prognosis group. INTERPRETATION: Our findings show that HGNT of the lung can be classified into two groups independent of SCLC and LCNEC. To this end, we have identified many genes, some of which encode well-characterized markers of cancer that distinguish the HGNT groups. These results have implications for the diagnosis, classification, and treatment of lung neuroendocrine tumors, and provide important insights into their underlying biology. Keywords: other
GPL962_Group,GPL962_Accession,GPL962_Title,GPL962_Source name 1,GPL962_Source name 2
-,GSM16557,adenocarcinoma 3088,adenocarcinoma 3088,lung reference mix
-,GSM16558,adenocarcinoma 3193,adenocarcinoma 3193,lung reference mix
-,GSM16559,adenocarcinoma 3200,adenocarcinoma 3200,lung reference mix
-,GSM16560,adenocarcinoma 3216,adenocarcinoma 3216,lung reference mix
-,GSM16561,adenocarcinoma 3240,adenocarcinoma 3240,lung reference mix
-,GSM16562,adenocarcinoma 3336,adenocarcinoma 3336,lung reference mix
-,GSM16563,adenocarcinoma 3368,adenocarcinoma 3368,lung reference mix
-,GSM16564,adenocarcinoma 3420,adenocarcinoma 3420,lung reference mix
-,GSM16565,adenocarcinoma 3447,adenocarcinoma 3447,lung reference mix
-,GSM16566,adenocarcinoma 3479,adenocarcinoma 3479,lung reference mix
-,GSM16567,adenocarcinoma 3806,adenocarcinoma 3806,lung reference mix
-,GSM16568,adenocarcinoma 3863,adenocarcinoma 3863,lung reference mix
-,GSM17195,Colo 668 SCLC cell line,Colo 668 SCLC cell line,Lng reference mix
-,GSM17196,Corl51 SCLC cell line,Corl51 SCLC cel line,ung reference mix
-,GSM17287,normal 1037,primary normal lung tissue 1037,lung reference
-,GSM17288,normal 1050,primary normal lung tissue 1050,lung reference
-,GSM17289,normal 1074,primary normal lung tissue 1074,lung reference
-,GSM17290,normal 1090,primary normal lung tissue 1090,lung reference
-,GSM17291,normal 1103,primary normal lung tissue 1103,lung reference
-,GSM17292,normal 1112,primary normal lung tissue 1112,lung reference
-,GSM17293,normal 1144,primary normal lung tissue 1144,lung reference
-,GSM17294,normal 1319,primary normal lung tissue 1319,lung reference
-,GSM17295,normal 1345,primary normal lung tissue 1345,lung reference
-,GSM17296,normal 1361,primary normal lung tissue 1361,lung reference
-,GSM17297,normal 1455,primary normal lung tissue 1455,lung reference
-,GSM17298,normal 1473,primary normal lung tissue 1473,lung reference
-,GSM17299,normal 1502,primary normal lung tissue 1502,lung reference
-,GSM17300,normal 1546,primary normal lung tissue 1546,lung reference
-,GSM17301,normal 2266,primary normal lung tissue 2266,lung reference
-,GSM17302,normal 2841,primary normal lung tissue 2841,lung reference
