# TITLE: Functional validation of microRNAs targeting genes of DNA double-strand break repair to radiosensitize non-small lung cancer cells
# SUMMARY: DNA-Double strand breaks (DSBs) generated by radiation therapy represent the most efficient lesions to kill tumor cells, however, the inherent DSB repair efficiency of tumor cells can cause cellular radioresistance and impact on therapeutic outcome. Genes of DSB repair represent a target for cancer therapy since their down-regulation can impair the repair process making the cells more sensitive to radiation. In this study, we analyzed the combination of ionizing radiation (IR) along with microRNA-mediated targeting of genes involved in DSB repair to sensitize human non-small cell lung cancer (NSCLC) cells. MicroRNAs are natural occurring modulators of gene expression and therefore represent an attractive strategy to affect the expression of DSB repair genes. As possible IR-sensitizing targets genes we selected genes of homologous recombination (HR) and non-homologous end joining (NHEJ) pathway (i.e. RAD51, BRCA2, PRKDC, XRCC5, LIG1). We examined these genes to determine whether they may be real targets of selected miRNAs by functional and biological validation. The in vivo effectiveness of miRNA treatments has been examined in cells over-expressing miRNAs and treated with IR. Taken together, our results show that hsa-miR-96-5p and hsa-miR-874-3p can directly regulate the expression of target genes. When these miRNAs are combined with IR can decrease the survival of NSCLC cells to a higher extent than that exerted by radiation alone, and similarly to radiation combined with specific chemical inhibitors of HR and NHEJ repair pathway. This SuperSeries is composed of the SubSeries listed below.
GPL24741_Group,GPL24741_Accession,GPL24741_Title,GPL24741_Source name,GPL24741_Cell line,GPL24741_Treatment,GPL24741_Time
-,GSM3068912,"A549, non-irradiated (0 Gy) cells, biological replicate 1 (0Gy-4h-1)","A549, non-irradiated (0 Gy) cells",A549 cell line derived from human alveolar type 2 primary lung adenocarcinoma cells,control,4 hr
-,GSM3068913,"A549, non-irradiated (0 Gy) cells, biological replicate 2 (0Gy-4h-2)","A549, non-irradiated (0 Gy) cells",A549 cell line derived from human alveolar type 2 primary lung adenocarcinoma cells,control,4 hr
-,GSM3068914,"A549, non-irradiated (0 Gy) cells, biological replicate 3 (0Gy-4h-3)","A549, non-irradiated (0 Gy) cells",A549 cell line derived from human alveolar type 2 primary lung adenocarcinoma cells,control,4 hr
-,GSM3068915,"A549, non-irradiated (0 Gy) cells, biological replicate 4 (0Gy-4h-4)","A549, non-irradiated (0 Gy) cells",A549 cell line derived from human alveolar type 2 primary lung adenocarcinoma cells,control,4 hr
-,GSM3068916,"A549, irradiated (2.0 Gy) cells, biological replicate 1 (2Gy-4h-1)","A549, irradiated (2.0 Gy) cells",A549 cell line derived from human alveolar type 2 primary lung adenocarcinoma cells,IR,4 hr
-,GSM3068917,"A549, irradiated (2.0 Gy) cells, biological replicate 2 (2Gy-4h-2)","A549, irradiated (2.0 Gy) cells",A549 cell line derived from human alveolar type 2 primary lung adenocarcinoma cells,IR,4 hr
-,GSM3068918,"A549, irradiated (2.0 Gy) cells, biological replicate 3 (2Gy-4h-3)","A549, irradiated (2.0 Gy) cells",A549 cell line derived from human alveolar type 2 primary lung adenocarcinoma cells,IR,4 hr
-,GSM3068919,"A549, irradiated (2.0 Gy) cells, biological replicate 4 (2Gy-4h-4)","A549, irradiated (2.0 Gy) cells",A549 cell line derived from human alveolar type 2 primary lung adenocarcinoma cells,IR,4 hr
-,GSM3068920,"A549, non-irradiated (0 Gy) cells, biological replicate 1 (0Gy-24h-1)","A549, non-irradiated (0 Gy) cells",A549 cell line derived from human alveolar type 2 primary lung adenocarcinoma cells,control,24 hr
-,GSM3068921,"A549, non-irradiated (0 Gy) cells, biological replicate 2 (0Gy-24h-2)","A549, non-irradiated (0 Gy) cells",A549 cell line derived from human alveolar type 2 primary lung adenocarcinoma cells,control,24 hr
-,GSM3068922,"A549, non-irradiated (0 Gy) cells, biological replicate 3 (0Gy-24h-3)","A549, non-irradiated (0 Gy) cells",A549 cell line derived from human alveolar type 2 primary lung adenocarcinoma cells,control,24 hr
-,GSM3068923,"A549, non-irradiated (0 Gy) cells, biological replicate 4 (0Gy-24h-4)","A549, non-irradiated (0 Gy) cells",A549 cell line derived from human alveolar type 2 primary lung adenocarcinoma cells,control,24 hr
-,GSM3068924,"A549, irradiated (2.0 Gy) cells, biological replicate 1 (2Gy-24h-1)","A549, irradiated (2.0 Gy) cells",A549 cell line derived from human alveolar type 2 primary lung adenocarcinoma cells,IR,24 hr
-,GSM3068925,"A549, irradiated (2.0 Gy) cells, biological replicate 2 (2Gy-24h-2)","A549, irradiated (2.0 Gy) cells",A549 cell line derived from human alveolar type 2 primary lung adenocarcinoma cells,IR,24 hr
-,GSM3068926,"A549, irradiated (2.0 Gy) cells, biological replicate 3 (2Gy-24h-3)","A549, irradiated (2.0 Gy) cells",A549 cell line derived from human alveolar type 2 primary lung adenocarcinoma cells,IR,24 hr
-,GSM3068927,"A549, irradiated (2.0 Gy) cells, biological replicate 4 (2Gy-24h-4)","A549, irradiated (2.0 Gy) cells",A549 cell line derived from human alveolar type 2 primary lung adenocarcinoma cells,IR,24 hr
