# TITLE: DNA methylation loss coupled with mitotic cell division promotes immune evasion of tumours with high mutation load
# SUMMARY: Mitotic cell division increases tumour mutation burden and copy number load with a positive and inverse correlation, respectively, with the clinical benefit of immunotherapy. Markers of cell division correlate also with genomic demethylation involving methylation loss in late-replicating partial methylation domains. Here we find that immunomodulatory pathway genes are concentrated in these domains and transcriptionally repressed in demethylated tumours with CpG island promoter hypermethylation. Global methylation loss correlated with immune evasion signatures independently of mutation burden and aneuploidy. Methylome data of our cohort (n = 60) and a published cohort (n = 81) in lung cancer and a melanoma cohort (n = 40) consistently demonstrated that genomic methylation alterations counteract the contribution of high mutation burden and increase immunotherapeutic resistance. Higher predictive power was observed for methylation loss than mutation burden. We also found that genomic hypomethylation correlates with the immune escape signatures of aneuploid tumours. Hence, DNA methylation alterations implicate epigenetic modulation as a combination regimens for precision immunotherapy.
GPL23976_Group,GPL23976_Accession,GPL23976_Title,GPL23976_Source name,GPL23976_Disease state
-,GSM3902399,genomic DNA from NSCLC 3,NSCLC 3,tumor
-,GSM3902400,genomic DNA from NSCLC 20,NSCLC 20,tumor
-,GSM3902401,genomic DNA from NSCLC 258,NSCLC 258,tumor
-,GSM3902402,genomic DNA from NSCLC 325,NSCLC 325,tumor
-,GSM3902403,genomic DNA from NSCLC 378,NSCLC 378,tumor
-,GSM3902404,genomic DNA from NSCLC 488,NSCLC 488,tumor
-,GSM3902405,genomic DNA from NSCLC 541,NSCLC 541,tumor
-,GSM3902406,genomic DNA from NSCLC 573,NSCLC 573,tumor
-,GSM3902407,genomic DNA from NSCLC 618,NSCLC 618,tumor
-,GSM3902408,genomic DNA from NSCLC 658,NSCLC 658,tumor
-,GSM3902409,genomic DNA from NSCLC 678,NSCLC 678,tumor
-,GSM3902410,genomic DNA from NSCLC 700,NSCLC 700,tumor
-,GSM3902411,genomic DNA from NSCLC 720,NSCLC 720,tumor
-,GSM3902412,genomic DNA from NSCLC 756,NSCLC 756,tumor
-,GSM3902413,genomic DNA from NSCLC 825,NSCLC 825,tumor
-,GSM3902414,genomic DNA from NSCLC 830,NSCLC 830,tumor
-,GSM3902415,genomic DNA from NSCLC 947,NSCLC 947,tumor
-,GSM3902416,genomic DNA from NSCLC 990,NSCLC 990,tumor
-,GSM3902417,genomic DNA from NSCLC 1017,NSCLC 1017,tumor
-,GSM3902418,genomic DNA from NSCLC 1066,NSCLC 1066,tumor
-,GSM3902419,genomic DNA from NSCLC 1079,NSCLC 1079,tumor
-,GSM3902420,genomic DNA from NSCLC 1104,NSCLC 1104,tumor
-,GSM3902421,genomic DNA from NSCLC 1145,NSCLC 1145,tumor
-,GSM3902422,genomic DNA from NSCLC 1155,NSCLC 1155,tumor
-,GSM3902423,genomic DNA from NSCLC 1164,NSCLC 1164,tumor
-,GSM3902424,genomic DNA from NSCLC 1203,NSCLC 1203,tumor
-,GSM3902425,genomic DNA from NSCLC 1208,NSCLC 1208,tumor
-,GSM3902426,genomic DNA from NSCLC 1250,NSCLC 1250,tumor
-,GSM3902427,genomic DNA from NSCLC 1297,NSCLC 1297,tumor
-,GSM3902428,genomic DNA from NSCLC 1322,NSCLC 1322,tumor
-,GSM3902429,genomic DNA from NSCLC 1327,NSCLC 1327,tumor
-,GSM3902430,genomic DNA from NSCLC 1337,NSCLC 1337,tumor
-,GSM3902431,genomic DNA from NSCLC 1352,NSCLC 1352,tumor
-,GSM3902432,genomic DNA from NSCLC 1358,NSCLC 1358,tumor
-,GSM3902433,genomic DNA from NSCLC 1401,NSCLC 1401,tumor
-,GSM3902434,genomic DNA from NSCLC 1412,NSCLC 1412,tumor
-,GSM3902435,genomic DNA from NSCLC 1425,NSCLC 1425,tumor
-,GSM3902436,genomic DNA from NSCLC 1443,NSCLC 1443,tumor
-,GSM3902437,genomic DNA from NSCLC 1456,NSCLC 1456,tumor
-,GSM3902438,genomic DNA from NSCLC 1490,NSCLC 1490,tumor
-,GSM3902439,genomic DNA from NSCLC 1508,NSCLC 1508,tumor
-,GSM3902440,genomic DNA from NSCLC 1510,NSCLC 1510,tumor
-,GSM3902441,genomic DNA from NSCLC 1528,NSCLC 1528,tumor
-,GSM3902442,genomic DNA from NSCLC 1554,NSCLC 1554,tumor
-,GSM3902443,genomic DNA from NSCLC 1589,NSCLC 1589,tumor
-,GSM3902444,genomic DNA from NSCLC 1619,NSCLC 1619,tumor
-,GSM3902445,genomic DNA from NSCLC 1637,NSCLC 1637,tumor
-,GSM3902446,genomic DNA from NSCLC 1708,NSCLC 1708,tumor
-,GSM3902447,genomic DNA from NSCLC 1711,NSCLC 1711,tumor
-,GSM3902448,genomic DNA from NSCLC 1751,NSCLC 1751,tumor
-,GSM3902449,genomic DNA from NSCLC 1778,NSCLC 1778,tumor
-,GSM3902450,genomic DNA from NSCLC 1809,NSCLC 1809,tumor
-,GSM3902451,genomic DNA from NSCLC 1873,NSCLC 1873,tumor
-,GSM3902452,genomic DNA from NSCLC 1883,NSCLC 1883,tumor
-,GSM3902453,genomic DNA from NSCLC 1960,NSCLC 1960,tumor
-,GSM3902454,genomic DNA from NSCLC 2107,NSCLC 2107,tumor
-,GSM3902455,genomic DNA from NSCLC 2126,NSCLC 2126,tumor
-,GSM3902456,genomic DNA from NSCLC 2132,NSCLC 2132,tumor
-,GSM3902457,genomic DNA from NSCLC 2133,NSCLC 2133,tumor
-,GSM3902458,genomic DNA from NSCLC 2317,NSCLC 2317,tumor
