# TITLE: Genomic markers for malignant progression in pulmonary adenocarcinoma.
# SUMMARY: Bronchioloalveolar carcinoma (BAC), a subtype of lung adenocarcinoma (ADC) without stromal, vascular, or pleural invasion, is considered an in situ tumor with a 100% survival rate. However, the histological criteria for invasion remain controversial. BAC-like areas may accompany otherwise invasive adenocarcinoma, referred to as mixed type adenocarcinoma with BAC features (AWBF). AWBF are considered to evolve from BAC, representing a paradigm for malignant progression in ADC. However, the supporting molecular evidence remains forthcoming. Here, we have studied the genomic changes of BAC and AWBF by array comparative genomic hybridization (CGH). We used submegabase-resolution tiling set array CGH to compare the genomic profiles of 14 BAC or BAC with focal area suspicious for invasion with those of 15 AWBF. Threshold-filtering and frequency-scoring analysis found that genomic profiles of noninvasive and focally invasive BAC are indistinguishable and show fewer aberrations than tumor cells in BAC-like areas of AWBF. These aberrations occurred mainly at the subtelomeric chromosomal regions. Increased genomic alterations were noted between BAC-like and invasive areas of AWBF. We identified 113 genes that best differentiated BAC from AWBF and were considered candidate marker genes for tumor invasion and progression. Correlative gene expression analyses demonstrated a high percentage of them to be poor prognosis markers in early stage ADC. Quantitative PCR also validated the amplification and overexpression of PDCD6 and TERT on chromosome 5p and the prognostic significance of PDCD6 in early stage ADC patients. We identified candidate genes that may be responsible for and are potential markers for malignant progression in AWBF. Keywords: array comparitive genomic hybridization, bronchioloalveolar carcinoma, non-small-cell lung carcinoma, prognostic markers
GPL2616_Group,GPL2616_Accession,GPL2616_Title,GPL2616_Source name 1,GPL2616_Source name 2,GPL2616_Lung Adenocarcinoma with Bronchioalveolar Features - BAC Area (Ch1),GPL2616_Novagen Male Genomic DNA (Ch2),GPL2616_Lung Adenocarcinoma with Bronchioalveolar Features - Invasive Area (Ch1)
-,GSM302263,AWBF_BAC_area_T1,T1: Lung AWBF - BAC Area,Male Genomic (reference),,,
-,GSM302264,AWBF_BAC_area_T11,T11: Lung AWBF - BAC Area,Male Genomic (reference),,,
-,GSM302265,AWBF_BAC_area_T13,T13: Lung AWBF - BAC Area,Male Genomic (reference),,,
-,GSM302266,AWBF_BAC_area_T17,T17: Lung AWBF - BAC Area,Male Genomic (reference),,,
-,GSM302267,AWBF_BAC_area_T22,T22: Lung AWBF - BAC Area,Male Genomic (reference),,,
-,GSM302268,AWBF_BAC_area_T3,T3: Lung AWBF - BAC Area,Male Genomic (reference),,,
-,GSM302269,AWBF_BAC_area_T30,T30: Lung AWBF - BAC Area,Male Genomic (reference),,,
-,GSM302270,AWBF_BAC_area_T4,T4: Lung AWBF - BAC Area,Male Genomic (reference),,,
-,GSM302271,AWBF_BAC_area_T47A,T47A: Lung AWBF - BAC Area,Male Genomic (reference),,,
-,GSM302272,AWBF_BAC_area_T48A,T48A: Lung AWBF - BAC Area,Male Genomic (reference),,,
-,GSM302273,AWBF_BAC_area_T49A,T49A: Lung AWBF - BAC Area,Male Genomic (reference),,,
-,GSM302274,AWBF_BAC_area_T5,T5: Lung AWBF - BAC Area,Male Genomic (reference),,,
-,GSM302275,AWBF_BAC_area_T51A,T51A: Lung AWBF - BAC Area,Male Genomic (reference),,,
-,GSM302276,AWBF_invasive_T10,T10: Lung AWBF - Invasive Area,Male Genomic (reference),,,
-,GSM302277,AWBF_invasive_T12,T12: Lung AWBF - Invasive Area,Male Genomic (reference),,,
-,GSM302280,AWBF_invasive_T19,T19: Lung AWBF - Invasive Area,Male Genomic (reference),,,
-,GSM302281,AWBF_invasive_T195,T195: Lung AWBF - Invasive Area,Male Genomic (reference),,,
-,GSM302282,AWBF_BAC_area_T2,T2: T2: Lung AWBF - BAC Area,Male Genomic (reference),,,
-,GSM302283,AWBF_invasive_T40A,T40A: Lung AWBF - Invasive Area,Male Genomic (reference),,,
-,GSM302284,AWBF_invasive_T41A,T41A: Lung AWBF - Invasive Area,Male Genomic (reference),,,
-,GSM302285,AWBF_invasive_T41B,T41B: Lung AWBF - Invasive Area,Male Genomic (reference),,,
-,GSM302286,AWBF_invasive_T42A,T42A: Lung AWBF - Invasive Area,Male Genomic (reference),,,
-,GSM302287,AWBF_invasive_T43B,T43B: Lung AWBF - Invasive Area,Male Genomic (reference),,,
-,GSM302288,AWBF_invasive_T44A,T44A: Lung AWBF - Invasive Area,Male Genomic (reference),,,
-,GSM302289,AWBF_invasive_T44B,T44B: Lung AWBF - Invasive Area,Male Genomic (reference),,,
-,GSM302290,AWBF_invasive_T46A,T46A: Lung AWBF - Invasive Area,Male Genomic (reference),,,
-,GSM302291,AWBF_invasive_T46B,T46B: Lung AWBF - Invasive Area,Male Genomic (reference),,,
-,GSM302292,AWBF_invasive_T6,T6: Lung AWBF - Invasive Area,Male Genomic (reference),,,
-,GSM302293,AWBF_invasive_T9,T9: Lung AWBF - Invasive Area,Male Genomic (reference),,,
