# TITLE: Expression data from Non small cell lung cancer cell lines
# SUMMARY: Non small cell lung cancer is the leading cause of cancer related mortality in the western world. RNA expression profiles have been demonstrated to be associated with a specific clinical course of the disease. We used microarray analysis to capture the whole transcriptome of a series of lung cancer cell lines to extract RNA profiles associated with specific genomic lesions Keywords: steady state
GPL96_Group,GPL96_Accession,GPL96_Title,GPL96_Source name,GPL96_Cell line
-,GSM372745,A549,human NSCLC cell line A549,A549
-,GSM372746,Calu1,human NSCLC cell line Calu1,Calu1
-,GSM372747,Calu3,human NSCLC cell line Calu3,Calu3
-,GSM372748,Calu6,human NSCLC cell line Calu6,Calu6
-,GSM372749,H1299,human NSCLC cell line H1299,H1299
-,GSM372750,H1355,human NSCLC cell line H1355,H1355
-,GSM372751,H1395,human NSCLC cell line H1395,H1395
-,GSM372752,H1437,human NSCLC cell line H1437,H1437
-,GSM372753,H157,human NSCLC cell line H157,H157
-,GSM372754,H1648,human NSCLC cell line H1648,H1648
-,GSM372755,H1650,human NSCLC cell line H1650,H1650
-,GSM372756,H1666,human NSCLC cell line H1666,H1666
-,GSM372757,H1755,human NSCLC cell line H1755,H1755
-,GSM372758,H1770,human NSCLC cell line H1770,H1770
-,GSM372759,H1792,human NSCLC cell line H1792,H1792
-,GSM372760,H1819,human NSCLC cell line H1819,H1819
-,GSM372761,H1975,human NSCLC cell line H1975,H1975
-,GSM372762,H1993,human NSCLC cell line H1993,H1993
-,GSM372763,H2009,human NSCLC cell line H2009,H2009
-,GSM372764,H2052,human NSCLC cell line H2052,H2052
-,GSM372765,H2087,human NSCLC cell line H2087,H2087
-,GSM372766,H2122,human NSCLC cell line H2122,H2122
-,GSM372767,H2126,human NSCLC cell line H2126,H2126
-,GSM372768,H23,human NSCLC cell line H23,H23
-,GSM372769,H2347,human NSCLC cell line H2347,H2347
-,GSM372770,H28,human NSCLC cell line H28,H28
-,GSM372771,H2882,human NSCLC cell line H2882,H2882
-,GSM372772,H2887,human NSCLC cell line H2887,H2887
-,GSM372773,H3122,human NSCLC cell line H3122,H3122
-,GSM372774,H322,human NSCLC cell line H322,H322
-,GSM372775,H3255,human NSCLC cell line H3255,H3255
-,GSM372776,H358,human NSCLC cell line H358,H358
-,GSM372777,H441,human NSCLC cell line H441,H441
-,GSM372778,H460,human NSCLC cell line H460,H460
-,GSM372779,H661,human NSCLC cell line H661,H661
-,GSM372780,H820,human NSCLC cell line H820,H820
-,GSM372781,HCC1171,human NSCLC cell line HCC1171,HCC1171
-,GSM372782,HCC1195,human NSCLC cell line HCC1195,HCC1195
-,GSM372783,HCC1359,human NSCLC cell line HCC1359,HCC1359
-,GSM372784,HCC15,human NSCLC cell line HCC15,HCC15
-,GSM372785,HCC1833,human NSCLC cell line HCC1833,HCC1833
-,GSM372786,HCC193,human NSCLC cell line HCC193,HCC193
-,GSM372787,HCC2279,human NSCLC cell line HCC2279,HCC2279
-,GSM372788,HCC2429,human NSCLC cell line HCC2429,HCC2429
-,GSM372789,HCC2450,human NSCLC cell line HCC2450,HCC2450
-,GSM372790,HCC2935,human NSCLC cell line HCC2935,HCC2935
-,GSM372791,HCC366,human NSCLC cell line HCC366,HCC366
-,GSM372792,HCC4006,human NSCLC cell line HCC4006,HCC4006
-,GSM372793,HCC44,human NSCLC cell line HCC44,HCC44
-,GSM372794,HCC461,human NSCLC cell line HCC461,HCC461
-,GSM372795,HCC515,human NSCLC cell line HCC515,HCC515
-,GSM372796,HCC78,human NSCLC cell line HCC78,HCC78
-,GSM372797,HCC827,human NSCLC cell line HCC827,HCC827
-,GSM372798,HCC95,human NSCLC cell line HCC95,HCC95
