# TITLE: Identification of Myc target genes in xenograft tissue derived from human lung cancers
# SUMMARY: All three transforming members of the Myc family play a significant role in the development of both SCLC and NSCLC. NSCLC constitutes 80% of all lung cancer, and cMyc expression is most often deregulated, compared with N-Myc and L-Myc, in this disease. Thus, although we are interested in understanding the regulation and function of the entire Myc family in all lung cancers, we focused our research on cMyc deregulation in NSCLC. To identify target genes whose regulatory regions are bound in response to deregulated cMyc in NSCLC, we analyzed mouse xenograft tumours established in immune-compromised mice from monolayer cell lines derived from primary adenocarcinoma NSCLCs. These xenografts were chosen for further study because they show a genetic profile similar to their respective primary tumour (MGH8, RVH6849, A549, MGH24). High c-myc expression positively correlates with the ability of NSCLC cell lines to form xenografts, suggesting that Myc contributes towards the ability of the cells to grow in vivo. We conducted Myc-specific ChIP-chip and the corresponding normal IgG control using the Agilent genome-wide oligonucleotide promoter arrays on 3 biological replicates, of each of the four xenograft tumours. Following pre-processing using variance-stabilizing normalization and statistical analysis using general linear models we identified a list of 2,207 genes significantly enriched for c-Myc binding.
GPL4124_Group,GPL4124_Accession,GPL4124_Title,GPL4124_Source name 1,GPL4124_Source name 2,GPL4124_Cell-line (Ch1),GPL4124_Antibody (Ch1),GPL4124_Cell-line (Ch2),GPL4124_Antibody (Ch2),GPL4125_Group,GPL4125_Accession,GPL4125_Title,GPL4125_Source name 1,GPL4125_Source name 2,GPL4125_Cell-line (Ch1),GPL4125_Antibody (Ch1),GPL4125_Cell-line (Ch2),GPL4125_Antibody (Ch2)
-,GSM374796,LungXenograft-MGH8-Myc-rep1,DNA ChIPed from MGH8 Xenografts using a polyclonal antibody directed against the N-terminal 262 residues of c-Myc,DNA ChIPed from MGH8 Xenografts using a non-specific IgG antibody,MGH8,c-Myc,MGH8,non-specific IgG,-,GSM374878,LungXenograft-A549-Myc-rep1,DNA ChIPed from A549 Xenografts using a polyclonal antibody directed against the N-terminal 262 residues of c-Myc,DNA ChIPed from A549 Xenografts using a non-specific IgG antibody,A549,c-Myc,A549,non-specific IgG
-,GSM374797,LungXenograft-MGH8-Myc-rep2,DNA ChIPed from MGH8 Xenografts using a polyclonal antibody directed against the N-terminal 262 residues of c-Myc,DNA ChIPed from MGH8 Xenografts using a non-specific IgG antibody,MGH8,c-Myc,MGH8,non-specific IgG,-,GSM374879,LungXenograft-A549-Myc-rep2,DNA ChIPed from A549 Xenografts using a polyclonal antibody directed against the N-terminal 262 residues of c-Myc,DNA ChIPed from A549 Xenografts using a non-specific IgG antibody,A549,c-Myc,A549,non-specific IgG
-,GSM374798,LungXenograft-MGH8-Myc-rep3,DNA ChIPed from MGH8 Xenografts using a polyclonal antibody directed against the N-terminal 262 residues of c-Myc,DNA ChIPed from MGH8 Xenografts using a non-specific IgG antibody,MGH8,c-Myc,MGH8,non-specific IgG,-,GSM374880,LungXenograft-A549-Myc-rep3,DNA ChIPed from A549 Xenografts using a polyclonal antibody directed against the N-terminal 262 residues of c-Myc,DNA ChIPed from A549 Xenografts using a non-specific IgG antibody,A549,c-Myc,A549,non-specific IgG
-,GSM374799,LungXenograft-A549-Myc-rep1,DNA ChIPed from A549 Xenografts using a polyclonal antibody directed against the N-terminal 262 residues of c-Myc,DNA ChIPed from A549 Xenografts using a non-specific IgG antibody,A549,c-Myc,A549,non-specific IgG,-,GSM374881,LungXenograft-MGH8-Myc-rep1,DNA ChIPed from MGH8 Xenografts using a polyclonal antibody directed against the N-terminal 262 residues of c-Myc,DNA ChIPed from MGH8 Xenografts using a non-specific IgG antibody,MGH8,c-Myc,MGH8,non-specific IgG
-,GSM374800,LungXenograft-A549-Myc-rep2,DNA ChIPed from A549 Xenografts using a polyclonal antibody directed against the N-terminal 262 residues of c-Myc,DNA ChIPed from A549 Xenografts using a non-specific IgG antibody,A549,c-Myc,A549,non-specific IgG,-,GSM374882,LungXenograft-MGH8-Myc-rep2,DNA ChIPed from MGH8 Xenografts using a polyclonal antibody directed against the N-terminal 262 residues of c-Myc,DNA ChIPed from MGH8 Xenografts using a non-specific IgG antibody,MGH8,c-Myc,MGH8,non-specific IgG
-,GSM374801,LungXenograft-A549-Myc-rep3,DNA ChIPed from A549 Xenografts using a polyclonal antibody directed against the N-terminal 262 residues of c-Myc,DNA ChIPed from A549 Xenografts using a non-specific IgG antibody,A549,c-Myc,A549,non-specific IgG,-,GSM374883,LungXenograft-MGH8-Myc-rep3,DNA ChIPed from MGH8 Xenografts using a polyclonal antibody directed against the N-terminal 262 residues of c-Myc,DNA ChIPed from MGH8 Xenografts using a non-specific IgG antibody,MGH8,c-Myc,MGH8,non-specific IgG
-,GSM374802,LungXenograft-MGH24-Myc-rep1,DNA ChIPed from MGH24 Xenografts using a polyclonal antibody directed against the N-terminal 262 residues of c-Myc,DNA ChIPed from MGH24 Xenografts using a non-specific IgG antibody,MGH24,c-Myc,MGH24,non-specific IgG,-,GSM374884,LungXenograft-MGH24-Myc-rep1,DNA ChIPed from MGH24 Xenografts using a polyclonal antibody directed against the N-terminal 262 residues of c-Myc,DNA ChIPed from MGH24 Xenografts using a non-specific IgG antibody,MGH24,c-Myc,MGH24,non-specific IgG
-,GSM374803,LungXenograft-MGH24-Myc-rep2,DNA ChIPed from MGH24 Xenografts using a polyclonal antibody directed against the N-terminal 262 residues of c-Myc,DNA ChIPed from MGH24 Xenografts using a non-specific IgG antibody,MGH24,c-Myc,MGH24,non-specific IgG,-,GSM374885,LungXenograft-MGH24-Myc-rep2,DNA ChIPed from MGH24 Xenografts using a polyclonal antibody directed against the N-terminal 262 residues of c-Myc,DNA ChIPed from MGH24 Xenografts using a non-specific IgG antibody,MGH24,c-Myc,MGH24,non-specific IgG
-,GSM374804,LungXenograft-MGH24-Myc-rep3,DNA ChIPed from MGH24 Xenografts using a polyclonal antibody directed against the N-terminal 262 residues of c-Myc,DNA ChIPed from MGH24 Xenografts using a non-specific IgG antibody,MGH24,c-Myc,MGH24,non-specific IgG,-,GSM374886,LungXenograft-MGH24-Myc-rep3,DNA ChIPed from MGH24 Xenografts using a polyclonal antibody directed against the N-terminal 262 residues of c-Myc,DNA ChIPed from MGH24 Xenografts using a non-specific IgG antibody,MGH24,c-Myc,MGH24,non-specific IgG
-,GSM374805,LungXenograft-RVH6849-Myc-rep1,DNA ChIPed from RVH6849 Xenografts using a polyclonal antibody directed against the N-terminal 262 residues of c-Myc,DNA ChIPed from RVH6849 Xenografts using a non-specific IgG antibody,RVH6849,c-Myc,RVH6849,non-specific IgG,-,GSM374887,LungXenograft-RVH6849-Myc-rep1,DNA ChIPed from RVH6849 Xenografts using a polyclonal antibody directed against the N-terminal 262 residues of c-Myc,DNA ChIPed from RVH6849 Xenografts using a non-specific IgG antibody,RVH6849,c-Myc,RVH6849,non-specific IgG
