# TITLE: Transcriptome in NSCLC cell lines
# SUMMARY: Analysis of the whole transcriptome in 15 NSCLC cell lines of different origin
GPL15207_Group,GPL15207_Accession,GPL15207_Title,GPL15207_Source name,GPL15207_Cell line,GPL15207_Cell type
-,GSM5909279,A549,A549,A549,NSCLC
-,GSM5909280,Calu1,Calu1,Calu1,NSCLC
-,GSM5909281,Calu3,Calu3,Calu3,NSCLC
-,GSM5909282,H1437,H1437,H1437,NSCLC
-,GSM5909283,H1650,H1650,H1650,NSCLC
-,GSM5909284,H1781,H1781,H1781,NSCLC
-,GSM5909285,H1975,H1975,H1975,NSCLC
-,GSM5909286,H2009,H2009,H2009,NSCLC
-,GSM5909287,H2228,H2228,H2228,NSCLC
-,GSM5909288,H226,H226,H226,NSCLC
-,GSM5909289,H3122,H3122,H3122,NSCLC
-,GSM5909290,H358,H358,H358,NSCLC
-,GSM5909291,H460,H460,H460,NSCLC
-,GSM5909292,H520,H520,H520,NSCLC
-,GSM5909293,HC827,HC827,HC827,NSCLC
