# TITLE: High resolution analysis of non-small cell lung cancer cell lines by whole genome tiling path array CGH
# SUMMARY: Chromosomal regions harboring tumor suppressors and oncogenes are often deleted or amplified. Array comparative genomic hybridization (CGH) detects segmental DNA copy number alterations in tumor DNA relative to a normal control. The recent development of a bacterial artificial chromosome (BAC) array, that spans the human genome in a tiling path manner with >32,000 clones, has facilitated whole genome profiling at an unprecedented resolution. Using this technology, we comprehensively describe and compare the genomes of 28 commonly used non-small cell lung carcinoma cell models, derived from 18 adenocarcinomas, 9 squamous cell carcinomas, and 1 large cell carcinoma. Analysis at such resolution not only provided a detailed genomic alteration template for each of these model cell lines, but revealed novel regions of frequent duplication and deletion. Significantly, a detailed analysis of chromosome 7 identified 6 distinct regions of alterations across this chromosome implicating the presence of multiple novel oncogene loci on this chromosome. As well, a comparison between the squamous and adenocarcinoma cells revealed alterations common to both subtypes, such as the loss of 3p and gain of 5p, in addition to multiple hotspots more frequently associated with only one subtype. Interestingly, chromosome 3q, which is known to be amplified in both subtypes, showed two distinct regions of alteration, one frequently altered in squamous and one more frequent altered in adenocarcinoma. In summary, our data demonstrates the unique information generated by high resolution analysis of NSCLC genomes and uncovers the presence of genetic alterations prevalent in the different NSCLC subtypes. Keywords: array CGH, amplification, segmental copy number, NSCLC, Lung cancer, genetic alterations
GPL2043_Group,GPL2043_Accession,GPL2043_Title,GPL2043_Source name 1,GPL2043_Source name 2,GPL2043_ATCC catalogue number CRL-5868 (Ch1),GPL2043_NOVAGEN POOLED NORMAL MALE GENOMIC DNA (Ch2),GPL2043_ATTC catalogue number CRL-5818 (Ch1),GPL2043_NOVAGEN POOLED MALE REFERENCE GENOMIC DNA (Ch2),GPL2043_ATTC catalogue number CRL-5882 (Ch1),GPL2043_NOVAGEN POOLED NORMAL REFERENCE GENOMIC DNA (Ch2),GPL2043_ATTC catalogue number CRL-5897 (Ch1),GPL2043_ATTC catalogue number CRL-5909 (Ch1),GPL2043_NOVAGEN POOLED NORMAL MALE REFERENCE GENOMIC DNA (Ch2),GPL2043_ATTC catalogue number CRL-5922 (Ch1),GPL2043_ATTC catalogue number CRL-5985 (Ch1),GPL2043_Characteristics 2,GPL2043_ATTC catalogue number CRL-5942 (Ch1),GPL2043_HCC78 (Ch1),GPL2043_HCC193 (Ch1),GPL2043_HCC366 (Ch1),GPL2043_HCC461 (Ch1),GPL2043_HCC1195 adenocarcinoma cell line (Ch1),GPL2043_HCC1833 adenocarcinoma cell line (Ch1),GPL2043_ATTC catalogue number CRL-5826 (Ch1),GPL2043_ATCC Catalogue Number CRL-5928 (Ch1),GPL2043_Squamous Cell Carcinoma Cell Line H157 (Ch1),GPL2043_HCC15 Squamous Cell Carcinoma Cell Line (Ch1),GPL2043_HCC95 Squamous Cell Carcinoma Cell Line (Ch1),GPL2043_HCC2450 Squamous Cell Carcinoma Cell Line (Ch1),GPL2043_ATCC Catalouge Number HTB-58 (Ch1),GPL2043_ATCC catalogue number HTB59 (Ch1),GPL2043_ATCC Catalogue Number HTB182 (Ch1),GPL2043_ATCC catalogue number CRL-5911 (Ch1),GPL2616_Group,GPL2616_Accession,GPL2616_Title,GPL2616_Source name 1,GPL2616_Source name 2,GPL2616_HCC2279 Adenocarcinoma Cell Line (Ch1),GPL2616_NOVAGEN POOLED MALE REFERENCE GENOMIC DNA (Ch2),GPL2616_H3255 Adenocarcinoma Cell Line (Ch1),GPL2616_HCC827 Adenocarcinoma Cell Line (Ch1),GPL2616_HCC4066 Adenocarcinoma Cell Line (Ch1)
-,GSM62324,H1395,H1395 adenocarcinoma cell line,normal male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,GSM63348,HCC2279,HCC2279 Adenocarcinoma Cell Line,Male Genomic,,,,,
-,GSM62325,H1155,H1155 large cell carcinoma line,normal male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,GSM63349,H3255,H3255 Adenocarcinoma Cell Line,Male genomic,,,,,
-,GSM62326,H1648,H1648 adenocarcinoma cell line,normal male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,GSM63350,HCC827,HCC827 Adenocarcinoma Cell Line,Male genomic,,,,,
-,GSM62327,H1819,H1819 adenocarcinoma cell line,normal male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,GSM63351,HCC4066,HCC4066 Adenocarcinoma Cell Line,Male genomic,,,,,
-,GSM62328,H1993,H1993 adenocarcinoma cell line,normal male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,GSM62329,H2087,H2087 adenocarcinoma cell line,normal male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,GSM62330,H2122,H2122 adenocarcinoma cell line,normal male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,GSM62332,H2347,H2347 adenocarcinoma cell line,normal male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,GSM62333,HCC78,HCC78 adenocarcinoma cell line,normal male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,GSM62334,HCC193,HCC193 adenocarcinoma cell line,normal male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,GSM62335,HCC366,HCC366 adenocarcinoma cell line,normal male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,GSM62336,HCC461,HCC461 adenocarcinoma cell line,normal male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,GSM62337,HCC1195,HCC1195 adenocarcinoma cell line,normal male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,GSM62338,HCC1833,HCC1833 adenocarcinoma cell line,normal male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,GSM62965,H226,H226 Squamous Cell Carcinoma Cell Line,normal male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,GSM62966,H2170,Squamous Cell Carcinoma Cell Line H2170,Male genomic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,GSM62967,H157,Squamous Cell Carcinoma Cell Line H157,male genomic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,GSM62968,HCC15,HCC15 Squamous Cell Carcinoma Cell Line,Male genomic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,GSM62969,HCC95,HCC95 Squamous Cell Carcinoma Cell Line,Male genomic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,GSM62970,HCC2450,HCC2450 Squamous Cell Carcinoma Cell Line,Male genomic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,GSM62971,SK-MES-1,SK-MES-1 Squamous Cell Carcinoma Cell Line,Male genomic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
