# TITLE: Nimblegen 385K array CGH on NCI-60 cancer cell lines
# SUMMARY: The NCI-60 cancer cell lines have been used for studying cancer pathogenesis and for drug discovery. This dataset adds to the growing number of datasets on various genomic platforms that have been made public on Cellminer (http://discover.nci.nih.gov/cellminer/)
GPL13786_Group,GPL13786_Accession,GPL13786_Title,GPL13786_Source name 1,GPL13786_Source name 2,GPL13786_Cell line (Ch1),GPL13786_Tissue of origin (Ch1),GPL13786_Age (Ch1),GPL13786_Sex (Ch1),GPL13786_Epithelial (Ch1),GPL13786_Source (Ch1),GPL13786_Ploidy (Ch1),GPL13786_P53 mutation (Ch1),GPL13786_Doubling time (Ch1),GPL13786_Sample description (Ch1),GPL13786_Sex (Ch2),GPL13786_Sample description (Ch2),GPL13786_Prior treatment (Ch1),GPL13786_Cell line (Ch2),GPL13786_Tissue of origin (Ch2),GPL13786_Age (Ch2),GPL13786_Epithelial (Ch2),GPL13786_Ploidy (Ch2),GPL13786_P53 mutation (Ch2),GPL13786_Doubling time (Ch2)
-,GSM750771,BR:MCF7 (37968),BR:MCF7,Male human reference,BR:MCF7,Breast,69,F,yes,Pleural effusion,"3n-, Hypotriploid (58-68)",WT,25.4,Adenocarcinoma-mammary gland; breast; metastatic site: pleural effusion;,M,Pool of six normal male samples,,,,,,,,
-,GSM750772,PR:RC01 (37986),PR:RC01,Male human reference,PR:RC01,Prostate,69,M,yes,Metastasis,"3n+/-, Near-triploid 69+/- (58-80)",,32.3,Drug resistant variant of DU145(ATCC),M,Pool of six normal male samples,Androgen independent and unresponsive to hormone therapy,,,,,,,
-,GSM750773,CO:HCT116 (38029),CO:HCT116,Male human reference,CO:HCT116,Colon,,M,yes,,"2n-, Hypodiploid (35-45)",,17.4,carcinoma-very poorly differentiated,M,Pool of six normal male samples,,,,,,,,
-,GSM750774,PR:DU-145(ATCC) (38074),PR:DU-145(ATCC),Male human reference,PR:DU-145(ATCC),Prostate,69,M,yes,Metastasis,"3n+/-, Near-triploid 69+/- (58-80)",,32.3,Derived from metastatic site: brain (patient with metastatic carcinoma of the prostate and a 3 year history of lymphocytic leukemia.),M,Pool of six normal male samples,Androgen independent and unresponsive to hormone therapy,,,,,,,
-,GSM750775,BR:BT-549 (41075),BR:BT-549,Male human reference,BR:BT-549,Breast,72,F,yes,Metastasis,"3n+/-, Near-triploid 69+/- (58-80)",,53.9,Papillary infiltrating ductal carcinoma-mammary gland; breast,M,Pool of six normal male samples,,,,,,,,
-,GSM750776,BR:HS578T (41076),BR:HS578T,Male human reference,BR:HS578T,Breast,74,F,yes,Primary,"2n+, Hyperdiploid (47-57)",MT,53.8,Carcinosarcoma-mammary gland; breast,M,Pool of six normal male samples,,,,,,,,
-,GSM750777,BR:MCF7 (42605),BR:MCF7,Male human reference,BR:MCF7,Breast,69,F,yes,Pleural effusion,"3n-, Hypotriploid (58-68)",WT,25.4,Adenocarcinoma-mammary gland; breast; metastatic site: pleural effusion;,M,Pool of six normal male samples,,,,,,,,
-,GSM750778,BR:MCF7 (42606),BR:MCF7,Male human reference,BR:MCF7,Breast,69,F,yes,Pleural effusion,"3n-, Hypotriploid (58-68)",WT,25.4,Adenocarcinoma-mammary gland; breast; metastatic site: pleural effusion;,M,Pool of six normal male samples,,,,,,,,
-,GSM750779,LC:A549 (55650),LC:A549,Male human reference,LC:A549,Non-Small Cell Lung,58,M,yes,,"3n+/-, Near-triploid 69+/- (58-80)",WT,22.9,Adenocarcinoma-poor to moderate differentiation,M,Pool of six normal male samples,,,,,,,,
-,GSM750780,LC:A549 (55668),Male human reference,LC:A549,,,,M,,,,,,Pool of six normal male samples,M,Adenocarcinoma-poor to moderate differentiation,,LC:A549,Non-Small Cell Lung,58,yes,"3n+/-, Near-triploid 69+/- (58-80)",WT,22.9
-,GSM750781,BR:MDA-MB-231 (56003),BR:MDA-MB-231,Male human reference,BR:MDA-MB-231,Breast,51,F,yes,Pleural effusion,"2n+, Hyperdiploid (47-57)",MT,41.9,Adenocarcinoma-mammary gland; breast; epithelial; metastatic site: pleural effusion;,M,Pool of six normal male samples,,,,,,,,
-,GSM750782,BR:T47D (56166),BR:T47D,Male human reference,BR:T47D,Breast,54,F,yes,,"2n+, Hyperdiploid (47-57)",MT,45.5,infiltrating ductal carcinoma,M,Pool of six normal male samples,,,,,,,,
-,GSM750783,CNS:SF-295 (56192),CNS:SF-295,Male human reference,CNS:SF-295,CNS,67,F,no,,"5n+/-, Near-pentaploid 115+/- (104-126)",MT,29.5,Glioblastoma-undifferentiated,M,Pool of six normal male samples,Rad,,,,,,,
-,GSM750784,CNS:SF-539 (56197),CNS:SF-539,Male human reference,CNS:SF-539,CNS,34,F,no,,"4n+/-, Near-tetraploid 92+/- (81-103)",WT,35.4,Glial cell neoplasm,M,Pool of six normal male samples,Rad/BCNU/5FU/HU/6MP,,,,,,,
-,GSM750785,CNS:SNB19 (56256),CNS:SNB19,Male human reference,CNS:SNB19,CNS,47,M,no,,"3n+/-, Near-triploid 69+/- (58-80)",MT,34.6,Glioblastoma-undifferentiated,M,Pool of six normal male samples,None,,,,,,,
-,GSM750786,CNS:SNB-75 (56391),CNS:SNB-75,Male human reference,CNS:SNB-75,CNS,,F,no,,"2n+, Hyperdiploid (47-57)",MT,62.8,Astrocytoma,M,Pool of six normal male samples,None,,,,,,,
-,GSM750787,CNS:SF-268 (56799),CNS:SF-268,Male human reference,CNS:SF-268,CNS,24,F,no,,"2n+, Hyperdiploid (47-57)",MT,33.1,Glioblastoma-undifferentiated,M,Pool of six normal male samples,Rad,,,,,,,
-,GSM750788,LC:A549 (56899),LC:A549,Male human reference,LC:A549,Non-Small Cell Lung,58,M,yes,,"3n+/-, Near-triploid 69+/- (58-80)",WT,22.9,Adenocarcinoma-poor to moderate differentiation,M,Pool of six normal male samples,,,,,,,,
-,GSM750789,LC:A549 (57014),LC:A549,Male human reference,LC:A549,Non-Small Cell Lung,58,M,yes,,"3n+/-, Near-triploid 69+/- (58-80)",WT,22.9,Adenocarcinoma-poor to moderate differentiation,M,Pool of six normal male samples,,,,,,,,
-,GSM750790,CNS:SF-268 (57296),CNS:SF-268,Male human reference,CNS:SF-268,CNS,24,F,no,,"2n+, Hyperdiploid (47-57)",MT,33.1,Glioblastoma-undifferentiated,M,Pool of six normal male samples,Rad,,,,,,,
-,GSM750791,LC:A549 (57365),Male human reference,LC:A549,,,,M,,,,,,Pool of six normal male samples,M,Adenocarcinoma-poor to moderate differentiation,,LC:A549,Non-Small Cell Lung,58,yes,"3n+/-, Near-triploid 69+/- (58-80)",WT,22.9
-,GSM750792,CO:HCT-15 (57425),CO:HCT-15,Male human reference,CO:HCT-15,Colon,,,yes,,"2n+/-, Near-diploid 46+/- (35-57)",,20.6,Adenocarcinoma-poor to moderate differentiation,M,Pool of six normal male samples,None,,,,,,,
-,GSM750793,CO:HCT116 (57428),CO:HCT116,Male human reference,CO:HCT116,Colon,,M,yes,,"2n-, Hypodiploid (35-45)",,17.4,carcinoma-very poorly differentiated,M,Pool of six normal male samples,,,,,,,,
-,GSM750794,CO:COLO205 (57442),CO:COLO205,Male human reference,CO:COLO205,Colon,70,M,yes,Ascites,"3n, Triploid (69)",MT,23.8,Adenocarcinoma,M,Pool of six normal male samples,,,,,,,,
-,GSM750795,CNS:U251 (57445),CNS:U251,Male human reference,CNS:U251,CNS,75,M,no,,"2n+, Hyperdiploid (47-57)",MT,23.8,Glioblastoma-undifferentiated,M,Pool of six normal male samples,,,,,,,,
-,GSM750796,CO:HCC-2998 (57480),CO:HCC-2998,Male human reference,CO:HCC-2998,Colon,,,yes,,"2n+/-, Near-diploid 46+/- (35-57)",MT,31.5,carcinoma,M,Pool of six normal male samples,,,,,,,,
-,GSM750797,CO:KM12 (57550),CO:KM12,Male human reference,CO:KM12,Colon,,,yes,,"2n+/-, Near-diploid 46+/- (35-57)",MT,23.7,Adenocarcinome-poor differentiation,M,Pool of six normal male samples,None,,,,,,,
-,GSM750798,LC:NCI-H522 (57901),LC:NCI-H522,Male human reference,LC:NCI-H522,Non-Small Cell Lung,,M,yes,,"2n+/-, Near-diploid 46+/- (35-57)",MT,38.2,Adenocarcinoma-very poorly differentiated,M,Pool of six normal male samples,None,,,,,,,
-,GSM750799,ME:M14 (58192),ME:M14,Male human reference,ME:M14,Melanoma,,,no,,"3n+/-, Near-triploid 69+/- (58-80)",MT,26.3,Melanotic melanoma,M,Pool of six normal male samples,,,,,,,,
