# TITLE: Expression profiling of lung cancer cell lines (UTSW Lung Panel V2)
# SUMMARY: Epithelial/mesenchymal transition (EMT) is associated with loss of cell adhesion molecules, such as E-cadherin, and increased invasion, migration, and proliferation in epithelial cancers. In non-small cell lung cancer (NSCLC), EMT is associated with greater resistance to EGFR inhibitors. However, its potential to predict response to other targeted drugs or chemotherapy has not been well characterized. The goal of this study was to develop a robust, platform-independent EMT gene expression signature and to investigate the association of EMT and drug response in NSCLC. A 76-gene EMT signature was derived in 54 DNA-fingerprinted NSCLC cell lines and tested in an independent set of cell lines and in NSCLC patients from the BATTLE clinical trial. The signature classified cell lines as epithelial or mesenchymal independent of the microarray platform and correlated strongly with E-cadherin protein levels, as measured by reverse phase protein array. Higher protein expression of Rab25 (in epithelial lines) and Axl (in mesenchymal lines), two signature genes associated with in EMT in other cancer types, was also confirmed. Mesenchymal cell lines demonstrated significantly greater resistance to EGFR inhibition, independent of EGFR mutation status and were more resistant to drugs targeting the PI3K/Akt pathway. We observed no association between EMT and response to cytotoxic chemotherapies, including cisplatin, pemetrexed, and docetaxel monotherapy and/or doublets (p-values ?0.2). In NSCLC patients, the EMT signature predicted 8-week disease control in the erlotinib arm, but not in other treatment arms. In conclusion, we have developed a robust EMT signature that predicts resistance to EGFR inhibitors and PI3K/Akt pathway inhibitors.
GPL13376_Group,GPL13376_Accession,GPL13376_Title,GPL13376_Source name,GPL13376_Cell line,GPL13376_Cell line name,GPL13376_Atcc alias,GPL13376_Histology,GPL13376_Age,GPL13376_Race,GPL13376_Gender
-,GSM817062,A549,Lung cancer cell line,NSCLC cell line,A549,CCL-185,Adenocarcinoma,58,Caucasian,M
-,GSM817063,Calu-1,Lung cancer cell line,NSCLC cell line,Calu-1,HTB-54,Muco-epidermoid carcinoma,47,Caucasian,M
-,GSM817064,Calu-3,Lung cancer cell line,NSCLC cell line,Calu-3,HTB-55,Adenocarcinoma,25,Caucasian,M
-,GSM817065,Calu-6,Lung cancer cell line,NSCLC cell line,Calu-6,HTB-56,Adenocarcinoma,61,Caucasian,F
-,GSM817066,H23,Lung cancer cell line,NSCLC cell line,H23,CRL-5800,Adenocarcinoma,51,Black,M
-,GSM817067,H125,Lung cancer cell line,NSCLC cell line,H125,,Adenosquamous,61,Black,M
-,GSM817068,H157,Lung cancer cell line,NSCLC cell line,H157,,Squamous,59,Caucasian,M
-,GSM817069,H290,Lung cancer cell line,NSCLC cell line,H290,,Mesothelioma,,,M
-,GSM817070,H322,Lung cancer cell line,NSCLC cell line,H322,,Adenocarcinoma,52,Caucasian,M
-,GSM817071,H324,Lung cancer cell line,NSCLC cell line,H324,,Adenocarcinoma,63,Black,M
-,GSM817072,H358,Lung cancer cell line,NSCLC cell line,H358,CRL-5807,Adenocarcinoma,,Caucasian,M
-,GSM817073,H441,Lung cancer cell line,NSCLC cell line,H441,HTB-174,Adenocarcinoma,33,,M
-,GSM817074,H460,Lung cancer cell line,NSCLC cell line,H460,HTB-177,Large Cell,,,M
