# TITLE: “Seed-milarity” confers to hsa-miR-210 and hsa-miR-147b similar functional activity
# SUMMARY: Specificity of interaction between a microRNA (miRNA) and its targets crucially depends on the seed region located in its 5’-end. It is often implicitly considered that two miRNAs sharing the same biological activity should display similarity beyond the strict six nucleotide region that forms the seed, in order to form specific complexes with the same mRNA targets. We have found that expression of hsa-miR-147b and hsa-miR-210, though triggered by different stimuli (i.e. lipopolysaccharides and hypoxia, respectively), induce very similar cellular effects in term of proliferation, migration and apoptosis. Hsa-miR-147b only shares a “minimal” 6-nucleotides seed sequence with hsa-miR-210, but is identical with hsa-miR-147a over 20 nucleotides, except for one base located in the seed region. Phenotypic changes induced after heterologous expression of miR-147a strikingly differ from those induced by miR-147b or miR-210. In particular, miR-147a behaves as a potent inhibitor of cell proliferation and migration. These data fit well with the gene expression profiles observed for miR-147b and miR-210, which are very similar, and the gene expression profile of miR-147a, which is distinct from the two others. Bioinformatics analysis of all human miRNA sequences indicates multiple cases of miRNAs from distinct families exhibiting the same kind of similarity that would need to be further characterized in terms of putative functional redundancy. Besides, it implies that functional impact of some miRNAs can be masked by robust expression of miRNAs belonging to distinct families.
GPL1456_Group,GPL1456_Accession,GPL1456_Title,GPL1456_Source name 1,GPL1456_Source name 2,GPL1456_Label (Ch1),GPL1456_Extract (Ch1),GPL1456_Sample (Ch1),GPL1456_Subject (Ch1),GPL1456_Tissue (Ch1),GPL1456_Cell_type (Ch1),GPL1456_Rna_number (Ch1),GPL1456_Label (Ch2),GPL1456_Extract (Ch2),GPL1456_Sample (Ch2),GPL1456_Subject (Ch2),GPL1456_Tissue (Ch2),GPL1456_Cell_type (Ch2),GPL1456_Rna_number (Ch2),GPL1456_Extract_amount (Ch1),GPL1456_Origin (Ch1),GPL1456_Extract_concentration (Ch1),GPL1456_Origin (Ch2),GPL1456_Extract_amount (Ch2),GPL1456_Extract_concentration (Ch2)
-,GSM822740,350290,miR-147b,miR-Neg,miR-147b,miR-147b,miR-147b,miR-147b,A549,A549,10,miR-Neg,miR-Neg,miR-Neg,miR-Neg,A549,A549,10,,,,,,
-,GSM822741,350135,miR-Neg,miR-147a,miR-Neg,K1_1,miR-Neg,miR-Neg,A549,A549,10,miR-147a,miR-147a,miR-147a,miR-147a,A549,A549,3,2.0,,,,,
-,GSM822742,350137,miR-Neg,miR-147b,miR-Neg,miR-Neg,miR-Neg,miR-Neg,A549,A549,10,miR-147b,miR-147b,miR-147b,miR-147b,A549,A549,10,,,,,,
-,GSM822743,350495,miR-210,miR-Neg,miR-210,miR-210,miR-210,miR-210,A549,A549,10,miR-Neg,miR-Neg,miR-Neg,miR-Neg,A549,A549,10,,,,,,
-,GSM822744,350151,hsa-miR-147a,miR-Neg,hsa-miR-147a,hsa-miR-147a,hsa-miR-147a,hsa-miR-147a,,A549,3,miR-Neg,miR-Neg,miR-Neg,miR-Neg,,A549,3,2.0,Non Small Cell Lung Carcinoma,412.68,Non Small Cell Lung Carcinoma,2.0,426.73
-,GSM822745,350340,hsa-miR-147b,miR-Neg,hsa-miR-147b,hsa-miR-147b,hsa-miR-147b,hsa-miR-147b,,A549,3,miR-Neg,miR-Neg,miR-Neg,miR-Neg,,A549,3,2.0,Non Small Cell Lung Carcinoma,412.68,Non Small Cell Lung Carcinoma,2.0,426.73
-,GSM822746,348274,miR-Neg,hsa-miR-210,miR-Neg,miR-Neg,miR-Neg,miR-Neg,,A549,3,hsa-miR-210,hsa-miR-210,hsa-miR-210,hsa-miR-210,,A549,3,2.0,Non Small Cell Lung Carcinoma,412.65,Non Small Cell Lung Carcinoma,2.0,514.99
-,GSM822747,347922,miR-Neg,hsa-miR-147a,miR-Neg,miR-Neg,miR-Neg,miR-Neg,,A549,3,hsa-miR-147a,hsa-miR-147a,hsa-miR-147a,hsa-miR-147a,,A549,3,2.0,Non Small Cell Lung Carcinoma,426.73,Non Small Cell Lung Carcinoma,2.0,412.68
-,GSM822748,350604,A549 NEG3,A549 MIR147b,A549 NEG3,A549 NEG3,A549 NEG3,A549,A549,,,A549 MIR147b,A549 MIR147b,A549 MIR147b,A549,A549,,,2.0,,393.54,,2.0,473.59
-,GSM822749,350605,A549 MIR147b,A549 NEG3,A549 MIR147b,A549 MIR147b,A549 MIR147b,A549,A549,,,A549 NEG3,A549 NEG3,A549 NEG3,A549,A549,,,2.0,,473.59,,2.0,393.54
-,GSM822750,350602,A549 NEG2,A549 MIR147a,A549 NEG2,A549 NEG2,A549 NEG2,A549,A549,,,A549 MIR147a,A549 MIR147a,A549 MIR147a,A549,A549,,,2.0,,426.73,,2.0,412.68
-,GSM822751,350603,A549 MIR147a,A549 NEG2,A549 MIR147a,A549 MIR147a,A549 MIR147a,A549,A549,,,A549 NEG2,A549 NEG2,A549 NEG2,A549,A549,,,2.0,,412.68,,2.0,426.73
-,GSM822752,350601,A549 MIR210,A549 NEG1,A549 MIR210,A549 MIR210,A549 MIR210,A549,A549,,,A549 NEG1,A549 NEG1,A549 NEG1,A549,A549,,,2.0,,514.99,,2.0,412.65
-,GSM822753,350335,A549 NEG1,A549 MIR210,A549 NEG1,A549 NEG1,A549 NEG1,A549,A549,,,A549 MIR210,A549 MIR210,A549 MIR210,A549,A549,,,2.0,,412.65,,2.0,514.99
-,GSM822754,350288,miR-Neg,miR-210,miR-Neg,miR-Neg,miR-Neg,miR-Neg,A549,A549,10,miR-210,miR-210,miR-210,miR-210,A549,A549,10,,,,,,
-,GSM822755,350289,miR-147a,miR-Neg,miR-147a,miR-147a,miR-147a,miR-147a,A549,A549,10,miR-Neg,miR-Neg,miR-Neg,miR-Neg,A549,A549,10,,,,,,
-,GSM822756,350074,miR-Neg,hsa-miR-147b,miR-Neg,miR-Neg,miR-Neg,miR-Neg,,A549,3,hsa-miR-147b,hsa-miR-147b,hsa-miR-147b,hsa-miR-147b,,A549,3,2.0,Non Small Cell Lung Carcinoma,393.54,Non Small Cell Lung Carcinoma,2.0,473.59
-,GSM822757,350152,hsa-miR-210,miR-Neg,hsa-miR-210,hsa-miR-210,hsa-miR-210,hsa-miR-210,,A549,3,miR-Neg,miR-Neg,miR-Neg,miR-Neg,,A549,3,2.0,Non Small Cell Lung Carcinoma,514.99,Non Small Cell Lung Carcinoma,2.0,412.65
