# TITLE: Time-course gene expression profiles of gefitinib-sensitive or -resistant lung adenocarcinoma cells stimulated with EGF, in the presence or absence of gefitinib, EGF receptor tyrosine kinase-specific inhibitor
# SUMMARY: Gefitinib, an epidermal growth factor receptor (EGFR) tyrosine kinase inhibitor (TKI), induces substantial clinical responses for non-small cell lung cancer (NSCLC) cells harboring EGFR activating mutations, but most of them invariably develop resistance. By generating a gefitinib resistance (PC9GR) from a human NSCLC-derived drug sensitive cell line (PC9), we studied differences of transcription dynamics between them by the aid of a computational decoupling of hidden regulatory signals from time course gene expression profiles. Given a collection of transcription factors (TFs) and their regulatory targets, the method captured temporally-synchronized shifts in evolving expression of target genes sharing each TF regulatory unit, and drew underlying regulatory signals. The analysis identified sterol regulatory element binding protein 1 (SREBP-1) as a key regulatory agent that facilitates the maintenance of drug tolerance, involving transcription controls of a G1-specific cyclin dependent kinase inhibitor whose expression was specifically elevated in PC9, but in turn, reduced in PC9GR
GPL4133_Group,GPL4133_Accession,GPL4133_Title,GPL4133_Source name,GPL4133_Tissue,GPL4133_Drug response,GPL4133_Cell line,GPL4133_Time,GPL4133_Treatment
-,GSM844917,PC9_EGF_0hr,"PC9, 0hr, EGF",non-small cell lung cancer cell line,gefitinib-sensitive cell line,PC9,0hr,EGF
-,GSM844918,PC9_EGF_0.5hr,"PC9, 0.5hr, EGF",non-small cell lung cancer cell line,gefitinib-sensitive cell line,PC9,0.5hr,EGF
-,GSM844919,PC9_EGF_1hr,"PC9, 1hr, EGF",non-small cell lung cancer cell line,gefitinib-sensitive cell line,PC9,1hr,EGF
-,GSM844920,PC9_EGF_2hr,"PC9, 2hr, EGF",non-small cell lung cancer cell line,gefitinib-sensitive cell line,PC9,2hr,EGF
-,GSM844921,PC9_EGF_3hr,"PC9, 3hr, EGF",non-small cell lung cancer cell line,gefitinib-sensitive cell line,PC9,3hr,EGF
-,GSM844922,PC9_EGF_4hr,"PC9, 4hr, EGF",non-small cell lung cancer cell line,gefitinib-sensitive cell line,PC9,4hr,EGF
-,GSM844923,PC9_EGF_5hr,"PC9, 5hr, EGF",non-small cell lung cancer cell line,gefitinib-sensitive cell line,PC9,5hr,EGF
-,GSM844924,PC9_EGF_6hr,"PC9, 6hr, EGF",non-small cell lung cancer cell line,gefitinib-sensitive cell line,PC9,6hr,EGF
-,GSM844925,PC9_EGF_7hr,"PC9, 7hr, EGF",non-small cell lung cancer cell line,gefitinib-sensitive cell line,PC9,7hr,EGF
-,GSM844926,PC9_EGF_8hr,"PC9, 8hr, EGF",non-small cell lung cancer cell line,gefitinib-sensitive cell line,PC9,8hr,EGF
-,GSM844927,PC9_EGF_9hr,"PC9, 9hr, EGF",non-small cell lung cancer cell line,gefitinib-sensitive cell line,PC9,9hr,EGF
-,GSM844928,PC9_EGF_10hr,"PC9, 10hr, EGF",non-small cell lung cancer cell line,gefitinib-sensitive cell line,PC9,10hr,EGF
-,GSM844929,PC9_EGF_11hr,"PC9, 11hr, EGF",non-small cell lung cancer cell line,gefitinib-sensitive cell line,PC9,11hr,EGF
-,GSM844930,PC9_EGF_12hr,"PC9, 12hr, EGF",non-small cell lung cancer cell line,gefitinib-sensitive cell line,PC9,12hr,EGF
-,GSM844931,PC9_EGF_13hr,"PC9, 13hr, EGF",non-small cell lung cancer cell line,gefitinib-sensitive cell line,PC9,13hr,EGF
-,GSM844932,PC9_EGF_14hr,"PC9, 14hr, EGF",non-small cell lung cancer cell line,gefitinib-sensitive cell line,PC9,14hr,EGF
-,GSM844933,PC9_EGF_15hr,"PC9, 15hr, EGF",non-small cell lung cancer cell line,gefitinib-sensitive cell line,PC9,15hr,EGF
-,GSM844934,PC9_EGF_16hr,"PC9, 16hr, EGF",non-small cell lung cancer cell line,gefitinib-sensitive cell line,PC9,16hr,EGF
-,GSM844935,PC9_EGF_17hr,"PC9, 17hr, EGF",non-small cell lung cancer cell line,gefitinib-sensitive cell line,PC9,17hr,EGF
-,GSM844936,PC9_EGF_18hr,"PC9, 18hr, EGF",non-small cell lung cancer cell line,gefitinib-sensitive cell line,PC9,18hr,EGF
-,GSM844937,PC9_EGF_19hr,"PC9, 19hr, EGF",non-small cell lung cancer cell line,gefitinib-sensitive cell line,PC9,19hr,EGF
-,GSM844938,PC9_EGF_20hr,"PC9, 20hr, EGF",non-small cell lung cancer cell line,gefitinib-sensitive cell line,PC9,20hr,EGF
-,GSM844939,PC9_EGF_21hr,"PC9, 21hr, EGF",non-small cell lung cancer cell line,gefitinib-sensitive cell line,PC9,21hr,EGF
-,GSM844940,PC9_EGF_22hr,"PC9, 22hr, EGF",non-small cell lung cancer cell line,gefitinib-sensitive cell line,PC9,22hr,EGF
-,GSM844941,PC9_EGF_23hr,"PC9, 23hr, EGF",non-small cell lung cancer cell line,gefitinib-sensitive cell line,PC9,23hr,EGF
-,GSM844942,PC9_EGF_24hr,"PC9, 24hr, EGF",non-small cell lung cancer cell line,gefitinib-sensitive cell line,PC9,24hr,EGF
-,GSM844943,PC9_EGF_IRS_0hr,"PC9, 0hr, EGF and gefitinib",non-small cell lung cancer cell line,gefitinib-sensitive cell line,PC9,0hr,EGF and gefitinib
-,GSM844944,PC9_EGF_IRS_0.5hr,"PC9, 0.5hr, EGF and gefitinib",non-small cell lung cancer cell line,gefitinib-sensitive cell line,PC9,0.5hr,EGF and gefitinib
-,GSM844945,PC9_EGF_IRS_1hr,"PC9, 1hr, EGF and gefitinib",non-small cell lung cancer cell line,gefitinib-sensitive cell line,PC9,1hr,EGF and gefitinib
