# TITLE: DNA Methylation Profiling Defines Clinically Relevant Biological Subsets of Non-small Cell Lung Cancer
# SUMMARY: PURPOSE: Non-small cell lung cancers (NSCLC) comprise multiple distinct biological groups with different prognoses. For example, patients with epithelial-like (EL) tumors have a better prognosis and exhibit greater sensitivity to inhibitors of the epidermal growth factor receptor (EGFR) pathway than patients with mesenchymal-like (ML) tumors. Here we test the hypothesis that EL NSCLCs can be distinguished from ML NSCLCs on the basis of global DNA methylation patterns. EXPERIMENTAL DESIGN: To determine whether phenotypic subsets of NSCLC can be defined based on their DNA methylation patterns, we combined microfluidics-based gene expression analysis and genome-wide methylation profiling. We derived robust classifiers for both gene expression and methylation in cell lines and tested these classifiers in surgically resected NSCLC tumors. We validate our approach using quantitative RT-PCR and methylation specific PCR in formalin-fixed biopsies from NSCLC patients who went on to fail front-line chemotherapy. RESULTS: We show that patterns of methylation divide NSCLCs into EL and ML subsets as defined by gene expression and that these signatures are similarly correlated in NSCLC cell lines and tumors. We identify multiple DMRs, including ERBB2 and ZEB2, whose methylation status is strongly associated with an epithelial phenotype in NSCLC cell lines, surgically resected tumors, and formalin-fixed biopsies from NSCLC patients who went on to fail front-line chemotherapy. CONCLUSIONS: Our data demonstrate that patterns of DNA methylation can divide NSCLCs into two phenotypically distinct subtypes of tumors and provide proof of principle that differences in DNA methylation can be used for predictive biomarker discovery and development.
GPL13534_Group,GPL13534_Accession,GPL13534_Title,GPL13534_Source name,GPL13534_Cell type,GPL13534_Em_status,GPL13534_Response
-,GSM883839,gBEC1_UI,cell line,Normal,NA,NA
-,GSM883840,gBEC1,cell line,Normal,NA,NA
-,GSM883841,gSAC1_UI,cell line,Normal,NA,NA
-,GSM883842,gSAC1,cell line,Normal,NA,NA
-,GSM883843,gBEC,cell line,Normal,NA,NA
-,GSM883844,gSAC,cell line,Normal,NA,NA
-,GSM883845,H838,cell line,NSCLC,M,sensitive
-,GSM883846,LXFL529,cell line,NSCLC,M,resistant
-,GSM883847,H460,cell line,NSCLC,M,intermediate
-,GSM883848,A549,cell line,NSCLC,M,intermediate
-,GSM883849,H1299,cell line,NSCLC,M,resistant
-,GSM883850,Calu-1,cell line,NSCLC,M,resistant
-,GSM883851,H441,cell line,NSCLC,E,intermediate
-,GSM883852,H292,cell line,NSCLC,E,sensitive
-,GSM883853,H2009,cell line,NSCLC,E,sensitive
-,GSM883854,H358,cell line,NSCLC,E,sensitive
-,GSM883855,H650,cell line,NSCLC,M,resistant
-,GSM883856,H322T,cell line,NSCLC,E,sensitive
-,GSM883857,H2122,cell line,NSCLC,E,sensitive
-,GSM883858,H1155,cell line,NSCLC,M,resistant
-,GSM883859,H23,cell line,NSCLC,M,intermediate
-,GSM883860,H1703,cell line,NSCLC,M,resistant
-,GSM883861,H226,cell line,NSCLC,M,resistant
-,GSM883862,H1993,cell line,NSCLC,E,resistant
-,GSM883863,H2073,cell line,NSCLC,E,sensitive
-,GSM883864,HCC827,cell line,NSCLC,E,sensitive
-,GSM883865,HCC2935,cell line,NSCLC,E,sensitive
