# TITLE: Carbon-ion radiotherapy of human lung cancer
# SUMMARY: Carbon-ion irradiation is an emerging therapeutic option for several tumor entities including lung cancer. Well oxygenated tumor areas compared to a hypoxic environment favor therapeutic photon irradiation efficiency of solid tumors due to increased amounts of DNA damage. The resistance of hypoxic tumor areas towards photon irradiation is enhanced through increased HIF-1 signaling. Here, we compared the effects of oxygen and HIF 1 after photon and carbon-ion irradiation with biological equivalent doses in a human non-small lung cancer model. In hypoxia compared to normoxia, A549 and H1299 cells displayed improved survival after photon irradiation. Knockdown of HIF-1α combined with photon irradiation synergistically delayed tumor growth in vivo. Photon irradiation induced HIF-1α and several of its target genes such as PDK1, GLUT-1, LDHA, and VEGF with subsequent enhanced tumor angiogenesis in vivo, a signaling cascade that was not targeted by carbon-ion irradiation. We present evidence that photons but not carbon-ions induce HIF-1α via mTOR pathway. Importantly, after carbon-ion irradiation in vivo, we observed substantial downregulation of HIF-1α and a drastically delayed tumor growth indicating a considerable higher relative biological effectiveness (RBE) than anticipated from the cell survival data. In sum, our results demonstrate that carbon-ions mediate an improved therapeutic response of tumor treatment compared to photon irradiation that is independent of cell oxygenation and HIF-1 signaling.
GPL4133_Group,GPL4133_Accession,GPL4133_Title,GPL4133_Source name 1,GPL4133_Source name 2,GPL4133_Treatment (Ch1),GPL4133_Time (Ch1),GPL4133_Cell line (Ch1),GPL4133_Treatment (Ch2),GPL4133_Time (Ch2),GPL4133_Cell line (Ch2)
-,GSM1103603,C12.1h repl. 1,"A549 cells, C12 irradiated, 1h","A549 cells, C12 control, 1h",C12 irradiated,1h,A549,C12 control,1h,A549
-,GSM1103604,C12.4h repl. 1,"A549 cells, C12 irradiated, 4h","A549 cells, C12 control, 4h",C12 irradiated,4h,A549,C12 control,4h,A549
-,GSM1103605,C12.1h repl. 2,"A549 cells, C12 control, 1h","A549 cells, C12 irradiated, 1h",C12 control,1h,A549,C12 irradiated,1h,A549
-,GSM1103606,C12.4h repl. 2,"A549 cells, C12 control, 4h","A549 cells, C12 irradiated, 4h",C12 control,4h,A549,C12 irradiated,4h,A549
-,GSM1103607,C12.4h repl. 3,"A549 cells, C12 irradiated, 4h","A549 cells, C12 control, 4h",C12 irradiated,4h,A549,C12 control,4h,A549
-,GSM1103609,C12.1h repl. 3,"A549 cells, C12 irradiated, 1h","A549 cells, C12 control, 1h",C12 irradiated,1h,A549,C12 control,1h,A549
-,GSM1103610,C12.4h repl. 4,"A549 cells, C12 control, 4h","A549 cells, C12 irradiated, 4h",C12 control,4h,A549,C12 irradiated,4h,A549
-,GSM1103611,C12.1h repl. 4,"A549 cells, C12 control, 1h","A549 cells, C12 irradiated, 1h",C12 control,1h,A549,C12 irradiated,1h,A549
-,GSM1103612,Xray.4h repl. 1,"A549 cells, Xray control, 4h","A549 cells, Xray irradiated, 4h",Xray control,4h,A549,Xray irradiated,4h,A549
-,GSM1103613,Xray.1h repl. 1,"A549 cells, Xray control, 1h","A549 cells, Xray irradiated, 1h",Xray control,1h,A549,Xray irradiated,1h,A549
-,GSM1103614,Xray.4h repl. 2,"A549 cells, Xray irradiated, 4h","A549 cells, Xray control, 4h",Xray irradiated,4h,A549,Xray control,4h,A549
-,GSM1103615,Xray.1h repl. 2,"A549 cells, Xray irradiated, 1h","A549 cells, Xray control, 1h",Xray irradiated,1h,A549,Xray control,1h,A549
-,GSM1103616,Xray.1h repl. 3,"A549 cells, Xray irradiated, 1h","A549 cells, Xray control, 1h",Xray irradiated,1h,A549,Xray control,1h,A549
-,GSM1103617,Xray.4h repl. 3,"A549 cells, Xray irradiated, 4h","A549 cells, Xray control, 4h",Xray irradiated,4h,A549,Xray control,4h,A549
-,GSM1103618,Xray.1h repl. 4,"A549 cells, Xray control, 1h","A549 cells, Xray irradiated, 1h",Xray control,1h,A549,Xray irradiated,1h,A549
-,GSM1103619,Xray.4h repl. 4,"A549 cells, Xray control, 4h","A549 cells, Xray irradiated, 4h",Xray control,4h,A549,Xray irradiated,4h,A549
