# TITLE: Genome-wide DNA methylation analysis of lung carcinoma
# SUMMARY: Lung cancer is the worldwide leading cause of death from cancer. DNA methylation in gene promoter regions is a major mechanism of gene expression regulation that may promote tumorigenesis. However, whether clinically relevant subgroups based on DNA methylation patterns exist in lung cancer is not well studied. We performed whole-genome methylation analysis using 450K Illumina BeadArrays on 124 tumors including 83 adenocarcinomas, 23 squamous cell carcinomas, one adenosquamous cancer, five large cell carcinomas, nine large cell neuroendocrine carcinomas (LCNEC), three small cell carcinomas (SCLC) and 12 normal lung tissues. Unsupervised class discovery was performed to identify DNA methylation subgroups with clinicopathological and molecular features. Subgroups were validated in two independent NSCLC cohorts. Unsupervised analysis identified five DNA methylation subgroups (epitypes). One epitype was distinctly associated with neuroendocrine tumors (LCNEC and SCLC). For adenocarcinoma, in both discovery and validation cohorts, remaining four epitypes were associated with differences in clinicopathological and molecular features, including global hypomethylation, promoter hypermethylation, copy number alterations, expression of proliferation-associated genes, association with unsupervised and supervised gene expression phenotypes, KRAS, TP53, KEAP1, SMARCA4, and STK11 mutations, smoking history, and patient outcome. Based on a multicohort approach we conducted a comprehensive survey of genome-wide DNA methylation in lung cancer, identifying a distinct neuroendocrine epitype and four adenocarcinoma epitypes associated with molecular and clinicopathological characteristics, and patient outcome. Our results bring further understanding of the epigenetic characteristics and molecular diversity in lung cancer generally and in adenocarcinoma specifically.
GPL13534_Group,GPL13534_Accession,GPL13534_Title,GPL13534_Source name,GPL13534_Disease state
-,GSM1351866,LU2,Lung tumor,lung carcinomas
-,GSM1351867,LU14,Lung tumor,lung carcinomas
-,GSM1351868,LU16,Lung tumor,lung carcinomas
-,GSM1351869,LU66,Lung tumor,lung carcinomas
-,GSM1351870,LU70,Lung tumor,lung carcinomas
-,GSM1351871,LU79,Lung tumor,lung carcinomas
-,GSM1351872,LU85,Lung tumor,lung carcinomas
-,GSM1351873,LU87,Lung tumor,lung carcinomas
-,GSM1351874,LU123,Lung tumor,lung carcinomas
-,GSM1351875,LU136,Lung tumor,lung carcinomas
-,GSM1351876,LU137,Lung tumor,lung carcinomas
-,GSM1351877,LU143,Lung tumor,lung carcinomas
-,GSM1351878,LU145,Lung tumor,lung carcinomas
-,GSM1351879,LU164,Lung tumor,lung carcinomas
-,GSM1351880,LU190,Lung tumor,lung carcinomas
-,GSM1351881,LU215,Lung tumor,lung carcinomas
-,GSM1351882,LU219,Lung tumor,lung carcinomas
-,GSM1351883,LU257,Lung tumor,lung carcinomas
-,GSM1351884,LU262,Lung tumor,lung carcinomas
-,GSM1351885,LU271,Lung tumor,lung carcinomas
-,GSM1351886,LU276,Lung tumor,lung carcinomas
-,GSM1351887,LU277,Lung tumor,lung carcinomas
-,GSM1351888,LU295,Lung tumor,lung carcinomas
-,GSM1351889,LU302,Lung tumor,lung carcinomas
-,GSM1351890,LU318,Lung tumor,lung carcinomas
-,GSM1351891,LU324,Lung tumor,lung carcinomas
-,GSM1351892,LU330,Lung tumor,lung carcinomas
-,GSM1351893,LU332,Lung tumor,lung carcinomas
-,GSM1351894,LU350,Lung tumor,lung carcinomas
-,GSM1351895,LU352,Lung tumor,lung carcinomas
-,GSM1351896,LU370,Lung tumor,lung carcinomas
-,GSM1351897,LU372,Lung tumor,lung carcinomas
-,GSM1351898,LU375,Lung tumor,lung carcinomas
-,GSM1351899,LU376,Lung tumor,lung carcinomas
-,GSM1351900,LU382,Lung tumor,lung carcinomas
-,GSM1351901,LU398,Lung tumor,lung carcinomas
-,GSM1351902,LU400,Lung tumor,lung carcinomas
-,GSM1351903,LU402,Lung tumor,lung carcinomas
