# TITLE: Expression data from EGFR WT or EGFR mutant NSCLC with or without erlotinib
# SUMMARY: Non-small cell lung cancers (NSCLCs) harboring activating EGFR mutants show dramatic responses to EGFR TKIs, such as erlotinib and geffitinib. However, nearly all patients show relapse within 1 year after initial treatment. We used microarrays to detail global gene expression changes in EGFR mutant cells vs. WT cells responding to erlotinib.
GPL570_Group,GPL570_Accession,GPL570_Title,GPL570_Source name,GPL570_Cell line,GPL570_Genotype,GPL570_Treatment
-,GSM1376320,31926_EGFR Mutant +DMSO PC-9 PC-9 SAM819865,PC-9,PC-9,EGFR Mutant,DMSO
-,GSM1376321,31926_EGFR Mutant +DMSO PC-9 PC-9 SAM819866,PC-9,PC-9,EGFR Mutant,DMSO
-,GSM1376322,31927_EGFR Mutant +Erlotinib PC-9 PC-9 SAM819867,PC-9,PC-9,EGFR Mutant,Erlotinib
-,GSM1376323,31927_EGFR Mutant +Erlotinib PC-9 PC-9 SAM819868,PC-9,PC-9,EGFR Mutant,Erlotinib
-,GSM1376324,31926_EGFR Mutant +DMSO HCC4006 HCC4006 SAM819869,HCC4006,HCC4006,EGFR Mutant,DMSO
-,GSM1376325,31926_EGFR Mutant +DMSO HCC4006 HCC4006 SAM819870,HCC4006,HCC4006,EGFR Mutant,DMSO
-,GSM1376326,31927_EGFR Mutant +Erlotinib HCC4006 HCC4006 SAM819871,HCC4006,HCC4006,EGFR Mutant,Erlotinib
-,GSM1376327,31927_EGFR Mutant +Erlotinib HCC4006 HCC4006 SAM819872,HCC4006,HCC4006,EGFR Mutant,Erlotinib
-,GSM1376328,31926_EGFR Mutant +DMSO HCC2279 HCC2279 SAM819873,HCC2279,HCC2279,EGFR Mutant,DMSO
-,GSM1376329,31926_EGFR Mutant +DMSO HCC2279 HCC2279 SAM819874,HCC2279,HCC2279,EGFR Mutant,DMSO
-,GSM1376330,31927_EGFR Mutant +Erlotinib HCC2279 HCC2279 SAM819875,HCC2279,HCC2279,EGFR Mutant,Erlotinib
-,GSM1376331,31927_EGFR Mutant +Erlotinib HCC2279 HCC2279 SAM819876,HCC2279,HCC2279,EGFR Mutant,Erlotinib
-,GSM1376332,31926_EGFR Mutant +DMSO HCC2935 HCC2935 SAM819877,HCC2935,HCC2935,EGFR Mutant,DMSO
-,GSM1376333,31926_EGFR Mutant +DMSO HCC2935 HCC2935 SAM819878,HCC2935,HCC2935,EGFR Mutant,DMSO
-,GSM1376334,31927_EGFR Mutant +Erlotinib HCC2935 HCC2935 SAM819879,HCC2935,HCC2935,EGFR Mutant,Erlotinib
-,GSM1376335,31927_EGFR Mutant +Erlotinib HCC2935 HCC2935 SAM819880,HCC2935,HCC2935,EGFR Mutant,Erlotinib
-,GSM1376336,31928_EGFR WT +DMSO NCI-H23 NCI-H23 SAM819889,NCI-H23,NCI-H23,EGFR WT,DMSO
-,GSM1376337,31928_EGFR WT +DMSO NCI-H23 NCI-H23 SAM819890,NCI-H23,NCI-H23,EGFR WT,DMSO
-,GSM1376338,31929_EGFR WT +Erlotinib NCI-H23 NCI-H23 SAM819891,NCI-H23,NCI-H23,EGFR WT,Erlotinib
-,GSM1376339,31929_EGFR WT +Erlotinib NCI-H23 NCI-H23 SAM819892,NCI-H23,NCI-H23,EGFR WT,Erlotinib
-,GSM1376340,31928_EGFR WT +DMSO NCI-H838 NCI-H838 SAM819893,NCI-H838,NCI-H838,EGFR WT,DMSO
-,GSM1376341,31928_EGFR WT +DMSO NCI-H838 NCI-H838 SAM819894,NCI-H838,NCI-H838,EGFR WT,DMSO
-,GSM1376342,31929_EGFR WT +Erlotinib NCI-H838 NCI-H838 SAM819895,NCI-H838,NCI-H838,EGFR WT,Erlotinib
-,GSM1376343,31929_EGFR WT +Erlotinib NCI-H838 NCI-H838 SAM819896,NCI-H838,NCI-H838,EGFR WT,Erlotinib
-,GSM1376344,31928_EGFR WT +DMSO NCI-H1648 NCI-H1648 SAM819897,NCI-H1648,NCI-H1648,EGFR WT,DMSO
-,GSM1376345,31928_EGFR WT +DMSO NCI-H1648 NCI-H1648 SAM819898,NCI-H1648,NCI-H1648,EGFR WT,DMSO
-,GSM1376346,31929_EGFR WT +Erlotinib NCI-H1648 NCI-H1648 SAM819899,NCI-H1648,NCI-H1648,EGFR WT,Erlotinib
-,GSM1376347,31929_EGFR WT +Erlotinib NCI-H1648 NCI-H1648 SAM819900,NCI-H1648,NCI-H1648,EGFR WT,Erlotinib
-,GSM1376348,31928_EGFR WT +DMSO HCC78 HCC78 SAM819901,HCC78,HCC78,EGFR WT,DMSO
-,GSM1376349,31928_EGFR WT +DMSO HCC78 HCC78 SAM819902,HCC78,HCC78,EGFR WT,DMSO
-,GSM1376350,31929_EGFR WT +Erlotinib HCC78 HCC78 SAM819903,HCC78,HCC78,EGFR WT,Erlotinib
-,GSM1376351,31929_EGFR WT +Erlotinib HCC78 HCC78 SAM819904,HCC78,HCC78,EGFR WT,Erlotinib
