# TITLE: A Genome-wide Screen for Hypermethylated Genes in Lung Cancer
# SUMMARY: Abstract Background: Promoter hypermethylation coupled with loss of heterozygosity at the same locus results in loss of gene function in many tumor cells. The “rules” governing which genes are methylated during the pathogenesis of individual cancers, how specific methylation profiles are initially established, or what determines tumor-type specific methylation are unknown. However, DNA methylation markers that are highly specific and sensitive for common tumors would be useful for the early detection of cancer, and those required for the malignant phenotype identify pathways important as therapeutic targets. Methods and Findings: In an effort to identify new cancer-specific methylation markers, we employed a high throughput global expression profiling approach in lung cancer cells. We identified 132 genes that have 5’ CpG islands, are induced from undetectable levels by 5-aza-2’-deoxycytidine (5-aza) in multiple non-small cell lung cancer cell lines, and are expressed in immortalized human bronchial epithelial cells. As expected, these genes were also expressed in normal lung, but often not in companion primary lung cancers. Methylation analysis of a subset (45/132) of these promoter regions in primary lung cancer (N=20) and adjacent non-malignant tissue showed that 31 genes had acquired methylation in the tumors, but did not show methylation in normal lung or lymphocytes. We studied the eight most frequently and specifically methylated genes from our lung cancer data set in breast cancer (N=37), colon cancer (N=24), and prostate cancer (N=24) along with counterpart non-malignant tissues. We found that seven loci were frequently methylated in both breast and lung cancers, with four showing extensive methylation in all four epithelial tumors. Conclusions: By using a systematic biological screen we identified multiple genes that are methylated with high penetrance in primary lung, breast, colon, and prostate cancers. The cross-tumor methylation pattern we observed for these novel markers suggests that we have identified a partial promoter hypermethylation signature for these common malignancies. These data suggest that while tumors in different tissues vary substantially with respect to gene expression, there may be commonalities in their promoter methylation profiles that represent potential targets for early detection screening or therapeutic intervention. Keywords: Cell line comparison
GPL570_Group,GPL570_Accession,GPL570_Title,GPL570_Source name,GPL570_Characteristics,GPL570_See publication for details
-,GSM134899,H2347 DMSO Control,NSCLC Cell Line,See publication for details.,
-,GSM134901,H2347 5-aza treatment (100nM),NSCLC cell line,See publication for details.,
-,GSM134902,H2347 High dose 5-aza treatment group (1000 nM),NSCLC cell line,See pulication for details.,
-,GSM134904,H1993 Control treatment group (DMSO),NSCLC cell line,See pulication for details.,
-,GSM134906,H1993 Low dose 5-aza treatment group (100 nM),NSCLC cell line,See pulication for details.,
-,GSM134908,H1993 High dose 5-aza treatment group (1000 nM),NSCLC cell line,See publication for details.,
-,GSM134909,H1299 Control group treatment,NSCLC cell line,See publication for details.,
-,GSM134910,H1299 Low dose 5-aza treatment group (100 nM),NSCLC Cell line,See publication for details.,
-,GSM134911,H460 Low dose treatment group (100 nM),NSCLC cell line,See publication for details.,
-,GSM134912,A549 Low dose treatment group (100 nM).,NSCLC cell line,See publication for details.,
-,GSM134914,HBEC2 Low dose treatment group (100 nM).,Immortalized Bronchial Epithelial Cells (HBEC),See publication for details.,
-,GSM134916,HBEC3 Low dose treatment group (100 nM).,Immortalized human bronchial epithelial cells (HBEC),See publication for details.,
-,GSM134918,HBEC4 Low dose treatment group (100 nM).,Immortalized human bronchial epithelial cells,See publication for details.,
-,GSM134920,HBEC4 Control treatment group (DMSO).,Immortalized human bronchial epithelial cells,See publication for details.,
-,GSM134924,HBEC2 Control treatment group (DMSO),Immortalized bronchial epithelial cells,See publication for details.,
-,GSM134927,H460 Control treatment group (DMSO),NSCLC cell line,See publication for details.,
-,GSM134931,HBEC2-Rep2 Control treatment group (DMSO).,Immortalized human bronchial epithelial cells,See publication for details.,
-,GSM134933,HBEC3-Rep2 Control treatment group (DMSO),Immortalized human bronchial epithelial cells,See publication for details.,
-,GSM134936,HBEC4-Rep2 Control treatment group (DMSO),Immortalized human bronchial epithelial cells,See publication for details.,
-,GSM134938,A549 Control treatment group (DMSO).,NSCLC cell line,See publication for details.,
-,GSM134942,HBEC4 High dose treatment group (1000 nM),Immortalized human bronchial epithelial cells,See publication for details.,
-,GSM134944,H1299 High dose treatment group (1000 nM).,NSCLC cell line,See publication for details.,
-,GSM134945,A549 High dose treatment group (1000 nM).,NSCLC cell line,See publication for details.,
-,GSM134946,H460 High dose treatment group (1000 nM).,NSCLC cell line,See publication for details.,
-,GSM134947,HBEC2 High dose treatment group (1000 nM).,Immortalized human bronchial epithelial cells,See publication for details.,
-,GSM134948,HBEC3 High dose treatment group (1000 nM).,Immortalized human bronchial epithelial cells,See publication for details.,
-,GSM134949,HBEC4-Rep2 High dose treatment group (1000 nM).,Immortalized human bronchial epithelial cells,See publication for details.,
-,GSM134950,HBEC2-Rep2 High dose treatment group (1000 nM).,Immortalized human bronchial epithelial cells,See publication for details.,
-,GSM134951,HBEC3-Rep2 High dose treatment group (1000 nM).,Immortalzied human bronchial epithelial cells,See publication for details.,
-,GSM154492,H157 Control group treatment.,NSCLC cell line,,
-,GSM154493,H157 Low dose treatment group (100 nM),NSCLC cell line,See publication for details.,
-,GSM154494,H157 High dose treatment group,NSCLC cell line,,
-,GSM154495,H1819 Control group treatment,NSCLC cell line,,
-,GSM154496,H1819 Lose dose treatment group (100 nM),NSCLC cell line,See publication for details.,
-,GSM154497,H1819 High dose treatment group (1000 nM),NSCLC cell line,See publication for details.,
-,GSM154498,HBEC2 Control group treatment,Immortalized human bronchial epithelial cells,See publication for details.,
-,GSM155191,H526 Control treatment group,SCLC cell line,See publication for details.,
-,GSM155193,H526 High dose treatment group (1000 nM),SCLC cell line,,
-,GSM155194,MCF7 Control treatment group,Ductal Breast Carcinoma Cell Line,,
-,GSM155196,MCF7 High dose treatment group,Ductal Breast Carcinoma Cell Line,,
-,GSM155197,HCT116 Control treatment group,Colorectal carcinoma,,
-,GSM155198,HCT116 High dose treatment group,Colorectal carcinoma,,
