# TITLE: Integrinated Omic analysis of lung cancer reveals metabolism proteome signatures with prognostic impact
# SUMMARY: Cancer results from processes prone to selective pressure and dysregulation acting along the sequence-to-phenotype continuum DNA→RNA→Protein→Disease. However, the extent to which cancer is a manifestation of the proteome is unknown. Here we present an integrated omic map representing non-small cell lung carcinoma. Dysregulated proteins not previously implicated as cancer drivers are encoded throughout the genome including but not limited to regions of recurrent DNA amplification/deletion. Clustering reveals signatures composed of metabolism proteins particularly highly recapitulated between patient-matched primary and xenograft tumours. Interrogation of The Cancer Genome Atlas reveals cohorts of patients with lung and other cancers that have DNA alterations in genes encoding the signatures, and this was accompanied by differences in survival. The recognition of genome and proteome alterations as related products of selective pressure driving the disease phenotype may be a general approach to uncover and group together cryptic, polygenic disease drivers.
GPL14951_Group,GPL14951_Accession,GPL14951_Title,GPL14951_Source name,GPL14951_Tissue,GPL14951_Histology,GPL14951_Protocol
-,GSM1519835,NA2,normal adjacent tissue,normal adjacent,Normal,
-,GSM1519836,NA5,normal adjacent tissue,normal adjacent,Normal,
-,GSM1519837,NA6,normal adjacent tissue,normal adjacent,Normal,
-,GSM1519838,NA7,normal adjacent tissue,normal adjacent,Normal,
-,GSM1519839,NA9,normal adjacent tissue,normal adjacent,Normal,
-,GSM1519840,NA10,normal adjacent tissue,normal adjacent,Normal,
-,GSM1519841,NS1,normal adjacent tissue,normal adjacent,Normal,
-,GSM1519842,NS6,normal adjacent tissue,normal adjacent,Normal,
-,GSM1519843,NS8,normal adjacent tissue,normal adjacent,Normal,
-,GSM1519844,TA2,Primary tumor,tumor,adenocarcinoma,
-,GSM1519845,TA5,Primary tumor,tumor,adenocarcinoma,
-,GSM1519846,TA6,Primary tumor,tumor,adenocarcinoma,
-,GSM1519847,TA7,Primary tumor,tumor,adenocarcinoma,
-,GSM1519848,TA8,Primary tumor,tumor,adenocarcinoma,
-,GSM1519849,TA9,Primary tumor,tumor,adenocarcinoma,
-,GSM1519850,TA10,Primary tumor,tumor,adenocarcinoma,
-,GSM1519851,TS1,Primary tumor,tumor,squamous cell carcinoma,
-,GSM1519852,TS6,Primary tumor,tumor,squamous cell carcinoma,
-,GSM1519853,TS8,Primary tumor,tumor,squamous cell carcinoma,
-,GSM1519854,XA2,xenograft,xenograft,adenocarcinoma,piece of primary tumor was implanted subcutaneously into SCID mouse to form xenograft tumors
-,GSM1519855,XA5,xenograft,xenograft,adenocarcinoma,piece of primary tumor was implanted subcutaneously into SCID mouse to form xenograft tumors
-,GSM1519856,XA6,xenograft,xenograft,adenocarcinoma,piece of primary tumor was implanted subcutaneously into SCID mouse to form xenograft tumors
-,GSM1519857,XA7,xenograft,xenograft,adenocarcinoma,piece of primary tumor was implanted subcutaneously into SCID mouse to form xenograft tumors
-,GSM1519858,XA8,xenograft,xenograft,adenocarcinoma,piece of primary tumor was implanted subcutaneously into SCID mouse to form xenograft tumors
-,GSM1519859,XA9,xenograft,xenograft,adenocarcinoma,piece of primary tumor was implanted subcutaneously into SCID mouse to form xenograft tumors
-,GSM1519860,XA10,xenograft,xenograft,adenocarcinoma,piece of primary tumor was implanted subcutaneously into SCID mouse to form xenograft tumors
-,GSM1519861,XS1,xenograft,xenograft,squamous cell carcinoma,piece of primary tumor was implanted subcutaneously into SCID mouse to form xenograft tumors
-,GSM1519862,XS3,xenograft,xenograft,squamous cell carcinoma,piece of primary tumor was implanted subcutaneously into SCID mouse to form xenograft tumors
-,GSM1519863,XS6,xenograft,xenograft,squamous cell carcinoma,piece of primary tumor was implanted subcutaneously into SCID mouse to form xenograft tumors
-,GSM1519864,XS8,xenograft,xenograft,squamous cell carcinoma,piece of primary tumor was implanted subcutaneously into SCID mouse to form xenograft tumors
