# TITLE: Expression data from non-small cell lung carcinoma (NSCLC)
# SUMMARY: The analytical validation of a 15 gene prognostic signature for early-stage, completely resected, non-small-cell lung carcinoma that distinguishes between patients with good and poor prognoses.
GPL570_Group,GPL570_Accession,GPL570_Title,GPL570_Source name,GPL570_Study,GPL570_Tissue,GPL570_Agent,GPL570_Risk,GPL570_Specimen,GPL570_Lab,GPL570_Specimen treatment,GPL570_Patient
-,GSM1539970,SPECIFICITY STUDY::Concentration-0X   ;Risk-High   ;Rep.1 (M36F004.0X.1),Lung,SPECIFICITY STUDY,non-small-cell lung carcinoma,genomic DNA concentration-0X,high,,,,
-,GSM1539971,SPECIFICITY STUDY::Concentration-0X   ;Risk-High   ;Rep.2 (M36F004.0X.2),Lung,SPECIFICITY STUDY,non-small-cell lung carcinoma,genomic DNA concentration-0X,high,,,,
-,GSM1539972,SPECIFICITY STUDY::Concentration-0X   ;Risk-High   ;Rep.3 (M36F004.0X.3),Lung,SPECIFICITY STUDY,non-small-cell lung carcinoma,genomic DNA concentration-0X,high,,,,
-,GSM1539973,SPECIFICITY STUDY::Concentration-0X   ;Risk-High   ;Rep.4 (M36F004.0X.4),Lung,SPECIFICITY STUDY,non-small-cell lung carcinoma,genomic DNA concentration-0X,high,,,,
-,GSM1539974,SPECIFICITY STUDY::Concentration-0X   ;Risk-High   ;Rep.5 (M36F004.0X.5),Lung,SPECIFICITY STUDY,non-small-cell lung carcinoma,genomic DNA concentration-0X,high,,,,
-,GSM1539975,SPECIFICITY STUDY::Concentration-1/2X ;Risk-High   ;Rep.1 (M36F004.0.5X.1),Lung,SPECIFICITY STUDY,non-small-cell lung carcinoma,genomic DNA concentration-1/2X,high,,,,
-,GSM1539976,SPECIFICITY STUDY::Concentration-1/2X ;Risk-High   ;Rep.2 (M36F004.0.5X.2),Lung,SPECIFICITY STUDY,non-small-cell lung carcinoma,genomic DNA concentration-1/2X,high,,,,
-,GSM1539977,SPECIFICITY STUDY::Concentration-1/2X ;Risk-High   ;Rep.3 (M36F004.0.5X.3),Lung,SPECIFICITY STUDY,non-small-cell lung carcinoma,genomic DNA concentration-1/2X,high,,,,
-,GSM1539978,SPECIFICITY STUDY::Concentration-1/2X ;Risk-High   ;Rep.4 (M36F004.0.5X.4),Lung,SPECIFICITY STUDY,non-small-cell lung carcinoma,genomic DNA concentration-1/2X,high,,,,
-,GSM1539979,SPECIFICITY STUDY::Concentration-1/2X ;Risk-High   ;Rep.5 (M36F004.0.5X.5),Lung,SPECIFICITY STUDY,non-small-cell lung carcinoma,genomic DNA concentration-1/2X,high,,,,
-,GSM1539980,SPECIFICITY STUDY::Concentration-1X   ;Risk-High   ;Rep.1 (M36F004.1X.1),Lung,SPECIFICITY STUDY,non-small-cell lung carcinoma,genomic DNA concentration-1X,high,,,,
-,GSM1539981,SPECIFICITY STUDY::Concentration-1X   ;Risk-High   ;Rep.2 (M36F004.1X.2),Lung,SPECIFICITY STUDY,non-small-cell lung carcinoma,genomic DNA concentration-1X,high,,,,
-,GSM1539982,SPECIFICITY STUDY::Concentration-1X   ;Risk-High   ;Rep.3 (M36F004.1X.3),Lung,SPECIFICITY STUDY,non-small-cell lung carcinoma,genomic DNA concentration-1X,high,,,,
-,GSM1539983,SPECIFICITY STUDY::Concentration-1X   ;Risk-High   ;Rep.4 (M36F004.1X.4),Lung,SPECIFICITY STUDY,non-small-cell lung carcinoma,genomic DNA concentration-1X,high,,,,
-,GSM1539984,SPECIFICITY STUDY::Concentration-1X   ;Risk-High   ;Rep.5 (M36F004.1X.5),Lung,SPECIFICITY STUDY,non-small-cell lung carcinoma,genomic DNA concentration-1X,high,,,,
-,GSM1539985,SPECIFICITY STUDY::Concentration-0X   ;Risk-Low    ;Rep.1 (M36F005.0X.1),Lung,SPECIFICITY STUDY,non-small-cell lung carcinoma,genomic DNA concentration-0X,low,,,,
-,GSM1539986,SPECIFICITY STUDY::Concentration-0X   ;Risk-Low    ;Rep.2 (M36F005.0X.2),Lung,SPECIFICITY STUDY,non-small-cell lung carcinoma,genomic DNA concentration-0X,low,,,,
-,GSM1539987,SPECIFICITY STUDY::Concentration-0X   ;Risk-Low    ;Rep.3 (M36F005.0X.3),Lung,SPECIFICITY STUDY,non-small-cell lung carcinoma,genomic DNA concentration-0X,low,,,,
-,GSM1539988,SPECIFICITY STUDY::Concentration-0X   ;Risk-Low    ;Rep.4 (M36F005.0X.4),Lung,SPECIFICITY STUDY,non-small-cell lung carcinoma,genomic DNA concentration-0X,low,,,,
-,GSM1539989,SPECIFICITY STUDY::Concentration-0X   ;Risk-Low    ;Rep.5 (M36F005.0X.5),Lung,SPECIFICITY STUDY,non-small-cell lung carcinoma,genomic DNA concentration-0X,low,,,,
-,GSM1539990,SPECIFICITY STUDY::Concentration-1/2X ;Risk-Low    ;Rep.1 (M36F005.0.5X.1),Lung,SPECIFICITY STUDY,non-small-cell lung carcinoma,genomic DNA concentration-1/2X,low,,,,
-,GSM1539991,SPECIFICITY STUDY::Concentration-1/2X ;Risk-Low    ;Rep.2 (M36F005.0.5X.2),Lung,SPECIFICITY STUDY,non-small-cell lung carcinoma,genomic DNA concentration-1/2X,low,,,,
-,GSM1539992,SPECIFICITY STUDY::Concentration-1/2X ;Risk-Low    ;Rep.3 (M36F005.0.5X.3),Lung,SPECIFICITY STUDY,non-small-cell lung carcinoma,genomic DNA concentration-1/2X,low,,,,
-,GSM1539993,SPECIFICITY STUDY::Concentration-1/2X ;Risk-Low    ;Rep.4 (M36F005.0.5X.4),Lung,SPECIFICITY STUDY,non-small-cell lung carcinoma,genomic DNA concentration-1/2X,low,,,,
-,GSM1539994,SPECIFICITY STUDY::Concentration-1/2X ;Risk-Low    ;Rep.5 (M36F005.0.5X.5),Lung,SPECIFICITY STUDY,non-small-cell lung carcinoma,genomic DNA concentration-1/2X,low,,,,
-,GSM1539995,SPECIFICITY STUDY::Concentration-1X   ;Risk-Low    ;Rep.1 (M36F005.1X.1),Lung,SPECIFICITY STUDY,non-small-cell lung carcinoma,genomic DNA concentration-1X,low,,,,
-,GSM1539996,SPECIFICITY STUDY::Concentration-1X   ;Risk-Low    ;Rep.2 (M36F005.1X.2),Lung,SPECIFICITY STUDY,non-small-cell lung carcinoma,genomic DNA concentration-1X,low,,,,
-,GSM1539997,SPECIFICITY STUDY::Concentration-1X   ;Risk-Low    ;Rep.3 (M36F005.1X.3),Lung,SPECIFICITY STUDY,non-small-cell lung carcinoma,genomic DNA concentration-1X,low,,,,
-,GSM1539998,SPECIFICITY STUDY::Concentration-1X   ;Risk-Low    ;Rep.4 (M36F005.1X.4),Lung,SPECIFICITY STUDY,non-small-cell lung carcinoma,genomic DNA concentration-1X,low,,,,
-,GSM1539999,SPECIFICITY STUDY::Concentration-1X   ;Risk-Low    ;Rep.5 (M36F005.1X.5),Lung,SPECIFICITY STUDY,non-small-cell lung carcinoma,genomic DNA concentration-1X,low,,,,
-,GSM1540000,SENSITIVITY STUDY::Concentration-10.5 ng/ul;'Rep.A (M34F001A),Lung,SENSITIVITY STUDY,non-small-cell lung carcinoma,total extracted RNA concentration-10.5 ng/ul,,,,,
-,GSM1540001,SENSITIVITY STUDY::Concentration-10.5 ng/ul;'Rep.B (M34F001B),Lung,SENSITIVITY STUDY,non-small-cell lung carcinoma,total extracted RNA concentration-10.5 ng/ul,,,,,
-,GSM1540002,SENSITIVITY STUDY::Concentration-10.5 ng/ul;'Rep.C (M34F001C),Lung,SENSITIVITY STUDY,non-small-cell lung carcinoma,total extracted RNA concentration-10.5 ng/ul,,,,,
-,GSM1540003,SENSITIVITY STUDY::Concentration-10.5 ng/ul;'Rep.D (M34F001D),Lung,SENSITIVITY STUDY,non-small-cell lung carcinoma,total extracted RNA concentration-10.5 ng/ul,,,,,
-,GSM1540004,SENSITIVITY STUDY::Concentration-10.5 ng/ul;'Rep.E (M34F001E),Lung,SENSITIVITY STUDY,non-small-cell lung carcinoma,total extracted RNA concentration-10.5 ng/ul,,,,,
-,GSM1540005,SENSITIVITY STUDY::Concentration-12.5 ng/ul;'Rep.A (M34F002A),Lung,SENSITIVITY STUDY,non-small-cell lung carcinoma,total extracted RNA concentration-12.5 ng/ul,,,,,
-,GSM1540006,SENSITIVITY STUDY::Concentration-12.5 ng/ul;'Rep.B (M34F002B),Lung,SENSITIVITY STUDY,non-small-cell lung carcinoma,total extracted RNA concentration-12.5 ng/ul,,,,,
-,GSM1540007,SENSITIVITY STUDY::Concentration-12.5 ng/ul;'Rep.C (M34F002C),Lung,SENSITIVITY STUDY,non-small-cell lung carcinoma,total extracted RNA concentration-12.5 ng/ul,,,,,
-,GSM1540008,SENSITIVITY STUDY::Concentration-12.5 ng/ul;'Rep.D (M34F002D),Lung,SENSITIVITY STUDY,non-small-cell lung carcinoma,total extracted RNA concentration-12.5 ng/ul,,,,,
