# TITLE: Response to a LNA miR-92a inhibitor in immortalized human bronchial epithelial cells.
# SUMMARY: Lung cancer is the leading cause of cancer-related fatalities. Recent success developing genotypically-targeted therapies, with potency only in well-defined subpopulations of tumors, suggests a path to improving patient survival. We utilized a library of oligonucleotide inhibitors to microRNAs, a class of post-transcriptional gene regulators, to identify novel synthetic lethal interactions between miRNA inhibition and molecular mechanisms in NSCLC. Two inhibitors, those for miR-92a and miR-1226*, produced a toxicity distribution across a panel of 27 cell lines that correlated with loss of p53 protein expression. Notably, depletion of p53 was sufficient to confer sensitivity to otherwise resistant telomerase-immortalized bronchial epithelial cells. We found that both miR inhibitors cause sequence-specific down-regulation of the miR-17~92 polycistron, and this down-regulation was toxic only in the context of p53 loss. Mechanistic studies indicated the selective toxicity of miR-17~92 polycistron inactivation was the consequence of derepression of vitamin D signaling via suppression of CYP24A1; a rate limiting enzyme in the 1α,25-dihydroxyvitamin D3 metabolic pathway. Of note, high CYP24A1 expression significantly correlated with poor patient outcome in multiple lung cancer cohorts. Our results indicate that the screening approach utilized in this study can identify clinically relevant synthetic lethal interactions, and that vitamin D receptor agonists may show enhanced efficacy in p53-negative lung cancer patients.
GPL10558_Group,GPL10558_Accession,GPL10558_Title,GPL10558_Source name,GPL10558_P53,GPL10558_Cell line,GPL10558_Oligonucleotide treatment
-,GSM1562313,HBEC30-KT shTP53 mm1,Human bronchial epithelial cell (HBEC) immortalized with cdk4 and hTERT,constitutive shTP53,HBEC30-KT,miR-92a mismatch
-,GSM1562314,HBEC30-KT shTP53 mm2,Human bronchial epithelial cell (HBEC) immortalized with cdk4 and hTERT,constitutive shTP53,HBEC30-KT,miR-92a mismatch
-,GSM1562315,HBEC30-KT shTP53 mm3,Human bronchial epithelial cell (HBEC) immortalized with cdk4 and hTERT,constitutive shTP53,HBEC30-KT,miR-92a mismatch
-,GSM1562316,HBEC30-KT shTP53 92a1,Human bronchial epithelial cell (HBEC) immortalized with cdk4 and hTERT,constitutive shTP53,HBEC30-KT,miR-92a inhibitor
-,GSM1562317,HBEC30-KT shTP53 92a2,Human bronchial epithelial cell (HBEC) immortalized with cdk4 and hTERT,constitutive shTP53,HBEC30-KT,miR-92a inhibitor
-,GSM1562318,HBEC30-KT shTP53 92a3,Human bronchial epithelial cell (HBEC) immortalized with cdk4 and hTERT,constitutive shTP53,HBEC30-KT,miR-92a inhibitor
-,GSM1562319,HBEC30-KT mm1,Human bronchial epithelial cell (HBEC) immortalized with cdk4 and hTERT,wildtype TP53,HBEC30-KT,miR-92a mismatch
-,GSM1562320,HBEC30-KT mm2,Human bronchial epithelial cell (HBEC) immortalized with cdk4 and hTERT,wildtype TP53,HBEC30-KT,miR-92a mismatch
-,GSM1562321,HBEC30-KT mm3,Human bronchial epithelial cell (HBEC) immortalized with cdk4 and hTERT,wildtype TP53,HBEC30-KT,miR-92a mismatch
-,GSM1562322,HBEC30-KT 92a1,Human bronchial epithelial cell (HBEC) immortalized with cdk4 and hTERT,wildtype TP53,HBEC30-KT,miR-92a inhibitor
-,GSM1562323,HBEC30-KT 92a2,Human bronchial epithelial cell (HBEC) immortalized with cdk4 and hTERT,wildtype TP53,HBEC30-KT,miR-92a inhibitor
-,GSM1562324,HBEC30-KT 92a3,Human bronchial epithelial cell (HBEC) immortalized with cdk4 and hTERT,wildtype TP53,HBEC30-KT,miR-92a inhibitor
