# TITLE: Tumor-initiating cell-specific miR-1246 and miR-1290 converge to promote non-small cell lung cancer progression [Agilent]
# SUMMARY: The tumor-initiating cell (TIC) model accounts for the phenotypic and functional heterogeneity among cancer cells found within human cancers. MicroRNAs (miRNAs) are key regulatory molecules frequently aberrantly expressed in tumors, and may play important roles in contributing towards tumor heterogeneity and TIC behavior. More recent efforts have focused on miRNAs for diagnosis and as targets for novel therapies. In this study, we identified the miRNAs, miR-1246 and miR-1290, which are crucial for the function of TICs, thereby driving cancer progression in human non-small cell lung cancer (NSCLC). These miRNAs are restricted to patient-derived tumorspheres and CD166+ primary tumor cells, both enriched for TICs. Loss of either miRNA impacted the tumorigenic potential of TICs and their ability to metastasize. Interestingly, longitudinal analyses of serum miR-1246 and miR-1290 levels correlated circulating levels of either miRNA to the clinical response seen in lung cancer patients to epidermal growth factor receptor (EGFR) tyrosine kinase inhibition, chemotherapy and radiotherapy. Functionally, direct inhibition of miR-1246 or miR-1290 with locked nucleic acid (LNA) administered systemically, could arrest the growth of established patient-derived tumors xenografted in immunocompromised mice, thus indicating these miRNAs are clinically useful as biomarkers for tracking disease progression and as therapeutic targets.
GPL16770_Group,GPL16770_Accession,GPL16770_Title,GPL16770_Source name,GPL16770_Individual,GPL16770_Cell type,GPL16770_Cell line
-,GSM1704945,Cultured lung tumorsphere cells from patient #10,Cultured lung tumorsphere cells,patient #10,cultured tumorsphere cells derived from lung cancer,
-,GSM1704946,FACS-sorted CD166+ lung cancer cells from patient #10,FACS-sorted CD166+ lung cancer cells,patient #10,FACS-sorted CD166+ cells derived from lung cancer,
-,GSM1704947,FACS-sorted CD166- lung cancer cells from patient #10,FACS-sorted CD166- lung cancer cells,patient #10,FACS-sorted CD166- cells derived from lung cancer,
-,GSM1704948,Cultured lung tumorsphere cells from patient #32,Cultured lung tumorsphere cells,patient #32,cultured tumorsphere cells derived from lung cancer,
-,GSM1704949,FACS-sorted CD166+ lung cancer cells from patient #32,FACS-sorted CD166+ lung cancer cells,patient #32,FACS-sorted CD166+ cells derived from lung cancer,
-,GSM1704950,FACS-sorted CD166- lung cancer cells from patient #32,FACS-sorted CD166- lung cancer cells,patient #32,FACS-sorted CD166- cells derived from lung cancer,
-,GSM1704951,Cultured lung tumorsphere cells from patient #27,Cultured lung tumorsphere cells,patient #27,cultured tumorsphere cells derived from lung cancer,
-,GSM1704952,FACS-sorted CD166+ lung cancer cells from patient #27,FACS-sorted CD166+ lung cancer cells,patient #27,FACS-sorted CD166+ cells derived from lung cancer,
-,GSM1704953,FACS-sorted CD166- lung cancer cells from patient #27,FACS-sorted CD166- lung cancer cells,patient #27,FACS-sorted CD166- cells derived from lung cancer,
-,GSM1704954,Cultured lung tumorsphere cells from patient #64,Cultured lung tumorsphere cells,patient #64,cultured tumorsphere cells derived from lung cancer,
-,GSM1704955,FACS-sorted CD166+ lung cancer cells from patient #64,FACS-sorted CD166+ lung cancer cells,patient #64,FACS-sorted CD166+ cells derived from lung cancer,
-,GSM1704956,FACS-sorted CD166- lung cancer cells from patient #64,FACS-sorted CD166- lung cancer cells,patient #64,FACS-sorted CD166- cells derived from lung cancer,
-,GSM1704957,Cultured normal small airway epithelial cell line from Lonza,Cultured normal small airway epithelial cell line from Lonza,,,cultured normal lung epithelial cell line - SAEC
-,GSM1704958,Cultured normal human bronchial epithelial cell line from Lonza,Cultured normal human bronchial epithelial cell line from Lonza,,,cultured normal lung epithelial cell line - NHBE
-,GSM1704959,FACS-sorted CD166+ lung normal epithelial cells from patient,FACS-sorted CD166+ lung normal epithelial cells,patient,FACS-sorted CD166+ cells derived from adjacent normal lung specimen,
-,GSM1704960,FACS-sorted CD166- lung normal epithelial cells from patient,FACS-sorted CD166- lung normal epithelial cells,patient,FACS-sorted CD166- cells derived from adjacent normal lung specimen,
