# TITLE: Tumor-initiating cell-specific miR-1246 and miR-1290 converge to promote non-small cell lung cancer progression
# SUMMARY: This SuperSeries is composed of the SubSeries listed below.
GPL10558_Group,GPL10558_Accession,GPL10558_Title,GPL10558_Source name,GPL10558_Cell line,GPL10558_Genotype/variation,GPL16770_Group,GPL16770_Accession,GPL16770_Title,GPL16770_Source name,GPL16770_Individual,GPL16770_Cell type,GPL16770_Cell line
-,GSM1704961,"control lung cancer cell (A549), replicate 1",A549,A549,control,-,GSM1704945,Cultured lung tumorsphere cells from patient #10,Cultured lung tumorsphere cells,patient #10,cultured tumorsphere cells derived from lung cancer,
-,GSM1704962,"control lung cancer cell (A549), replicate 2",A549,A549,control,-,GSM1704946,FACS-sorted CD166+ lung cancer cells from patient #10,FACS-sorted CD166+ lung cancer cells,patient #10,FACS-sorted CD166+ cells derived from lung cancer,
-,GSM1704963,"knockdown mir-1246 on lung cancer cell (A549), replicate 1",A549 with mir-1246 knockdown,A549,knockdown mir-1246,-,GSM1704947,FACS-sorted CD166- lung cancer cells from patient #10,FACS-sorted CD166- lung cancer cells,patient #10,FACS-sorted CD166- cells derived from lung cancer,
-,GSM1704964,"knockdown mir-1246 on lung cancer cell (A549), replicate 2",A549 with mir-1246 knockdown,A549,knockdown mir-1246,-,GSM1704948,Cultured lung tumorsphere cells from patient #32,Cultured lung tumorsphere cells,patient #32,cultured tumorsphere cells derived from lung cancer,
-,GSM1704965,"knockdown mir-1290 on lung cancer cell (A549), replicate 1",A549 with mir-1290 knockdown,A549,knockdown mir-1290,-,GSM1704949,FACS-sorted CD166+ lung cancer cells from patient #32,FACS-sorted CD166+ lung cancer cells,patient #32,FACS-sorted CD166+ cells derived from lung cancer,
-,GSM1704966,"knockdown mir-1290 on lung cancer cell (A549), replicate 2",A549 with mir-1290 knockdown,A549,knockdown mir-1290,-,GSM1704950,FACS-sorted CD166- lung cancer cells from patient #32,FACS-sorted CD166- lung cancer cells,patient #32,FACS-sorted CD166- cells derived from lung cancer,
-,GSM1704967,"control normal lung epithelial cell (Nuli-1), replicate 1",Nuli-1,Nuli-1,control,-,GSM1704951,Cultured lung tumorsphere cells from patient #27,Cultured lung tumorsphere cells,patient #27,cultured tumorsphere cells derived from lung cancer,
-,GSM1704968,"control normal lung epithelial cell (Nuli-1), replicate 2",Nuli-1,Nuli-1,control,-,GSM1704952,FACS-sorted CD166+ lung cancer cells from patient #27,FACS-sorted CD166+ lung cancer cells,patient #27,FACS-sorted CD166+ cells derived from lung cancer,
-,GSM1704969,"overexpress mir-1246 on normal lung epithelial cell  (Nuli-1), replicate 1",Nuli-1 with mir-1246 overexpression,Nuli-1,overexpress mir-1246,-,GSM1704953,FACS-sorted CD166- lung cancer cells from patient #27,FACS-sorted CD166- lung cancer cells,patient #27,FACS-sorted CD166- cells derived from lung cancer,
-,GSM1704970,"overexpress mir-1246 on normal lung epithelial cell  (Nuli-1), replicate 2",Nuli-1 with mir-1246 overexpression,Nuli-1,overexpress mir-1246,-,GSM1704954,Cultured lung tumorsphere cells from patient #64,Cultured lung tumorsphere cells,patient #64,cultured tumorsphere cells derived from lung cancer,
-,GSM1704971,"overexpress mir-1290 on normal lung epithelial cell (Nuli-1), replicate 1",Nuli-1 with mir-1290 overexpression,Nuli-1,overexpress mir-1290,-,GSM1704955,FACS-sorted CD166+ lung cancer cells from patient #64,FACS-sorted CD166+ lung cancer cells,patient #64,FACS-sorted CD166+ cells derived from lung cancer,
-,GSM1704972,"overexpress mir-1290 on normal lung epithelial cell (Nuli-1), replicate 2",Nuli-1 with mir-1290 overexpression,Nuli-1,overexpress mir-1290,-,GSM1704956,FACS-sorted CD166- lung cancer cells from patient #64,FACS-sorted CD166- lung cancer cells,patient #64,FACS-sorted CD166- cells derived from lung cancer,
,,,,,,-,GSM1704957,Cultured normal small airway epithelial cell line from Lonza,Cultured normal small airway epithelial cell line from Lonza,,,cultured normal lung epithelial cell line - SAEC
,,,,,,-,GSM1704958,Cultured normal human bronchial epithelial cell line from Lonza,Cultured normal human bronchial epithelial cell line from Lonza,,,cultured normal lung epithelial cell line - NHBE
,,,,,,-,GSM1704959,FACS-sorted CD166+ lung normal epithelial cells from patient,FACS-sorted CD166+ lung normal epithelial cells,patient,FACS-sorted CD166+ cells derived from adjacent normal lung specimen,
,,,,,,-,GSM1704960,FACS-sorted CD166- lung normal epithelial cells from patient,FACS-sorted CD166- lung normal epithelial cells,patient,FACS-sorted CD166- cells derived from adjacent normal lung specimen,
