# TITLE: Tumor hypoxia causes DNA hypermethylation by reducing TET activity
# SUMMARY: This SuperSeries is composed of the SubSeries listed below.
GPL11154_Group,GPL11154_Accession,GPL11154_Title,GPL11154_Source name,GPL11154_Oxygen concentration,GPL11154_Experiment,GPL11154_Cell line,GPL11154_Dip antibody,GPL11154_Replicate,GPL16304_Group,GPL16304_Accession,GPL16304_Title,GPL16304_Source name,GPL16304_Dna pretreatment,GPL16304_Batch,GPL16304_Tumor name,GPL16304_Tabchip or bschip,GPL16304_Hypoxia status,GPL17021_Group,GPL17021_Accession,GPL17021_Title,GPL17021_Source name,GPL17021_Strain,GPL17021_Hydrodynamically injected plasmid,GPL17021_Age,GPL17021_Replicate
-,GSM1833702,"SeqCapEpi-enriched Bsseq MCF7 normoxia, exp 1",MCF7 cells,21% oxygen,1,MCF7,,,-,GSM1833654,NSCLC 1 - BSchip - hypoxic,"non-small-cell lung tumor, hypoxic, BS-chip",none,3,NSCLC 1,BSchip,hypoxic,-,GSM1833748,shallow TABseq on a PyMT-induced breast tumor from a PHD2+/+ mouse 1,PyMT-induced breast tumor,FVB,NA,16 weeks,A
-,GSM1833703,"SeqCapEpi-enriched Bsseq MCF7 normoxia, exp 2",MCF7 cells,21% oxygen,2,MCF7,,,-,GSM1833655,NSCLC 2 - BSchip - hypoxic,"non-small-cell lung tumor, hypoxic, BS-chip",none,3,NSCLC 2,BSchip,hypoxic,-,GSM1833749,shallow TABseq on a PyMT-induced breast tumor from a PHD2+/+ mouse 2,PyMT-induced breast tumor,FVB,NA,16 weeks,B
-,GSM1833704,"SeqCapEpi-enriched Bsseq MCF7 hypoxia, exp 1",MCF7 cells,0.5% oxygen,1,MCF7,,,-,GSM1833656,NSCLC 3 - BSchip - hypoxic,"non-small-cell lung tumor, hypoxic, BS-chip",none,3,NSCLC 3,BSchip,hypoxic,-,GSM1833750,shallow TABseq on a PyMT-induced breast tumor from a PHD2+/+ mouse 3,PyMT-induced breast tumor,FVB,NA,16 weeks,C
-,GSM1833705,"SeqCapEpi-enriched Bsseq MCF7 hypoxia, exp 2",MCF7 cells,0.5% oxygen,2,MCF7,,,-,GSM1833657,NSCLC 4 - BSchip - hypoxic,"non-small-cell lung tumor, hypoxic, BS-chip",none,3,NSCLC 4,BSchip,hypoxic,-,GSM1833751,shallow TABseq on a PyMT-induced breast tumor from a PHD2+/- mouse 1,PyMT-induced breast tumor,"FVB, Phd2+/-",NA,16 weeks,A
-,GSM1833706,"mDIPseq MCF7 hypoxia exp 1, rep A",MCF7 cells,0.5% oxygen,1,MCF7,"anti 5mC (clone 33D3, Eurogentec)",A,-,GSM1833658,NSCLC 5 - BSchip - hypoxic,"non-small-cell lung tumor, hypoxic, BS-chip",none,3,NSCLC 5,BSchip,hypoxic,-,GSM1833752,shallow TABseq on a PyMT-induced breast tumor from a PHD2+/- mouse 2,PyMT-induced breast tumor,"FVB, Phd2+/-",NA,16 weeks,B
-,GSM1833707,"mDIPseq MCF7 hypoxia exp 1, rep B",MCF7 cells,0.5% oxygen,1,MCF7,"anti 5mC (clone 33D3, Eurogentec)",B,-,GSM1833659,NSCLC 6 - BSchip - hypoxic,"non-small-cell lung tumor, hypoxic, BS-chip",none,3,NSCLC 6,BSchip,hypoxic,-,GSM1833753,shallow TABseq on a PyMT-induced breast tumor from a PHD2+/- mouse 3,PyMT-induced breast tumor,"FVB, Phd2+/-",NA,16 weeks,C
-,GSM1833708,"mDIPseq MCF7 hypoxia exp 2, rep A",MCF7 cells,0.5% oxygen,2,MCF7,"anti 5mC (clone 33D3, Eurogentec)",A,-,GSM1833660,NSCLC 7 - BSchip - hypoxic,"non-small-cell lung tumor, hypoxic, BS-chip",none,3,NSCLC 7,BSchip,hypoxic,-,GSM1833754,shallow TABseq on a PyMT-induced breast tumor from a PHD2+/- mouse 4,PyMT-induced breast tumor,"FVB, Phd2+/-",NA,16 weeks,D
-,GSM1833709,"mDIPseq MCF7 hypoxia exp 2, rep B",MCF7 cells,0.5% oxygen,2,MCF7,"anti 5mC (clone 33D3, Eurogentec)",B,-,GSM1833661,NSCLC 8 - BSchip - hypoxic,"non-small-cell lung tumor, hypoxic, BS-chip",none,3,NSCLC 8,BSchip,hypoxic,-,GSM1833755,shallow TABseq on a PyMT-induced breast tumor from a sFlk1-overexpressing mouse 1,PyMT-induced breast tumor,FVB,PRRL2-sFlk1,12 weeks,A
-,GSM1833710,"mDIPseq MCF7 hypoxia exp 3, rep A",MCF7 cells,0.5% oxygen,3,MCF7,"anti 5mC (clone 33D3, Eurogentec)",A,-,GSM1833662,NSCLC 9 - BSchip - hypoxic,"non-small-cell lung tumor, hypoxic, BS-chip",none,3,NSCLC 9,BSchip,hypoxic,-,GSM1833756,shallow TABseq on a PyMT-induced breast tumor from a sFlk1-overexpressing mouse 2,PyMT-induced breast tumor,FVB,PRRL2-sFlk1,12 weeks,B
-,GSM1833711,"mDIPseq MCF7 hypoxia exp 3, rep B",MCF7 cells,0.5% oxygen,3,MCF7,"anti 5mC (clone 33D3, Eurogentec)",B,-,GSM1833663,NSCLC 10 - BSchip - hypoxic,"non-small-cell lung tumor, hypoxic, BS-chip",none,3,NSCLC 10,BSchip,hypoxic,-,GSM1833757,shallow TABseq on a PyMT-induced breast tumor from a sFlk1-overexpressing mouse 3,PyMT-induced breast tumor,FVB,PRRL2-sFlk1,12 weeks,C
