# TITLE: PKCδ regulates the transformed growth of K-ras dependent lung cancer cells through regulation of integrin αVβ3 expression
# SUMMARY: To explore how PKCδ regulates tumorigenesis, we performed mRNA expression analysis of four KRAS mutant NSCLC cell lines that stably express scrambled shRNA or PKCδ targeted shRNA
GPL6244_Group,GPL6244_Accession,GPL6244_Title,GPL6244_Source name,GPL6244_Cell line,GPL6244_Treatment,GPL6244_Sample type
-,GSM1872019,"A549 Scrambled, replicate1",Cancer Cell Line,A549,control,"A549 cell line, with scrambled shRNA"
-,GSM1872020,"A549 Scrambled, replicate2",Cancer Cell Line,A549,control,"A549 cell line, with scrambled shRNA"
-,GSM1872021,"A549 Scrambled, replicate3",Cancer Cell Line,A549,control,"A549 cell line, with scrambled shRNA"
-,GSM1872022,"A549 knock-down, replicate1",Cancer Cell Line,A549,PKC-delta KD,"A549 cell line, with knockdown shRNA"
-,GSM1872023,"A549 knock-down, replicate2",Cancer Cell Line,A549,PKC-delta KD,"A549 cell line, with knockdown shRNA"
-,GSM1872024,"A549 knock-down, replicate3",Cancer Cell Line,A549,PKC-delta KD,"A549 cell line, with knockdown shRNA"
-,GSM1872025,"H441 Scrambled, replicate1",Cancer Cell Line,H441,control,"H441 cell line, with scrambled shRNA"
-,GSM1872026,"H441 Scrambled, replicate2",Cancer Cell Line,H441,control,"H441 cell line, with scrambled shRNA"
-,GSM1872027,"H441 Scrambled, replicate3",Cancer Cell Line,H441,control,"H441 cell line, with scrambled shRNA"
-,GSM1872028,"H441 knock-down, replicate1",Cancer Cell Line,H441,PKC-delta KD,"H441 cell line, with knockdown shRNA"
-,GSM1872029,"H441 knock-down, replicate2",Cancer Cell Line,H441,PKC-delta KD,"H441 cell line, with knockdown shRNA"
-,GSM1872030,"H441 knock-down, replicate3",Cancer Cell Line,H441,PKC-delta KD,"H441 cell line, with knockdown shRNA"
-,GSM1872031,"H460 Scrambled, replicate1",Cancer Cell Line,H460,control,"H460 cell line, with scrambled shRNA"
-,GSM1872032,"H460 Scrambled, replicate2",Cancer Cell Line,H460,control,"H460 cell line, with scrambled shRNA"
-,GSM1872033,"H460 Scrambled, replicate3",Cancer Cell Line,H460,control,"H460 cell line, with scrambled shRNA"
-,GSM1872034,"H460 knock-down, replicate1",Cancer Cell Line,H460,PKC-delta KD,"H460 cell line, with knockdown shRNA"
-,GSM1872035,"H460 knock-down, replicate2",Cancer Cell Line,H460,PKC-delta KD,"H460 cell line, with knockdown shRNA"
-,GSM1872036,"H460 knock-down, replicate3",Cancer Cell Line,H460,PKC-delta KD,"H460 cell line, with knockdown shRNA"
-,GSM1872037,"H2009 Scrambled, replicate1",Cancer Cell Line,H2009,control,"H2009 cell line, with scrambled shRNA"
-,GSM1872038,"H2009 Scrambled, replicate2",Cancer Cell Line,H2009,control,"H2009 cell line, with scrambled shRNA"
-,GSM1872039,"H2009 Scrambled, replicate3",Cancer Cell Line,H2009,control,"H2009 cell line, with scrambled shRNA"
-,GSM1872040,"H2009 knock-down, replicate1",Cancer Cell Line,H2009,PKC-delta KD,"H2009 cell line, with knockdown shRNA"
-,GSM1872041,"H2009 knock-down, replicate2",Cancer Cell Line,H2009,PKC-delta KD,"H2009 cell line, with knockdown shRNA"
-,GSM1872042,"H2009 knock-down, replicate3",Cancer Cell Line,H2009,PKC-delta KD,"H2009 cell line, with knockdown shRNA"
