# TITLE: Expression data from Lung cancer
# SUMMARY: Detection, treatment, and prediction of outcome for lung cancer patients increasingly depend on a molecular understanding of tumor development and sensitivity of lung cancer to therapeutic drugs. The application of genomic technologies, such as microarray, is widely used to monitor global gene expression and has built up invaluable information and knowledge, which is essential to the discovery of new insights into the mechanisms common to cancer cells, resulting in the identification of unique, identifiable signatures and specific characteristics. It is likely that application of microarray may revolutionize many aspects of lung cancer being diagnosed, classified, and treated in the near future. We used microarrays to detail the global gene expression patterns of lung cancer. Keywords: Disease state analysis
GPL96_Group,GPL96_Accession,GPL96_Title,GPL96_Source name,GPL96_Adjacent normal part of adenocarcinoma,GPL96_Sex,GPL96_Tumor part of adenocarcinoma,GPL96_Adjacent normal part of large cell lung cancer,GPL96_Tumor part of lage cell lung cancer,GPL96_Characteristics,GPL96_Adenocarcinoma
-,GSM185811,1N: Adjacent normal part of adenocarcinoma,1N,,female,,,,,
-,GSM185812,1T: Tumor part of adenocarcinoma,1T,,female,,,,,
-,GSM185813,2N: Adjacent normal part of adenocarcinoma,2N,,female,,,,,
-,GSM185814,2T: Tumor part of adenocarcinoma,2T,,female,,,,,
-,GSM185815,3N: Adjacent normal part of adenocarcinoma,3N,,female,,,,,
-,GSM185816,3T: Tumor part of adenocarcinoma,3T,,female,,,,,
-,GSM185817,4N: Adjacent normal part of adenocarcinoma,4N,,female,,,,,
-,GSM185818,4T: Tumor part of adenocarcinoma,4T,,female,,,,,
-,GSM185819,5N: Adjacent normal part of adenocarcinoma,5N,,female,,,,,
-,GSM185820,5T: Tumor part of adenocarcinoma,5T,,female,,,,,
-,GSM185821,6N: Adjacent normal part of adenocarcinoma,6N,,female,,,,,
-,GSM185822,6T: Tumor part of adenocarcinoma,6T,,female,,,,,
-,GSM185823,7N: Adjacent normal part of adenocarcinoma,7N,,female,,,,,
-,GSM185824,7T: Tumor part of adenocarcinoma,7T,,female,,,,,
-,GSM185825,8N: Adjacent normal part of adenocarcinoma,8N,,female,,,,,
-,GSM185826,8T: Tumor part of adenocarcinoma,8T,,female,,,,,
-,GSM185827,12N: Adjacent normal part of adenocarcinoma,12N,,female,,,,,
-,GSM185828,12T: Tumor part of adenocarcinoma,12T,,female,,,,,
-,GSM185829,13N: Adjacent normal part of adenocarcinoma,13N,,male,,,,,
-,GSM185830,13T: Tumor part of adenocarcinoma,13T,,male,,,,,
-,GSM185831,14N: Adjacent normal part of adenocarcinoma,14N,,male,,,,,
-,GSM185832,14T: Tumor part of adenocarcinoma,14T,,male,,,,,
-,GSM185833,15N: Adjacent normal part of adenocarcinoma,15N,,male,,,,,
-,GSM185834,15T: Tumor part of adenocarcinoma,15T,,male,,,,,
-,GSM185835,16N: Adjacent normal part of adenocarcinoma,16N,,male,,,,,
-,GSM185836,16T: Tumor part of adenocarcinoma,16T,,male,,,,,
-,GSM185837,18N: Adjacent normal part of adenocarcinoma,18N,,female,,,,,
-,GSM185838,18T: Tumor part of adenocarcinoma,18T,,female,,,,,
-,GSM185839,19N: Adjacent normal part of large cell lung cancer,19N,,female,,,,,
-,GSM185840,19T: Tumor part of lage cell lung cancer,19T,,female,,,,,
-,GSM185841,20N: Adjacent normal part of adenocarcinoma,20N,,female,,,,,
-,GSM185842,20T: Tumor part of adenocarcinoma,20T,,female,,,,,
-,GSM185843,21N: Adjacent normal part of adenocarcinoma,21N,,female,,,,,
-,GSM185844,21T: Tumor part of adenocarcinoma,21T,,female,,,,,
-,GSM185845,22N: Adjacent normal part of adenocarcinoma,22N,,female,,,,,
-,GSM185846,22T: Tumor part of adenocarcinoma,22T,,female,,,,,
-,GSM185847,23N: Adjacent normal part of adenocarcinoma,23N,,female,,,,,
-,GSM185848,23T: Tumor part of adenocarcinoma,23T,,female,,,,,
-,GSM185849,24N: Adjacent normal part of adenocarcinoma,24N,,female,,,,,
-,GSM185850,24T: Tumor part of adenocarcinoma,24T,,female,,,,,
-,GSM185851,25N: Adjacent normal part of adenocarcinoma,25N,,female,,,,,
-,GSM185852,25T: Tumor part of adenocarcinoma,25T,,female,,,,,
-,GSM185853,26N: Adjacent normal part of adenocarcinoma,26N,,female,,,,,
-,GSM185854,26T: Tumor part of adenocarcinoma,26T,,female,,,,,
-,GSM185855,27N: Adjacent normal part of adenocarcinoma,27N,,female,,,,,
-,GSM185856,27T: Tumor part of adenocarcinoma,27T,,female,,,,,
-,GSM185857,29N: Adjacent normal part of adenocarcinoma,29N,,male,,,,,
