# TITLE: Dynamic response of EGF stimulation in lung cancer cells [EGF]
# SUMMARY: The analysis of microarray time series promises a deeper insight into the dynamics of the cellular response following stimulation. A common observation in this type of data is that some genes respond with quick, transient dynamics, while other genes change their expression slowly over time. The existing methods for the detection of significant expression dynamics often fail when the expression dynamics show a large heterogeneity, and often cannot cope with irregular and sparse measurements.
GPL16686_Group,GPL16686_Accession,GPL16686_Title,GPL16686_Source name,GPL16686_Cell line,GPL16686_Characteristics,GPL16686_Treatment
-,GSM2227189,H1975NSCLC_0.5h_EGF_1,H1975 NSCLC,H1975,time(h): 0.5,EGF
-,GSM2227190,H1975NSCLC_0.5h_EGF_3,H1975 NSCLC,H1975,time(h): 0.5,EGF
-,GSM2227191,H1975NSCLC_1h_EGF_1,H1975 NSCLC,H1975,time(h): 1,EGF
-,GSM2227192,H1975NSCLC_2h_EGF_3,H1975 NSCLC,H1975,time(h): 2,EGF
-,GSM2227193,H1975NSCLC_4h_EGF_1,H1975 NSCLC,H1975,time(h): 4,EGF
-,GSM2227194,H1975NSCLC_6h_EGF_1,H1975 NSCLC,H1975,time(h): 6,EGF
-,GSM2227195,H1975NSCLC_8h_EGF_1,H1975 NSCLC,H1975,time(h): 8,EGF
-,GSM2227196,H1975NSCLC_12h_EGF_2,H1975 NSCLC,H1975,time(h): 12,EGF
-,GSM2227197,H1975NSCLC_18h_EGF_2,H1975 NSCLC,H1975,time(h): 18,EGF
-,GSM2227198,H1975NSCLC_24h_EGF_1,H1975 NSCLC,H1975,time(h): 24,EGF
-,GSM2227199,H1975NSCLC_24h_EGF_2,H1975 NSCLC,H1975,time(h): 24,EGF
-,GSM2227200,H1975NSCLC_24h_EGF_3,H1975 NSCLC,H1975,time(h): 24,EGF
-,GSM2227201,H1975NSCLC_48h_EGF_1,H1975 NSCLC,H1975,time(h): 48,EGF
-,GSM2227202,H1975NSCLC_48h_EGF_2,H1975 NSCLC,H1975,time(h): 48,EGF
-,GSM2227203,H1975NSCLC_48h_EGF_3,H1975 NSCLC,H1975,time(h): 48,EGF
