# TITLE: miR-7 as novel predictive epigenetic biomarker for platinum-resistance in cancer (gene expression)
# SUMMARY: Background. One of the major limitations associated to the platinum use is the resistance that almost invariably will progress in lung and ovarian cancers. In the current study, we sought to identify epigenetically regulated miRNAs as novel biomarkers of platinum-resistance in those tumor types. Methods. We combined transcriptomic data from miRNA and mRNA under the influence of an epigenetic reactivation treatment, followed by qRT-PCR and epigenteic validations for an accurate candidate selection in 23 human cancer cell lines. Functional analysis were performed to study their biological and therapeutic implications, that were further tested in 257 primary samples obtained from lung and ovarian tumors. Results. We identified a group of 9 miRNAs belonging to the CM19 cluster and 7 potential miRNA-targets potentially involved in resistance development, in both tumor types. Deregulation of miR-7, -132, -335 and -148a may be a common event in the development of CDDP-resistance. miR-7 presented specific methylation in the resistant subtypes and its reexpression, decreased cell viability, suggesting a possible cell sensitization to cisplatin. Our translational approach indicated that miR-7 methylation is a frequent event that may play an important role in the early establishment of NSCLC tumorigenesis, and seems to play an additional platinum-predictive role in ovarian cancer. Conclusions. miR-7 is a novel potential epigenetic biomarker tool for the selection of ovarian cancer patients with higher risk to earlier relapse and worst response to platinum-based chemotherapy. Funding. FIS (ISCIII): PI12/00386, PI13/01450, PI15/00186, and FEDER/FSE (Una manera de hacer Europa).
GPL6480_Group,GPL6480_Accession,GPL6480_Title,GPL6480_Source name,GPL6480_Cell line,GPL6480_Tissue,GPL6480_Chemoterapy drug,GPL6480_Phenotype
-,GSM2227721,H23_S_1,Sensitive cisplatin H23 lung cancer cell line,H23,Lung,cisplatin,Sensitive
-,GSM2227722,H23_R_1,Resistant cisplatin H23 lung cancer cell line,H23,Lung,cisplatin,Resistant
-,GSM2227723,H23_RT_1,Resistant under epigenetic reactivation treatment H23 lung cancer cell line,H23,Lung,cisplatin,Resistant under epigenetic reactivation treatment
-,GSM2227724,H23_S_2,Sensitive cisplatin H23 lung cancer cell line,H23,Lung,cisplatin,Sensitive
-,GSM2227725,H23_R_2,Resistant cisplatin H23 lung cancer cell line,H23,Lung,cisplatin,Resistant
-,GSM2227726,H23_RT_2,Resistant under epigenetic reactivation treatment H23 lung cancer cell line,H23,Lung,cisplatin,Resistant under epigenetic reactivation treatment
-,GSM2227727,H460_S_1,Sensitive cisplatin H460 lung cancer cell line,H460,Lung,cisplatin,Sensitive
-,GSM2227728,H460_R_1,Resistant cisplatin H460 lung cancer cell line,H460,Lung,cisplatin,Resistant
-,GSM2227729,H460_RT_1,Resistant under epigenetic reactivation treatment H2460 lung cancer cell line,H460,Lung,cisplatin,Resistant under epigenetic reactivation treatment
-,GSM2227730,H460_S_2,Sensitive cisplatin H460 lung cancer cell line,H460,Lung,cisplatin,Sensitive
-,GSM2227731,H460_R_2,Resistant cisplatin H460 lung cancer cell line,H460,Lung,cisplatin,Resistant
-,GSM2227732,H460_RT_2,Resistant under epigenetic reactivation treatment H460 lung cancer cell line,H460,Lung,cisplatin,Resistant under epigenetic reactivation treatment
-,GSM2227733,OVCAR3_S_1,Sensitive cisplatin OVCAR3 lung cancer cell line,OVCAR3,Ovarian,cisplatin,Sensitive
-,GSM2227734,OVCAR3_R_1,Resistant cisplatin OVCAR3 lung cancer cell line,OVCAR3,Ovarian,cisplatin,Resistant
-,GSM2227735,OVCAR3_RT_1,Resistant under epigenetic reactivation treatment OVCAR3 lung cancer cell line,OVCAR3,Ovarian,cisplatin,Resistant under epigenetic reactivation treatment
-,GSM2227736,OVCAR3_S_2,Sensitive cisplatin OVCAR3 lung cancer cell line,OVCAR3,Ovarian,cisplatin,Sensitive
-,GSM2227737,OVCAR3_R_2,Resistant cisplatin OVCAR3 lung cancer cell line,OVCAR3,Ovarian,cisplatin,Resistant
-,GSM2227738,OVCAR3_RT_2,Resistant under epigenetic reactivation treatment OVCAR3 lung cancer cell line,OVCAR3,Ovarian,cisplatin,Resistant under epigenetic reactivation treatment
-,GSM2227739,A2780_S_1,Sensitive cisplatin A2780 lung cancer cell line,A2780,Ovarian,cisplatin,Sensitive
-,GSM2227740,A2780_R_1,Resistant cisplatin A2780 lung cancer cell line,A2780,Ovarian,cisplatin,Resistant
-,GSM2227741,A2780_RT_1,Resistant under epigenetic reactivation treatment A2780 lung cancer cell line,A2780,Ovarian,cisplatin,Resistant under epigenetic reactivation treatment
-,GSM2227742,A2780_S_2,Sensitive cisplatin A2780 lung cancer cell line,A2780,Ovarian,cisplatin,Sensitive
-,GSM2227743,A2780_R_2,Resistant cisplatin A2780 lung cancer cell line,A2780,Ovarian,cisplatin,Resistant
-,GSM2227744,A2780_RT_2,Resistant under epigenetic reactivation treatment A2780 lung cancer cell line,A2780,Ovarian,cisplatin,Resistant under epigenetic reactivation treatment
