# TITLE: CYP3A5 Gene Expression is Associated with Early Recurrence of Non-small Cell Lung Cancer
# SUMMARY: Study to identify genes associated with NSCLC recurrence in patients not receiving adjuvant chemotherapy. Purpose: Recent clinical trials suggest improvement in survival with adjuvant chemotherapy in non-small cell lung cancer (NSCLC). This study's aim is to identify genes associated with NSCLC recurrence in patients not receiving adjuvant chemotherapy. Experimental design: Banked NSCLC tumors of patients who underwent resection of stage Ia-IIIb disease were identified. Patients were stratified into two groups: recurrent (R, n=11) or non-recurrent (NR, n=16) 2 years after surgery. Microarray profiling and Cox multivariate analysis were performed. Conclusion: Increased CYP3A5 gene expression correlates with NSCLC recurrence and promotes proliferation through mechanisms that may involve, in part, CYP3A5 epoxygenase activity. Keywords: comparison of gene expression profiles for recurrent and non-recurrent cancer
GPL96_Group,GPL96_Accession,GPL96_Title,GPL96_Source name,GPL96_From patient with recurrent cancer,GPL96_From patient with non-recurrent cancer
-,GSM252136,Recurrent-NSCLC-1,recurrent NSCLC tumor,,
-,GSM252137,Recurrent-NSCLC-2,recurrent NSCLC tumor,,
-,GSM252138,Recurrent-NSCLC-3,recurrent NSCLC tumor,,
-,GSM252139,Recurrent-NSCLC-4,recurrent NSCLC tumor,,
-,GSM252140,Recurrent-NSCLC-5,recurrent NSCLC tumor,,
-,GSM252141,Recurrent-NSCLC-6,recurrent NSCLC tumor,,
-,GSM252142,Recurrent-NSCLC-7,recurrent NSCLC tumor,,
-,GSM252143,Recurrent-NSCLC-8,recurrent NSCLC tumor,,
-,GSM252144,Recurrent-NSCLC-9,recurrent NSCLC tumor,,
-,GSM252145,Recurrent-NSCLC-10,recurrent NSCLC tumor,,
-,GSM252146,Recurrent-NSCLC-11,recurrent NSCLC tumor,,
-,GSM252147,Non-Recurrent-NSCLC-1,non-recurrent NSCLC tumor,,
-,GSM252148,Non-Recurrent-NSCLC-2,non-recurrent NSCLC tumor,,
-,GSM252149,Non-Recurrent-NSCLC-3,non-recurrent NSCLC tumor,,
-,GSM252150,Non-Recurrent-NSCLC-4,non-recurrent NSCLC tumor,,
-,GSM252151,Non-Recurrent-NSCLC-5,non-recurrent NSCLC tumor,,
-,GSM252152,Non-Recurrent-NSCLC-6,non-recurrent NSCLC tumor,,
-,GSM252153,Non-Recurrent-NSCLC-7,non-recurrent NSCLC tumor,,
-,GSM252154,Non-Recurrent-NSCLC-8,non-recurrent NSCLC tumor,,
-,GSM252155,Non-Recurrent-NSCLC-9,non-recurrent NSCLC tumor,,
-,GSM252156,Non-Recurrent-NSCLC-10,non-recurrent NSCLC tumor,,
-,GSM252157,Non-Recurrent-NSCLC-11,non-recurrent NSCLC tumor,,
-,GSM252158,Non-Recurrent-NSCLC-12,non-recurrent NSCLC tumor,,
-,GSM252159,Non-Recurrent-NSCLC-13,non-recurrent NSCLC tumor,,
-,GSM252160,Non-Recurrent-NSCLC-14,non-recurrent NSCLC tumor,,
-,GSM252161,Non-Recurrent-NSCLC-15,non-recurrent NSCLC tumor,,
-,GSM252162,Non-Recurrent-NSCLC-16,non-recurrent NSCLC tumor,,
