custom_id,error,model,Q1,Q2,Q3,Q4,in_actual
samples_table_GSE189047.csv,,o4-mini-2025-04-16,"No | evidence: Dataset consists of A549 lung cancer cell line samples with treatment conditions, no patient survival variables provided. | justification: No patient-specific survival time or status variables (OS, PFS, etc.) present.","No | stage i evidence: Data from A549 cell line, not patient cohort; no staging information. | act evidence: Treatment labels refer to in vitro drug exposure, not patient adjuvant chemotherapy annotation. | justification: No patient stage I composition or explicit adjuvant chemotherapy annotation.",meets survival criterion: No | meets stage or act criterion: No | justification: Fails to provide any patient survival data or stage I/ACT annotation; cell line dataset not meeting inclusion criteria.,No,False
samples_table_GSE10096.csv,,o4-mini-2025-04-16,"No | evidence: No patient-level OS/RFS/PFS status or time variables provided; data derive from cell line/metastasis assays, not human survival records. | justification: The dataset reports Kaplan-Meier curves in a murine model and cell line experiments, with no individual patient survival fields.","No | stage i evidence: No stage annotations; samples are cell lines, not clinical stage I patients. | act evidence: No adjuvant chemotherapy annotations present. | justification: All samples are NSCLC-derived cell lines tested for bone tropism, lacking clinical stage or treatment metadata.",meets survival criterion: No | meets stage or act criterion: No | justification: Fails both survival data requirement (no patient-level status/time) and stage I/ACT requirement (no clinical annotations).,No,False
samples_table_GSE27606.csv,,o4-mini-2025-04-16,"No | evidence: No columns for OS, PFS, RFS status or time present. | justification: Dataset contains only sample collection timing, not survival endpoints.",Yes | stage i evidence: 14 of 22 samples (63.6%) are Stage I (1A or 1B). | act evidence: None reported. | justification: Majority of patients are Stage I.,"meets survival criterion: No | meets stage or act criterion: Yes | justification: Although it meets the Stage I composition criterion, it lacks patient-specific survival time/status data.",No,False
samples_table_GSE38054.csv,,o4-mini-2025-04-16,"No | evidence: Columns: GPL14550_Group, GPL14550_Accession, Title, Source name, Cell type, Cell line, Treatment | justification: This is a cell‐line expression dataset with no patient survival time or status variables.",No | stage i evidence: Not reported | act evidence: Not reported | justification: No patient staging or adjuvant chemotherapy annotations—only cell line treatment conditions.,meets survival criterion: No | meets stage or act criterion: No | justification: Dataset lacks both patient survival data and required clinical annotations (stage I or ACT).,No,False
samples_table_GSE240758.csv,,o4-mini-2025-04-16,"No | evidence: No patient-specific variables for survival status or survival time in provided metadata (only age, race, sex, stage) | justification: Dataset lacks OS, PFS, RFS status or time variables","No | stage i evidence: Among NSCLC samples (8 total: 4 adenocarcinoma, 4 squamous), only 2 are Stage I/IB (~25%), below 50% threshold | act evidence: No adjuvant chemotherapy annotation provided | justification: Does not meet ≥50% Stage I or explicit ACT annotation",meets survival criterion: No | meets stage or act criterion: No | justification: Fails to provide required survival data and insufficient Stage I representation or ACT annotation,No,False
samples_table_GSE8332.csv,,o4-mini-2025-04-16,"No | evidence: Dataset lists only cell lines and experimental conditions; no patient survival status or time variables present. | justification: No clinical survival endpoints (OS, PFS, RFS) are provided.","No | justification: No clinical stage information or adjuvant chemotherapy annotation; samples are cell lines, not patient tumors.","meets survival criterion: No | meets stage or act criterion: No | justification: This is an in vitro cell-line expression study without any patient clinical data, survival outcomes, stage, or treatment annotations.",No,False
samples_table_GSE92679.csv,,o4-mini-2025-04-16,"No | evidence: Dataset describes only cell line treatments, no OS/RFS/PFS status or times. | justification: This is in vitro treatment data without any patient survival variables.","No | stage i evidence: N/A | act evidence: N/A | justification: Not a patient cohort; only cell lines are profiled, so no stage or adjuvant chemotherapy annotation.",meets survival criterion: No | meets stage or act criterion: No | justification: The dataset lacks patient-specific survival data and has no information on patient stage or adjuvant therapy.,No,False
samples_table_GSE75960.csv,,o4-mini-2025-04-16,"No | evidence: Study describes microarray profiling of NSCLC cell line DV90 after JQ1 treatment; no patient-level survival status or time variables reported. | justification: This is a cell line experiment, not a clinical cohort with survival data.","No | stage i evidence: No information on clinical stage; samples are cell line DV90. | act evidence: No adjuvant chemotherapy annotation for patients, only drug treatment of cell line. | justification: No patient-level staging or ACT information is provided.",meets survival criterion: No | meets stage or act criterion: No | justification: Fails both survival data and stage/ACT criteria; not a clinical dataset.,No,False
samples_table_GSE115864.csv,,o4-mini-2025-04-16,"No | evidence: Dataset comprises cell‐line xenograft groups (e.g., NTC-DMSO, Erlotinib treatments) with GSM identifiers; no patient OS/PFS variables. | justification: No patient‐specific survival status or time fields are present; data are from experimental cell lines, not clinical cohorts.","No | stage i evidence: None | act evidence: None | justification: No patient staging or adjuvant chemotherapy annotation; dataset labels refer to treatments in cell lines, not clinical ACT status.",meets survival criterion: No | meets stage or act criterion: No | justification: Lacks both required clinical survival variables and patient‐level stage I or ACT information.,No,False
samples_table_GSE27388.csv,,o4-mini-2025-04-16,"No | evidence: No patient-specific survival status or time variables (OS, PFS, RFS) are reported in the title, summary, or sample attributes. | justification: The dataset focuses on gene expression profiling from FFPE samples and does not include any survival endpoints.","No | stage i evidence: No staging information (e.g., Stage I–IV) provided for NSCLC patients. | act evidence: No annotation for adjuvant chemotherapy usage. | justification: The study is on cervical SCC and AC samples, not NSCLC, and lacks both stage and ACT data.","meets survival criterion: No | meets stage or act criterion: No | justification: Fails to provide patient-level survival data and does not meet the stage I or ACT criteria; moreover, it is not an NSCLC dataset.",No,False
samples_table_GSE52717.csv,,o4-mini-2025-04-16,"No | evidence: Dataset table lists GSM samples from cell lines and xenografts with source names and cell types; no survival status/time fields present. | justification: No patient-specific survival variables (OS, PFS, RFS) are provided.",No | stage i evidence: Sample annotations indicate cell lines and patient-derived xenografts but no clinical stage I labels or proportions. | act evidence: No fields or metadata describe adjuvant chemotherapy status. | justification: Neither majority stage I composition nor ACT annotation is available.,meets survival criterion: No | meets stage or act criterion: No | justification: Lacks both required survival data and stage I or ACT information.,No,False
samples_table_GSE171702.csv,,o4-mini-2025-04-16,"No | evidence: No columns for survival status or survival time (e.g., OS, PFS) in sample annotation. | justification: Provided fields include tissue type, gender, histology, stage, age, but no survival variables.",No | stage i evidence: Only 1 sample (GSM5231067) listed as Stage 1A out of ~30 total. | act evidence: No annotation for adjuvant chemotherapy. | justification: <50% of patients are Stage I and no ACT information is provided.,meets survival criterion: No | meets stage or act criterion: No | justification: Dataset lacks patient‐level survival data and does not meet the stage I or ACT composition criterion.,No,False
samples_table_GSE18346.csv,,o4-mini-2025-04-16,"No | evidence: No patient‐level OS, PFS, or RFS status/time columns are present in the sample annotation (only tissue type and sample IDs). | justification: Dataset is a splice array comparing tumor vs normal without any survival follow‐up data.",No | stage i evidence: No staging information provided (only “diagnostic NSCLC”). | act evidence: No adjuvant chemotherapy annotation present. | justification: Neither stage distribution nor ACT status is reported.,"meets survival criterion: No | meets stage or act criterion: No | justification: The dataset lacks both survival variables and information on stage I proportion or ACT annotation, failing all inclusion criteria.",No,False
samples_table_GSE26241.csv,,o4-mini-2025-04-16,"No | evidence: Dataset description and sample table list only cell line treatments (siControl, siPKCiz, TGFbeta time points), no survival status or time variables. | justification: This is an in vitro A549 cell line experiment without any patient-specific survival data.",No | stage i evidence: None—no patient stage information available. | act evidence: None—no adjuvant chemotherapy annotation present. | justification: The dataset involves only cultured cell lines; no clinical stage or treatment annotations apply.,"meets survival criterion: No | meets stage or act criterion: No | justification: The dataset lacks both patient survival variables and any clinical stage I or adjuvant chemotherapy data, so it does not meet inclusion criteria.",No,False
samples_table_GSE136932.csv,,o4-mini-2025-04-16,"No | evidence: Dataset describes cell line treatments (A549, H1975) with Pirfenidone, no patient records or survival time/status fields. | justification: This is an in vitro transcriptome study; no patient survival data present.","No | stage i evidence: None – no patient staging information. | act evidence: None – no adjuvant chemotherapy annotation. | justification: Dataset contains only cell line experimental conditions, not clinical stage or treatment annotations.",meets survival criterion: No | meets stage or act criterion: No | justification: Fails both criteria: lacks patient-specific survival data and any stage I or ACT annotation.,No,False
samples_table_GSE184414.csv,,o4-mini-2025-04-16,No | evidence: Dataset contains only cell line identifiers (A549) and treatment conditions; no survival time or status variables present. | justification: This is an in vitro gene expression study with no patient-level survival information.,No | justification: No clinical staging or adjuvant chemotherapy annotation is provided; dataset comprises only treated and untreated cell lines.,meets survival criterion: No | meets stage or act criterion: No | justification: The dataset lacks both patient-specific survival data and any clinical stage I or adjuvant chemotherapy information; it does not meet inclusion criteria.,No,False
samples_table_GSE229302.csv,,o4-mini-2025-04-16,No | evidence: GPL18058_Status after 5 years (Alive/Dead) | justification: Only a 5-year status is provided; no patient-specific survival time variable is included.,No | stage i evidence: 1 of 3 patients (33%) is Stage I (IB) | act evidence: No adjuvant chemotherapy annotation present | justification: Less than 50% of patients are Stage I and no ACT data provided.,meets survival criterion: No | meets stage or act criterion: No | justification: Missing required survival time data and lacks >50% Stage I or ACT annotation.,No,False
samples_table_GSE115456.csv,,o4-mini-2025-04-16,"No | evidence: Cell line experiment; no patient survival status or time variables provided | justification: Dataset describes gene expression in NSCLC cell lines, not patient data",No | justification: No clinical staging or adjuvant chemotherapy annotations—only treatment conditions for cell lines,meets survival criterion: No | meets stage or act criterion: No | justification: Fails both survival data requirement and clinical stage/ACT composition criteria,No,False
samples_table_GSE23066.csv,,o4-mini-2025-04-16,"No | evidence: No columns or annotations for overall survival time/status, progression-free survival, or recurrence data in the provided file or summary. | justification: The dataset comprises MSC gene expression samples without any patient‐level survival variables.","No | stage i evidence: No patient tumor staging information provided in the title, summary, or sample annotations. | act evidence: No mention of adjuvant chemotherapy annotation for any sample. | justification: Only MSC and fibroblast sample types are listed, with no clinical stage or treatment details.",meets survival criterion: No | meets stage or act criterion: No | justification: Fails to meet both required criteria: lacks survival data and has no stage I majority or ACT annotation.,No,False
