# TITLE: Gene Expression of HBEC-3KT cells exposed to cigarette smoke condensate (CSC) over a period of 15 months
# SUMMARY: We define how chronic cigarette smoke-induced time-dependent epigenetic alterations can sensitize human bronchial epithelial cells (HBEC) for transformation by a single oncogene. The smoke-induced, chromatin changes include initial repressive polycomb marking of genes later manifesting abnormal DNA methylation by 10 months. At this time, cells manifest epithelial to mesenchymal changes, anchorage-independent growth and upregulated RAS/MAPK signaling with silencing of hyper-methylated genes normally inhibiting these pathways and which are associated with smoking related NSCLC. These cells, in the absence of any driver gene mutations, now transform by introducing a single KRAS mutation and form adeno-squamous lung carcinomas in mice. Thus, epigenetic abnormalities may prime for changing oncogene senescence to addiction for a single key oncogene involved in lung cancer initiation.
GPL10332_Group,GPL10332_Accession,GPL10332_Title,GPL10332_Source name 1,GPL10332_Source name 2,GPL10332_Cell line (Ch1),GPL10332_Treatment (Ch1),GPL10332_Treatment time (Ch1),GPL10332_Treatment (Ch2),GPL10332_Treatment time (Ch2),GPL10332_Tissue (Ch2)
-,GSM2717342,CSC_10days_rep1,Human bronchial epithelial cells_rep1,HBEC control cells at 10 days,HBEC-3KT,cigarette smoke condensate (CSC),day 10,cigarette smoke condensate (CSC),day 10,lung epithelial
-,GSM2717343,CSC_10days_rep2,Human bronchial epithelial cells_rep2,HBEC control cells at 10 days,HBEC-3KT,cigarette smoke condensate (CSC),day 10,cigarette smoke condensate (CSC),day 10,lung epithelial
-,GSM2717344,CSC_1 month_rep1,Human bronchial epithelial cells_rep1,HBEC control cells at 1 month,HBEC-3KT,cigarette smoke condensate (CSC),1 month,cigarette smoke condensate (CSC),1 month,lung epithelial
-,GSM2717345,CSC_1 month_rep2,Human bronchial epithelial cells_rep2,HBEC control cells at 1 month,HBEC-3KT,cigarette smoke condensate (CSC),1 month,cigarette smoke condensate (CSC),1 month,lung epithelial
-,GSM2717346,CSC_3 months_rep1,Human bronchial epithelial cells_rep1,HBEC control cells at 3 months,HBEC-3KT,cigarette smoke condensate (CSC),3 months,cigarette smoke condensate (CSC),3 months,lung epithelial
-,GSM2717347,CSC_3 months_rep2,Human bronchial epithelial cells_rep2,HBEC control cells at 3 months,HBEC-3KT,cigarette smoke condensate (CSC),3 months,cigarette smoke condensate (CSC),3 months,lung epithelial
-,GSM2717348,CSC_6 months_rep1,Human bronchial epithelial cells_rep1,HBEC control cells at 6 months,HBEC-3KT,cigarette smoke condensate (CSC),6 months,cigarette smoke condensate (CSC),6 months,lung epithelial
-,GSM2717349,CSC_6 months_rep2,Human bronchial epithelial cells_rep2,HBEC control cells at 6 months,HBEC-3KT,cigarette smoke condensate (CSC),6 months,cigarette smoke condensate (CSC),6 months,lung epithelial
-,GSM2717350,CSC_10 months_rep1,Human bronchial epithelial cells_rep1,HBEC control cells at 10 months,HBEC-3KT,cigarette smoke condensate (CSC),10 months,cigarette smoke condensate (CSC),10 months,lung epithelial
-,GSM2717351,CSC_10 months_rep2,Human bronchial epithelial cells_rep2,HBEC control cells at 10 months,HBEC-3KT,cigarette smoke condensate (CSC),10 months,cigarette smoke condensate (CSC),10 months,lung epithelial
-,GSM2717352,CSC_15 months_rep1,Human bronchial epithelial cells_rep1,HBEC control cells at 15 months,HBEC-3KT,cigarette smoke condensate (CSC),15 months,cigarette smoke condensate (CSC),15 months,lung epithelial
-,GSM2717353,CSC_15 months_rep2,Human bronchial epithelial cells_rep2,HBEC control cells at 15 months,HBEC-3KT,cigarette smoke condensate (CSC),15 months,cigarette smoke condensate (CSC),15 months,lung epithelial
-,GSM2717354,CSC_EV_rep1,Human bronchial epithelial cells_rep1,HBEC control cells with EV,HBEC-3KT,cigarette smoke condensate (CSC),15 months,cigarette smoke condensate (CSC),15 months with EV,lung epithelial
-,GSM2717355,CSC_Kras_rep1,Human bronchial epithelial cells_rep2,HBEC control cells with KRASV12,HBEC-3KT,cigarette smoke condensate (CSC),15 months,cigarette smoke condensate (CSC),15 months with KRASV12,lung epithelial
-,GSM2717356,CSC_EV_rep2,Human bronchial epithelial cells_rep1,HBEC control cells with EV,HBEC-3KT,cigarette smoke condensate (CSC),15 months,cigarette smoke condensate (CSC),15 months with EV,lung epithelial
-,GSM2717357,CSC_Kras_rep2,Human bronchial epithelial cells_rep2,HBEC control cells with KRASV12,HBEC-3KT,cigarette smoke condensate (CSC),15 months,cigarette smoke condensate (CSC),15 months with KRASV12,lung epithelial
