# TITLE: Molecular classification of histological origin of NSCLC
# SUMMARY: Lung cancer is one of the most common malignant tumors in the world. The latest edition of WHO classifies lung cancer on the basis of histological morphology and molecular typing, which is a relatively complete pathological classification of lung cancer at present. However, in clinical practice, it is difficult to make accurate subtype classification of NSCLC only by using morphological structure and immunohistochemical characteristics, and the degree of coincidence with gene mutation and clinicopathological parameters is poor, which has limited guiding effect on clinical diagnosis and treatment. In this study, we proposed Molecular Pathological Classification Model of NSCLC Tissue Origin.
GPL23126_Group,GPL23126_Accession,GPL23126_Title,GPL23126_Source name,GPL23126_Tissue
-,GSM5140954,A21_N,normal terminal bronchiolar epithelium,normal terminal bronchiolar epithelium
-,GSM5140955,A21_T,Bronchoalveolar carcinoma,Bronchoalveolar carcinoma
-,GSM5140956,A23_N,normal terminal bronchiolar epithelium,normal terminal bronchiolar epithelium
-,GSM5140957,A23_T,Bronchoalveolar carcinoma,Bronchoalveolar carcinoma
-,GSM5140958,A25_N,normal terminal bronchiolar epithelium,normal terminal bronchiolar epithelium
-,GSM5140959,A25_T,Bronchoalveolar carcinoma,Bronchoalveolar carcinoma
-,GSM5140960,A27_N,normal terminal bronchiolar epithelium,normal terminal bronchiolar epithelium
-,GSM5140961,A27_T,Bronchoalveolar carcinoma,Bronchoalveolar carcinoma
-,GSM5140962,A29_N,normal terminal bronchiolar epithelium,normal terminal bronchiolar epithelium
-,GSM5140963,A29_T,Bronchoalveolar carcinoma,Bronchoalveolar carcinoma
-,GSM5140964,A31_N,normal terminal bronchiolar epithelium,normal terminal bronchiolar epithelium
-,GSM5140965,A31_T,Bronchoalveolar carcinoma,Bronchoalveolar carcinoma
-,GSM5140966,A33_N,normal terminal bronchiolar epithelium,normal terminal bronchiolar epithelium
-,GSM5140967,A33_T,Bronchoalveolar carcinoma,Bronchoalveolar carcinoma
-,GSM5140968,A35_N,normal terminal bronchiolar epithelium,normal terminal bronchiolar epithelium
-,GSM5140969,A35_T,Bronchoalveolar carcinoma,Bronchoalveolar carcinoma
-,GSM5140970,A37_N,normal terminal bronchiolar epithelium,normal terminal bronchiolar epithelium
-,GSM5140971,A37_T,Bronchoalveolar carcinoma,Bronchoalveolar carcinoma
-,GSM5140972,A39_N,normal terminal bronchiolar epithelium,normal terminal bronchiolar epithelium
-,GSM5140973,A39_T,Bronchoalveolar carcinoma,Bronchoalveolar carcinoma
-,GSM5140974,B21_N,normal alveolar epithelial,normal alveolar epithelial
-,GSM5140975,B21_T,Alveolar epithelial carcinoma,Alveolar epithelial carcinoma
-,GSM5140976,B23_N,normal alveolar epithelial,normal alveolar epithelial
-,GSM5140977,B23_T,Alveolar epithelial carcinoma,Alveolar epithelial carcinoma
-,GSM5140978,B25_N,normal alveolar epithelial,normal alveolar epithelial
-,GSM5140979,B25_T,Alveolar epithelial carcinoma,Alveolar epithelial carcinoma
