# TITLE: Gene expression analysis of human lung cancer and control samples
# SUMMARY: PURPOSE The development of reliable gene expression profiling technology is having an increasing impact on our understanding of lung cancer biology. The present study aims to determine whether the phenotypic heterogeneity and genetic diversity of lung cancer are correlated. PATIENTS AND METHODS In this study, microarray analysis was performed in a set of 91 non-small cell lung cancer (NSCLC) samples in order to: establish gene signatures in primary adenocarcinomas and squamous-cell carcinomas; determine differentially expressed gene sequences at different stages of the disease; and identify sequences with biological significance for tumor progression. After microarray analysis, the expression level of 92 selected genes was validated by qPCR in an independent set of 70 samples. RESULTS Gene sequences were differentially expressed as a function of tumor type, stage, and differentiation grade. High upregulation was observed for KRT15 and PKP1, which may be good markers to distinguish squamous cell carcinoma samples. High downregulation was observed for DSG3 in stage IA adenocarcinomas. CONCLUSION Expression signatures in NSCLC distinguish tumor type, stage, and differentiation grade. Keywords: Tumor vs control comparative genomics study
GPL570_Group,GPL570_Accession,GPL570_Title,GPL570_Source name,GPL570_Tissue,GPL570_Sample type
-,GSM466947,Tumor 2,Human Lung Tumor,lung,tumor
-,GSM466948,Control 2,Human Lung Control,lung,control
-,GSM466949,Tumor 3,Human Lung Tumor,lung,tumor
-,GSM466950,Control 3,Human Lung Control,lung,control
-,GSM466951,Tumor 6,Human Lung Tumor,lung,tumor
-,GSM466952,Tumor 9,Human Lung Tumor,lung,tumor
-,GSM466953,Control 9,Human Lung Control,lung,control
-,GSM466954,Tumor 10,Human Lung Tumor,lung,tumor
-,GSM466955,Control 10,Human Lung Control,lung,control
-,GSM466956,Tumor 11,Human Lung Tumor,lung,tumor
-,GSM466957,Control 11,Human Lung Control,lung,control
-,GSM466958,Tumor 12,Human Lung Tumor,lung,tumor
-,GSM466959,Control 12,Human Lung Control,lung,control
-,GSM466960,Tumor 16,Human Lung Tumor,lung,tumor
-,GSM466961,Control 18,Human Lung Control,lung,control
-,GSM466962,Tumor 18,Human Lung Tumor,lung,tumor
-,GSM466963,Tumor 21,Human Lung Tumor,lung,tumor
-,GSM466964,Control 21,Human Lung Control,lung,control
-,GSM466965,Tumor 22,Human Lung Tumor,lung,tumor
-,GSM466966,Control 22,Human Lung Control,lung,control
-,GSM466967,Tumor 23,Human Lung Tumor,lung,tumor
-,GSM466968,Control 23,Human Lung Control,lung,control
-,GSM466969,Tumor 24,Human Lung Tumor,lung,tumor
-,GSM466970,Control 24,Human Lung Control,lung,control
-,GSM466971,Tumor 26,Human Lung Tumor,lung,tumor
-,GSM466972,Control 26,Human Lung Control,lung,control
-,GSM466973,Tumor 28,Human Lung Tumor,lung,tumor
-,GSM466974,Control 28,Human Lung Control,lung,control
-,GSM466975,Tumor 29,Human Lung Tumor,lung,tumor
-,GSM466976,Control 29,Human Lung Control,lung,control
-,GSM466977,Tumor 30,Human Lung Tumor,lung,tumor
-,GSM466978,Control 30,Human Lung Control,lung,control
-,GSM466979,Control 31,Human Lung Control,lung,control
-,GSM466980,Tumor 31,Human Lung Tumor,lung,tumor
-,GSM466981,Control 32,Human Lung Control,lung,control
-,GSM466982,Tumor 32,Human Lung Tumor,lung,tumor
-,GSM466983,Tumor 33,Human Lung Tumor,lung,tumor
-,GSM466984,Control 36,Human Lung Control,lung,control
-,GSM466985,Tumor 36,Human Lung Tumor,lung,tumor
-,GSM466986,Control 37,Human Lung Control,lung,control
-,GSM466987,Tumor 37,Human Lung Tumor,lung,tumor
-,GSM466988,Control 38,Human Lung Control,lung,control
-,GSM466989,Tumor 38,Human Lung Tumor,lung,tumor
-,GSM466990,Control 40,Human Lung Control,lung,control
-,GSM466991,Tumor 40,Human Lung Tumor,lung,tumor
-,GSM466992,Control 41,Human Lung Control,lung,control
-,GSM466993,Tumor 41,Human Lung Tumor,lung,tumor
-,GSM466994,Tumor 42,Human Lung Tumor,lung,tumor
-,GSM466995,Control 42,Human Lung Control,lung,control
-,GSM466996,Tumor 43,Human Lung Tumor,lung,tumor
-,GSM466997,Control 43,Human Lung Control,lung,control
-,GSM466998,Tumor 44,Human Lung Tumor,lung,tumor
-,GSM466999,Control 44,Human Lung Control,lung,control
-,GSM467000,Control 6,Human Lung Control,lung,control
-,GSM467001,Control 16,Human Lung Control,lung,control
-,GSM467002,Control 33,Human Lung Control,lung,control
-,GSM467003,Control 46,Human Lung Control,lung,control
-,GSM467004,Tumor 46,Human Lung Tumor,lung,tumor
-,GSM467005,Control 47,Human Lung Control,lung,control
-,GSM467006,Tumor 47,Human Lung Tumor,lung,tumor
-,GSM467007,Control 48,Human Lung Control,lung,control
-,GSM467008,Tumor 48,Human Lung Tumor,lung,tumor
-,GSM467009,Control 49,Human Lung Control,lung,control
-,GSM467010,Tumor 49,Human Lung Tumor,lung,tumor
-,GSM467011,Control 50,Human Lung Control,lung,control
-,GSM467012,Tumor 50,Human Lung Tumor,lung,tumor
-,GSM467013,Control 53,Human Lung Control,lung,control
-,GSM467014,Tumor 53,Human Lung Tumor,lung,tumor
-,GSM467015,Control 55,Human Lung Control,lung,control
-,GSM467016,Tumor 55,Human Lung Tumor,lung,tumor
-,GSM467017,Control 57,Human Lung Control,lung,control
-,GSM467018,Tumor 57,Human Lung Tumor,lung,tumor
-,GSM467019,Control NP,Human Lung Control,lung,control
-,GSM467020,Control 60,Human Lung Control,lung,control
-,GSM467021,Tumor 60,Human Lung Tumor,lung,tumor
-,GSM467022,Control 61,Human Lung Control,lung,control
-,GSM467023,Tumor 61,Human Lung Tumor,lung,tumor
-,GSM467024,Tumor NP_1,Human Lung Tumor,lung,tumor
-,GSM467025,Control 64,Human Lung Control,lung,control
-,GSM467026,Tumor 64,Human Lung Tumor,lung,tumor
-,GSM467027,Control 65,Human Lung Control,lung,control
-,GSM467028,Tumor 65,Human Lung Tumor,lung,tumor
-,GSM467029,Tumor 66,Human Lung Tumor,lung,tumor
-,GSM467030,Tumor NP_2,Human Lung Tumor,lung,tumor
