# TITLE: NCI cDNA microarray-human 60 cell lines
# SUMMARY: We used cDNA microarrays to explore the variation in expression of approximately 8,000 unique genes among the 60 cell lines used in the National Cancer Institute's screen for anti-cancer drugs. Keywords: parallel sample
GPL1290_Group,GPL1290_Accession,GPL1290_Title,GPL1290_Source name 1,GPL1290_Source name 2
-,GSM35908,BREAST_MCF7A_REPRO,Cy5-BREAST_MCF7A_REPRO,Cy3-pool of 12 lines
-,GSM35909,BREAST_MCF7D_REPRO,Cy5-BREAST_MCF7D_REPRO,Cy3-pool of 12 lines
-,GSM35910,BREAST_MCF7,Cy5-BREAST_MCF7,Cy3-pool of 12 lines
-,GSM35911,BREAST_MDA_MB231,Cy5-BREAST_MDA_MB231,Cy3-pool of 12 lines
-,GSM35912,BREAST_MDA_MB435,Cy5-BREAST_MDA_MB435,Cy3-pool of 12 lines
-,GSM35913,BREAST_MDA_N,Cy5-BREAST_MDA_N,Cy3-pool of 12 lines
-,GSM35914,BREAST_T47,Cy5-BREAST_T47,Cy3-pool of 12 lines
-,GSM35915,BR_BT549,Cy5-BR_BT549,Cy3-pool of 12 lines
-,GSM35916,BR_HS578T,Cy5-BR_HS578T,Cy3-pool of 12 lines
-,GSM35917,CNS_SF268,Cy5-CNS_SF268,Cy3-pool of 12 lines
-,GSM35918,CNS_SF295,Cy5-CNS_SF295,Cy3-pool of 12 lines
-,GSM35919,CNS_SF539,Cy5-CNS_SF539,Cy3-pool of 12 lines
-,GSM35920,CNS_SNB19,Cy5-CNS_SNB19,Cy3-pool of 12 lines
-,GSM35921,CNS_SNB75,Cy5-CNS_SNB75,Cy3-pool of 12 lines
-,GSM35922,CNS_U251,Cy5-CNS_U251,Cy3-pool of 12 lines
-,GSM35923,COLON_COLO205,Cy5-COLON_COLO205,Cy3-pool of 12 lines
-,GSM35924,COLON_HCC2998,Cy5-COLON_HCC2998,Cy3-pool of 12 lines
-,GSM35925,COLON_HCT116,Cy5-COLON_HCT116,Cy3-pool of 12 lines
-,GSM35926,COLON_HCT15,Cy5-COLON_HCT15,Cy3-pool of 12 lines
-,GSM35927,COLON_HT29,Cy5-COLON_HT29,Cy3-pool of 12 lines
-,GSM35928,COLON_KM12,Cy5-COLON_KM12,Cy3-pool of 12 lines
-,GSM35929,COLON_SW620,Cy5-COLON_SW620,Cy3-pool of 12 lines
-,GSM35930,LEUKEMIA_CCRF_CEM,Cy5-LEUKEMIA_CCRF_CEM,Cy3-pool of 12 lines
-,GSM35931,LEUKEMIA_HL60,Cy5-LEUKEMIA_HL60,Cy3-pool of 12 lines
-,GSM35932,LEUKEMIA_K562A_REPRO,Cy5-LEUKEMIA_K562A_REPRO,Cy3-pool of 12 lines
-,GSM35933,LEUKEMIA_K562B_REPRO,Cy5-LEUKEMIA_K562B_REPRO,Cy3-pool of 12 lines
-,GSM35934,LEUKEMIA_K562,Cy5-LEUKEMIA_K562,Cy3-pool of 12 lines
-,GSM35935,LEUKEMIA_MOLT4,Cy5-LEUKEMIA_MOLT4,Cy3-pool of 12 lines
-,GSM35936,LEUKEMIA_RPMI_8226,Cy5-LEUKEMIA_RPMI_8226,Cy3-pool of 12 lines
-,GSM35937,LEUKEMIA_SR,Cy5-LEUKEMIA_SR,Cy3-pool of 12 lines
-,GSM35938,MELANOMA_LOXIMVI,Cy5-MELANOMA_LOXIMVI,Cy3-pool of 12 lines
-,GSM35939,MELANOMA_M14,Cy5-MELANOMA_M14,Cy3-pool of 12 lines
-,GSM35940,MELANOMA_MALME_3M,Cy5-MELANOMA_MALME_3M,Cy3-pool of 12 lines
-,GSM35941,MELANOMA_SK_MEL28,Cy5-MELANOMA_SK_MEL28,Cy3-pool of 12 lines
-,GSM35942,MELANOMA_SK_MEL2,Cy5-MELANOMA_SK_MEL2,Cy3-pool of 12 lines
-,GSM35943,MELANOMA_SK_MEL5,Cy5-MELANOMA_SK_MEL5,Cy3-pool of 12 lines
-,GSM35944,MELANOMA_UACC257,Cy5-MELANOMA_UACC257,Cy3-pool of 12 lines
-,GSM35945,MELANOMA_UACC62,Cy5-MELANOMA_UACC62,Cy3-pool of 12 lines
-,GSM35946,NSCLC_A549,Cy5-NSCLC_A549,Cy3-pool of 12 lines
-,GSM35947,NSCLC_EKVX,Cy5-NSCLC_EKVX,Cy3-pool of 12 lines
-,GSM35948,NSCLC_HOP62,Cy5-NSCLC_HOP62,Cy3-pool of 12 lines
-,GSM35949,NSCLC_HOP92,Cy5-NSCLC_HOP92,Cy3-pool of 12 lines
-,GSM35950,NSCLC_NCI_H226,Cy5-NSCLC_NCI_H226,Cy3-pool of 12 lines
-,GSM35951,NSCLC_NCI_H23,Cy5-NSCLC_NCI_H23,Cy3-pool of 12 lines
-,GSM35952,NSCLC_NCI_H322,Cy5-NSCLC_NCI_H322,Cy3-pool of 12 lines
-,GSM35953,NSCLC_NCI_H460,Cy5-NSCLC_NCI_H460,Cy3-pool of 12 lines
-,GSM35954,NSCLC_NCI_H522,Cy5-NSCLC_NCI_H522,Cy3-pool of 12 lines
-,GSM35955,OVARIAN_IGROV1,Cy5-OVARIAN_IGROV1,Cy3-pool of 12 lines
-,GSM35956,OVARIAN_OVCAR3,Cy5-OVARIAN_OVCAR3,Cy3-pool of 12 lines
-,GSM35957,OVARIAN_OVCAR4,Cy5-OVARIAN_OVCAR4,Cy3-pool of 12 lines
