# TITLE: Gene expression alterations in the cell lines Jurkat, THP1, and KHYG-1 upon treatment with glycodelin from non-small-cell lung cancer cell line supernatant
# SUMMARY: The function of glycodelin A in the endometrium, during the menstrual cycle, and before or during pregnancy is well characterized. Numerous studies have investigated the highly pleiotropic effects and the modulation of different leukocytes upon glycodelin interaction. In NSCLC, the function of glycodelin is not known, yet. While it was shown to be highly expressed in lung tumor tissue compared to normal lung, the functionality and possible immunomodulating characteristics remain to be described.
GPL570_Group,GPL570_Accession,GPL570_Title,GPL570_Source name,GPL570_Cell type,GPL570_Tissue,GPL570_Cell line,GPL570_Agent,GPL570_Time point
-,GSM6915207,Jurkat_Glycodelin_3h_1,cell line Jurkat,T cell leukemia,Peripheral blood,Jurkat,Glycodelin,3h
-,GSM6915208,Jurkat_Glycodelin_3h_2,cell line Jurkat,T cell leukemia,Peripheral blood,Jurkat,Glycodelin,3h
-,GSM6915209,Jurkat_Glycodelin_3h_3,cell line Jurkat,T cell leukemia,Peripheral blood,Jurkat,Glycodelin,3h
-,GSM6915210,Jurkat_Glycodelin_3h_4,cell line Jurkat,T cell leukemia,Peripheral blood,Jurkat,Glycodelin,3h
-,GSM6915211,Jurkat_noGlycodelin_3h_1,cell line Jurkat,T cell leukemia,Peripheral blood,Jurkat,none,3h
-,GSM6915212,Jurkat_noGlycodelin_3h_2,cell line Jurkat,T cell leukemia,Peripheral blood,Jurkat,none,3h
-,GSM6915213,Jurkat_noGlycodelin_3h_3,cell line Jurkat,T cell leukemia,Peripheral blood,Jurkat,none,3h
-,GSM6915214,Jurkat_noGlycodelin_3h_4,cell line Jurkat,T cell leukemia,Peripheral blood,Jurkat,none,3h
-,GSM6915215,Jurkat_Glycodelin_8h_1,cell line Jurkat,T cell leukemia,Peripheral blood,Jurkat,Glycodelin,8h
-,GSM6915216,Jurkat_Glycodelin_8h_2,cell line Jurkat,T cell leukemia,Peripheral blood,Jurkat,Glycodelin,8h
-,GSM6915217,Jurkat_Glycodelin_8h_3,cell line Jurkat,T cell leukemia,Peripheral blood,Jurkat,Glycodelin,8h
-,GSM6915218,Jurkat_Glycodelin_8h_4,cell line Jurkat,T cell leukemia,Peripheral blood,Jurkat,Glycodelin,8h
-,GSM6915219,Jurkat_noGlycodelin_8h_1,cell line Jurkat,T cell leukemia,Peripheral blood,Jurkat,none,8h
-,GSM6915220,Jurkat_noGlycodelin_8h_2,cell line Jurkat,T cell leukemia,Peripheral blood,Jurkat,none,8h
-,GSM6915221,Jurkat_noGlycodelin_8h_3,cell line Jurkat,T cell leukemia,Peripheral blood,Jurkat,none,8h
-,GSM6915222,Jurkat_noGlycodelin_8h_4,cell line Jurkat,T cell leukemia,Peripheral blood,Jurkat,none,8h
-,GSM6915223,Jurkat_Glycodelin_24h_1,cell line Jurkat,T cell leukemia,Peripheral blood,Jurkat,Glycodelin,24h
