# TITLE: Genome wide DNA methylation analysis in NSCLC
# SUMMARY: DNA methylation is an important mechanism for gene silencing in lung cancer. In this study we identified a large number of tumor specifically methylated genes in NSCLC patients by methylome profiling.
GPL11013_Group,GPL11013_Accession,GPL11013_Title,GPL11013_Source name 1,GPL11013_Source name 2,GPL11013_Tissue (Ch1),GPL11013_Sample type (Ch1),GPL11013_Antibody (Ch2),GPL11013_Antibody manufacturer (Ch2),GPL11013_Characteristics 2,GPL11013_Tissue (Ch2),GPL11013_Cell line (Ch1),GPL11013_Medip antibody (Ch2),GPL11013_Cell line (Ch2)
-,GSM603254,Normal1,Input Normal1,IP Normal1,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603255,Normal10,Input Normal10,IP Normal10,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603256,Normal100,Input Normal100,IP Normal100,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603257,Normal11,Input Normal11,IP Normal11,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603258,Normal12,Input Normal12,IP Normal12,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603259,Normal13,Input Normal13,IP Normal13,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603260,Normal14,Input Normal14,IP Normal14,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603261,Normal15,Input Normal15,IP Normal15,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603262,Normal16,Input Normal16,IP Normal16,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
-,GSM603263,Normal17,Input Normal17,IP Normal17,non-malignant lung tissue sample,input,Anti-5-methylcytidine,Eurogentech,antibody catalog #: BI-MECY-0100,non-malignant lung tissue sample,,,
