# TITLE: Expression data from TGFbeta-treated control or aPKC silenced A549 cells
# SUMMARY: Aberrant TGFbeta signalling is a hallmark of epithelial derived tumours. Signalling patterns can depend on the membrane trafficking and internalization of the TGFbeta receptors. Protein kinase C (PKC), particularly the atypical PKC isoforms, alter the trafficking of TGFbeta receptors and can alter TGFbeta induced gene expression. We used microarrays to detail the programme of gene expression underlying TGFbeta induction between control or aPKC silenced A549 cells.
GPL6244_Group,GPL6244_Accession,GPL6244_Title,GPL6244_Source name,GPL6244_Cell line,GPL6244_Transfection,GPL6244_Treatment,GPL6244_Time
-,GSM644066,"siControl, (-TGFbeta) biological replicate 1","Untreated, A549 cells transfected with control siRNA.",A549 human lung cancer cells from ATCC (ATCC number CCL-185),siControl,-TGFbeta,
-,GSM644067,siPKCiz (-TGFbeta) biological replicate 1,Untreated A549 cells transfected with siRNA directed at aPKC (PKCiota and PKCzeta).,A549 human lung cancer cells from ATCC (ATCC number CCL-185),siPKCiz,-TGFbeta,
-,GSM644068,"siControl, (+TGFbeta, 8 hours), biological replicate 1",A549 cells transfected with control siRNA and treated with TGFbeta. RNA isolated 8 hours after TGFbeta treatment.,A549 human lung cancer cells from ATCC (ATCC number CCL-185),siControl,+TGFbeta,8 hours
-,GSM644069,"siPKCiz (+TGFbeta, 8 hours), biological replicate 1",A549 cells transfected with  siRNA directed at aPKC (PKCiota and PKCzeta) and treated with TGFbeta. RNA isolated 8 hours after TGFbeta treatment.,A549 human lung cancer cells from ATCC (ATCC number CCL-185),siPKCiz,+TGFbeta,8 hours
-,GSM644070,"siControl, (+TGFbeta, 24 hours), biological replicate 1",A549 cells transfected with control siRNA and treated with TGFbeta. RNA isolated 24 hours after TGFbeta treatment.,A549 human lung cancer cells from ATCC (ATCC number CCL-185),siControl,+TGFbeta,24 hours
-,GSM644071,"siPKCiz (+TGFbeta, 24 hours) biological replicate 1",A549 cells transfected with  siRNA directed at aPKC (PKCiota and PKCzeta) and treated with TGFbeta. RNA isolated 24 hours after TGFbeta treatment.,A549 human lung cancer cells from ATCC (ATCC number CCL-185),siPKCiz,+TGFbeta,24 hours
-,GSM644072,"siControl, (-TGFbeta) biological replicate 2","Untreated, A549 cells transfected with control siRNA.",A549 human lung cancer cells from ATCC (ATCC number CCL-185),siControl,-TGFbeta,
-,GSM644073,siPKCiz (-TGFbeta) biological replicate 2,Untreated A549 cells transfected with siRNA directed at aPKC (PKCiota and PKCzeta).,A549 human lung cancer cells from ATCC (ATCC number CCL-185),siPKCiz,-TGFbeta,
-,GSM644074,"siControl, (+TGFbeta, 8 hours), biological replicate 2",A549 cells transfected with control siRNA and treated with TGFbeta. RNA isolated 8 hours after TGFbeta treatment.,A549 human lung cancer cells from ATCC (ATCC number CCL-185),siControl,+TGFbeta,8 hours
-,GSM644075,"siPKCiz (+TGFbeta, 8 hours), biological replicate 2",A549 cells transfected with  siRNA directed at aPKC (PKCiota and PKCzeta) and treated with TGFbeta. RNA isolated 8 hours after TGFbeta treatment.,A549 human lung cancer cells from ATCC (ATCC number CCL-185),siPKCiz,+TGFbeta,8 hours
-,GSM644076,"siControl, (+TGFbeta, 24 hours), biological replicate 2",A549 cells transfected with control siRNA and treated with TGFbeta. RNA isolated 24 hours after TGFbeta treatment.,A549 human lung cancer cells from ATCC (ATCC number CCL-185),siControl,+TGFbeta,24 hours
-,GSM644077,"siPKCiz (+TGFbeta, 24 hours) biological replicate 2",A549 cells transfected with  siRNA directed at aPKC (PKCiota and PKCzeta) and treated with TGFbeta. RNA isolated 24 hours after TGFbeta treatment.,A549 human lung cancer cells from ATCC (ATCC number CCL-185),siPKCiz,+TGFbeta,24 hours
-,GSM644078,"siControl, (-TGFbeta) biological replicate 3","Untreated, A549 cells transfected with control siRNA.",A549 human lung cancer cells from ATCC (ATCC number CCL-185),siControl,-TGFbeta,
-,GSM644079,siPKCiz (-TGFbeta) biological replicate 3,Untreated A549 cells transfected with siRNA directed at aPKC (PKCiota and PKCzeta).,A549 human lung cancer cells from ATCC (ATCC number CCL-185),siPKCiz,-TGFbeta,
-,GSM644080,"siControl, (+TGFbeta, 8 hours), biological replicate 3",A549 cells transfected with control siRNA and treated with TGFbeta. RNA isolated 8 hours after TGFbeta treatment.,A549 human lung cancer cells from ATCC (ATCC number CCL-185),siControl,+TGFbeta,8 hours
-,GSM644081,"siPKCiz (+TGFbeta, 8 hours), biological replicate 3",A549 cells transfected with  siRNA directed at aPKC (PKCiota and PKCzeta) and treated with TGFbeta. RNA isolated 8 hours after TGFbeta treatment.,A549 human lung cancer cells from ATCC (ATCC number CCL-185),siPKCiz,+TGFbeta,8 hours
-,GSM644082,"siControl, (+TGFbeta, 24 hours), biological replicate 3",A549 cells transfected with control siRNA and treated with TGFbeta. RNA isolated 24 hours after TGFbeta treatment.,A549 human lung cancer cells from ATCC (ATCC number CCL-185),siControl,+TGFbeta,24 hours
-,GSM644083,"siPKCiz (+TGFbeta, 24 hours) biological replicate 3",A549 cells transfected with  siRNA directed at aPKC (PKCiota and PKCzeta) and treated with TGFbeta. RNA isolated 24 hours after TGFbeta treatment.,A549 human lung cancer cells from ATCC (ATCC number CCL-185),siPKCiz,+TGFbeta,24 hours
