# TITLE: DNA copy number profiles of NSCLC tumors
# SUMMARY: Whole genome tiling path array CGH was used to measure the copy number profiles of 271 NSCLC tumors
GPL14360_Group,GPL14360_Accession,GPL14360_Title,GPL14360_Source name 1,GPL14360_Source name 2,GPL14360_Tissue (Ch1),GPL14360_Subtype (Ch1),GPL14360_Reference (Ch2)
-,GSM788655,AC_1_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788656,AC_2_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788657,AC_3_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788658,AC_4_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788659,AC_5_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788660,AC_6_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788661,AC_7_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788662,AC_8_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788663,AC_9_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788664,AC_10_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788665,AC_11_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788666,AC_12_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788667,AC_13_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788668,AC_14_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788669,AC_15_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788670,AC_16_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788671,AC_17_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788672,AC_18_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788673,AC_19_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788674,AC_20_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788675,AC_21_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788676,AC_22_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788677,AC_23_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788678,AC_24_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788679,AC_25_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788680,AC_26_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788681,AC_27_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788682,AC_28_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788683,AC_29_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788684,AC_30_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788685,AC_31_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788686,AC_32_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788687,AC_33_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788688,AC_34_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788689,AC_35_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788690,AC_36_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788691,AC_37_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788692,AC_38_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788693,AC_39_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788694,AC_40_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788695,AC_41_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788696,AC_42_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788697,AC_43_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788698,AC_44_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788699,AC_45_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788700,AC_46_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788701,AC_47_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788702,AC_48_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788703,AC_49_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788704,AC_50_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788705,AC_51_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788706,AC_52_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788707,AC_53_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788708,AC_54_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788709,AC_55_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788710,AC_56_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788711,AC_57_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788712,AC_58_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788713,AC_59_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788714,AC_60_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
-,GSM788715,AC_61_CGH,Microdissected lung tumor,Normal male (blood DNA),Lung tumor,Adenocarcinoma,Normal male (blood DNA)
