# TITLE: Tobacco smoke exposure-related pathway gene expression signature in the bronchial airway epithelium
# SUMMARY: Using primary human bronchial epithelial cells collected at bronchoscopy, we have perturbed signaling pathways important in regulation of response to tobacco smoke exposure and cancer development: ATM, BCL2, GPX1, NOS2, IKBKB, and SIRT1 Using gene expression profiles generated for each pathway and four independent gene expression datasets, we show that SIRT1 activity is significantly up-regulated in cytologically normal airway epithelial cells from active smokers compared to non-smokers; and in contrast, this activity is strikingly down-regulated in non-small cell lung cancer.
GPL10200_Group,GPL10200_Accession,GPL10200_Title,GPL10200_Source name,GPL10200_Cell type,GPL10200_Pathway,GPL10200_Batch,GPL10200_Included in analysis
-,GSM909489,"Airway epithelial cells infected with ATM, biological replicate 1","Airway epithelial cells infected with ATM, biological replicate 1",Primary bronchial epithelial cells from 3 never smokers,ATM,1,Yes
-,GSM909490,"Airway epithelial cells infected with ATM, biological replicate 2","Airway epithelial cells infected with ATM, biological replicate 2",Primary bronchial epithelial cells from 3 never smokers,ATM,1,Yes
-,GSM909491,"Airway epithelial cells infected with ATM, biological replicate 3","Airway epithelial cells infected with ATM, biological replicate 3",Primary bronchial epithelial cells from 3 never smokers,ATM,2,Yes
-,GSM909492,"Airway epithelial cells infected with ATM, biological replicate 4","Airway epithelial cells infected with ATM, biological replicate 4",Primary bronchial epithelial cells from 3 never smokers,ATM,4,Yes
-,GSM909493,"Airway epithelial cells infected with ATM, biological replicate 5","Airway epithelial cells infected with ATM, biological replicate 5",Primary bronchial epithelial cells from 3 never smokers,ATM,3,No
-,GSM909494,"Airway epithelial cells infected with ATM, biological replicate 6","Airway epithelial cells infected with ATM, biological replicate 6",Primary bronchial epithelial cells from 3 never smokers,ATM,3,No
-,GSM909495,"Airway epithelial cells infected with ATM, biological replicate 7","Airway epithelial cells infected with ATM, biological replicate 7",Primary bronchial epithelial cells from 3 never smokers,ATM,4,Yes
-,GSM909496,"Airway epithelial cells infected with BCL2, biological replicate 1","Airway epithelial cells infected with BCL2, biological replicate 1",Primary bronchial epithelial cells from 3 never smokers,BCL2,1,Yes
-,GSM909497,"Airway epithelial cells infected with BCL2, biological replicate 2","Airway epithelial cells infected with BCL2, biological replicate 2",Primary bronchial epithelial cells from 3 never smokers,BCL2,2,Yes
-,GSM909498,"Airway epithelial cells infected with BCL2, biological replicate 3","Airway epithelial cells infected with BCL2, biological replicate 3",Primary bronchial epithelial cells from 3 never smokers,BCL2,3,No
-,GSM909499,"Airway epithelial cells infected with BCL2, biological replicate 4","Airway epithelial cells infected with BCL2, biological replicate 4",Primary bronchial epithelial cells from 3 never smokers,BCL2,3,No
-,GSM909500,"Airway epithelial cells infected with BCL2, biological replicate 5","Airway epithelial cells infected with BCL2, biological replicate 5",Primary bronchial epithelial cells from 3 never smokers,BCL2,4,Yes
-,GSM909501,"Airway epithelial cells infected with BCL2, biological replicate 6","Airway epithelial cells infected with BCL2, biological replicate 6",Primary bronchial epithelial cells from 3 never smokers,BCL2,4,Yes
-,GSM909502,"Airway epithelial cells infected with BCL2, biological replicate 7","Airway epithelial cells infected with BCL2, biological replicate 7",Primary bronchial epithelial cells from 3 never smokers,BCL2,4,Yes
-,GSM909503,"Airway epithelial cells infected with BCL2, biological replicate 8","Airway epithelial cells infected with BCL2, biological replicate 8",Primary bronchial epithelial cells from 3 never smokers,BCL2,4,Yes
-,GSM909504,"Airway epithelial cells infected with GFP, biological replicate 1","Airway epithelial cells infected with GFP, biological replicate 1",Primary bronchial epithelial cells from 3 never smokers,GFP,1,Yes
-,GSM909505,"Airway epithelial cells infected with GFP, biological replicate 2","Airway epithelial cells infected with GFP, biological replicate 2",Primary bronchial epithelial cells from 3 never smokers,GFP,2,Yes
-,GSM909506,"Airway epithelial cells infected with GFP, biological replicate 3","Airway epithelial cells infected with GFP, biological replicate 3",Primary bronchial epithelial cells from 3 never smokers,GFP,1,Yes
-,GSM909507,"Airway epithelial cells infected with GFP, biological replicate 4","Airway epithelial cells infected with GFP, biological replicate 4",Primary bronchial epithelial cells from 3 never smokers,GFP,2,Yes
-,GSM909508,"Airway epithelial cells infected with GFP, biological replicate 5","Airway epithelial cells infected with GFP, biological replicate 5",Primary bronchial epithelial cells from 3 never smokers,GFP,3,No
-,GSM909509,"Airway epithelial cells infected with GFP, biological replicate 6","Airway epithelial cells infected with GFP, biological replicate 6",Primary bronchial epithelial cells from 3 never smokers,GFP,3,No
-,GSM909510,"Airway epithelial cells infected with GFP, biological replicate 7","Airway epithelial cells infected with GFP, biological replicate 7",Primary bronchial epithelial cells from 3 never smokers,GFP,4,Yes
-,GSM909511,"Airway epithelial cells infected with GFP, biological replicate 8","Airway epithelial cells infected with GFP, biological replicate 8",Primary bronchial epithelial cells from 3 never smokers,GFP,4,Yes
-,GSM909512,"Airway epithelial cells infected with GPX1, biological replicate 1","Airway epithelial cells infected with GPX1, biological replicate 1",Primary bronchial epithelial cells from 3 never smokers,GPX1,1,Yes
-,GSM909513,"Airway epithelial cells infected with GPX1, biological replicate 2","Airway epithelial cells infected with GPX1, biological replicate 2",Primary bronchial epithelial cells from 3 never smokers,GPX1,1,Yes
-,GSM909514,"Airway epithelial cells infected with GPX1, biological replicate 3","Airway epithelial cells infected with GPX1, biological replicate 3",Primary bronchial epithelial cells from 3 never smokers,GPX1,2,Yes
-,GSM909515,"Airway epithelial cells infected with GPX1, biological replicate 4","Airway epithelial cells infected with GPX1, biological replicate 4",Primary bronchial epithelial cells from 3 never smokers,GPX1,2,Yes
-,GSM909516,"Airway epithelial cells infected with GPX1, biological replicate 5","Airway epithelial cells infected with GPX1, biological replicate 5",Primary bronchial epithelial cells from 3 never smokers,GPX1,3,No
-,GSM909517,"Airway epithelial cells infected with GPX1, biological replicate 6","Airway epithelial cells infected with GPX1, biological replicate 6",Primary bronchial epithelial cells from 3 never smokers,GPX1,3,No
-,GSM909518,"Airway epithelial cells infected with GPX1, biological replicate 7","Airway epithelial cells infected with GPX1, biological replicate 7",Primary bronchial epithelial cells from 3 never smokers,GPX1,4,Yes
-,GSM909519,"Airway epithelial cells infected with GPX1, biological replicate 8","Airway epithelial cells infected with GPX1, biological replicate 8",Primary bronchial epithelial cells from 3 never smokers,GPX1,4,Yes
-,GSM909520,"Airway epithelial cells infected with IKBKB, biological replicate 1","Airway epithelial cells infected with IKBKB, biological replicate 1",Primary bronchial epithelial cells from 3 never smokers,IKBKB,1,Yes
-,GSM909521,"Airway epithelial cells infected with IKBKB, biological replicate 2","Airway epithelial cells infected with IKBKB, biological replicate 2",Primary bronchial epithelial cells from 3 never smokers,IKBKB,1,Yes
-,GSM909522,"Airway epithelial cells infected with IKBKB, biological replicate 3","Airway epithelial cells infected with IKBKB, biological replicate 3",Primary bronchial epithelial cells from 3 never smokers,IKBKB,2,Yes
-,GSM909523,"Airway epithelial cells infected with IKBKB, biological replicate 4","Airway epithelial cells infected with IKBKB, biological replicate 4",Primary bronchial epithelial cells from 3 never smokers,IKBKB,3,No
-,GSM909524,"Airway epithelial cells infected with IKBKB, biological replicate 5","Airway epithelial cells infected with IKBKB, biological replicate 5",Primary bronchial epithelial cells from 3 never smokers,IKBKB,4,Yes
-,GSM909525,"Airway epithelial cells infected with IKBKB, biological replicate 6","Airway epithelial cells infected with IKBKB, biological replicate 6",Primary bronchial epithelial cells from 3 never smokers,IKBKB,4,Yes
-,GSM909526,"Airway epithelial cells infected with IKBKB, biological replicate 7","Airway epithelial cells infected with IKBKB, biological replicate 7",Primary bronchial epithelial cells from 3 never smokers,IKBKB,2,Yes
-,GSM909527,"Airway epithelial cells infected with NOS2, biological replicate 1","Airway epithelial cells infected with NOS2, biological replicate 1",Primary bronchial epithelial cells from 3 never smokers,NOS2,1,Yes
-,GSM909528,"Airway epithelial cells infected with NOS2, biological replicate 2","Airway epithelial cells infected with NOS2, biological replicate 2",Primary bronchial epithelial cells from 3 never smokers,NOS2,4,Yes
-,GSM909529,"Airway epithelial cells infected with NOS2, biological replicate 3","Airway epithelial cells infected with NOS2, biological replicate 3",Primary bronchial epithelial cells from 3 never smokers,NOS2,2,Yes
-,GSM909530,"Airway epithelial cells infected with NOS2, biological replicate 4","Airway epithelial cells infected with NOS2, biological replicate 4",Primary bronchial epithelial cells from 3 never smokers,NOS2,2,Yes
-,GSM909531,"Airway epithelial cells infected with NOS2, biological replicate 5","Airway epithelial cells infected with NOS2, biological replicate 5",Primary bronchial epithelial cells from 3 never smokers,NOS2,3,No
-,GSM909532,"Airway epithelial cells infected with NOS2, biological replicate 6","Airway epithelial cells infected with NOS2, biological replicate 6",Primary bronchial epithelial cells from 3 never smokers,NOS2,3,No
