# TITLE: Baseline NSCLC cell lines compared to a reference mix consisting of 45 NSCLC cell lines
# SUMMARY: 34 NSCLC cell lines were transcriptionally profiled against a reference mix of 45 NSCLC cell lines to look subtype specific differential gene expression
GPL7264_Group,GPL7264_Accession,GPL7264_Title,GPL7264_Source name 1,GPL7264_Source name 2,GPL7264_Cell line (Ch1),GPL7264_Tissue (Ch1),GPL7264_Reference (Ch2),GPL7264_Tissue (Ch2)
-,GSM1065560,H2073,H2073,in-house reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),H2073,non-small cell lung cancer (NSCLC),reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),non-small cell lung cancer (NSCLC)
-,GSM1065561,H1385,H1385,in-house reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),H1385,non-small cell lung cancer (NSCLC),reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),non-small cell lung cancer (NSCLC)
-,GSM1065562,H1836,H1836,in-house reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),H1836,non-small cell lung cancer (NSCLC),reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),non-small cell lung cancer (NSCLC)
-,GSM1065563,H1975,H1975,in-house reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),H1975,non-small cell lung cancer (NSCLC),reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),non-small cell lung cancer (NSCLC)
-,GSM1065564,H1155,H1155,in-house reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),H1155,non-small cell lung cancer (NSCLC),reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),non-small cell lung cancer (NSCLC)
-,GSM1065565,H1563,H1563,in-house reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),H1563,non-small cell lung cancer (NSCLC),reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),non-small cell lung cancer (NSCLC)
-,GSM1065566,H2135,H2135,in-house reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),H2135,non-small cell lung cancer (NSCLC),reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),non-small cell lung cancer (NSCLC)
-,GSM1065567,H1793,H1793,in-house reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),H1793,non-small cell lung cancer (NSCLC),reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),non-small cell lung cancer (NSCLC)
-,GSM1065568,H522,H522,in-house reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),H522,non-small cell lung cancer (NSCLC),reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),non-small cell lung cancer (NSCLC)
-,GSM1065569,Calu-6,Calu-6,in-house reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),Calu-6,non-small cell lung cancer (NSCLC),reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),non-small cell lung cancer (NSCLC)
-,GSM1065570,H358,H358,in-house reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),H358,non-small cell lung cancer (NSCLC),reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),non-small cell lung cancer (NSCLC)
-,GSM1065571,A549,A549,in-house reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),A549,non-small cell lung cancer (NSCLC),reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),non-small cell lung cancer (NSCLC)
-,GSM1065572,H596,H596,in-house reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),H596,non-small cell lung cancer (NSCLC),reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),non-small cell lung cancer (NSCLC)
-,GSM1065573,SHP77,SHP77,in-house reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),SHP77,non-small cell lung cancer (NSCLC),reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),non-small cell lung cancer (NSCLC)
-,GSM1065574,H2110,H2110,in-house reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),H2110,non-small cell lung cancer (NSCLC),reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),non-small cell lung cancer (NSCLC)
-,GSM1065575,H1299,H1299,in-house reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),H1299,non-small cell lung cancer (NSCLC),reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),non-small cell lung cancer (NSCLC)
-,GSM1065576,H1944,H1944,in-house reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),H1944,non-small cell lung cancer (NSCLC),reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),non-small cell lung cancer (NSCLC)
-,GSM1065577,H460,H460,in-house reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),H460,non-small cell lung cancer (NSCLC),reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),non-small cell lung cancer (NSCLC)
-,GSM1065578,H1568,H1568,in-house reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),H1568,non-small cell lung cancer (NSCLC),reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),non-small cell lung cancer (NSCLC)
-,GSM1065579,A427,A427,in-house reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),A427,non-small cell lung cancer (NSCLC),reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),non-small cell lung cancer (NSCLC)
-,GSM1065580,H2172,H2172,in-house reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),H2172,non-small cell lung cancer (NSCLC),reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),non-small cell lung cancer (NSCLC)
-,GSM1065581,H2342,H2342,in-house reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),H2342,non-small cell lung cancer (NSCLC),reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),non-small cell lung cancer (NSCLC)
-,GSM1065582,H520,H520,in-house reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),H520,non-small cell lung cancer (NSCLC),reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),non-small cell lung cancer (NSCLC)
-,GSM1065583,Calu-3,Calu-3,in-house reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),Calu-3,non-small cell lung cancer (NSCLC),reference mix (consisting of equal amounts of RNA from 45 NSCLC cell lines),non-small cell lung cancer (NSCLC)
