# TITLE: Flexible multiplatform RNA profiling at the single cell level applied to enriched cancer initiating cells
# SUMMARY: This SuperSeries is composed of the SubSeries listed below.
GPL17989_Group,GPL17989_Accession,GPL17989_Title,GPL17989_Source name,GPL17989_Cell line,GPL570_Group,GPL570_Accession,GPL570_Title,GPL570_Source name,GPL570_Cell line,GPL570_Sample type,GPL16288_Group,GPL16288_Accession,GPL16288_Title,GPL16288_Source name,GPL16288_Tissue,GPL16288_Cell type,GPL16288_Cell line
-,GSM1274506,MCF7_PCR_1μg_R1,MCF7 cells,MCF7,-,GSM1274482,MCF7_1ng_R1,MCF7 cells,MCF7,Amplified cDNA from 1ng RNA,-,GSM1274528,TT1,patient-derived non-small cell lung cancer xenograft total tumour,patient-derived non-small cell lung cancer xenograft total tumour,,
-,GSM1274507,MCF7_PCR_1μg_R2,MCF7 cells,MCF7,-,GSM1274483,MCF7_1ng_R2,MCF7 cells,MCF7,Amplified cDNA from 1ng RNA,-,GSM1274529,TT2,patient-derived non-small cell lung cancer xenograft total tumour,patient-derived non-small cell lung cancer xenograft total tumour,,
-,GSM1274508,MCF7_PCR_1μg_R3,MCF7 cells,MCF7,-,GSM1274484,MCF7_1ng_R3,MCF7 cells,MCF7,Amplified cDNA from 1ng RNA,-,GSM1274530,TT3,patient-derived non-small cell lung cancer xenograft total tumour,patient-derived non-small cell lung cancer xenograft total tumour,,
-,GSM1274509,MCF10A_PCR_1μg_R1,MCF10A cells,MCF10A,-,GSM1274485,MCF7_1ng_R4,MCF7 cells,MCF7,Amplified cDNA from 1ng RNA,-,GSM1274531,TT4,patient-derived non-small cell lung cancer xenograft total tumour,patient-derived non-small cell lung cancer xenograft total tumour,,
-,GSM1274510,MCF10A_PCR_1μg_R2,MCF10A cells,MCF10A,-,GSM1274486,MCF7_1ng_R5,MCF7 cells,MCF7,Amplified cDNA from 1ng RNA,-,GSM1274532,MCIC1,patient-derived non-small cell lung cancer xenograft metastasis associated cancer initiating cells,,patient-derived non-small cell lung cancer xenograft metastasis associated cancer initiating cells,
-,GSM1274511,MCF10A_PCR_1μg_R3,MCF10A cells,MCF10A,-,GSM1274487,MCF10A_1ng_R1,MCF10A cells,MCF10A,Amplified cDNA from 1ng RNA,-,GSM1274533,MCIC2,patient-derived non-small cell lung cancer xenograft metastasis associated cancer initiating cells,,patient-derived non-small cell lung cancer xenograft metastasis associated cancer initiating cells,
-,GSM1274512,MCF7_PCR_1ng_R1,MCF7 cells,MCF7,-,GSM1274488,MCF10A_1ng_R2,MCF10A cells,MCF10A,Amplified cDNA from 1ng RNA,-,GSM1274534,MCIC3,patient-derived non-small cell lung cancer xenograft metastasis associated cancer initiating cells,,patient-derived non-small cell lung cancer xenograft metastasis associated cancer initiating cells,
-,GSM1274513,MCF7_PCR_1ng_R2,MCF7 cells,MCF7,-,GSM1274489,MCF10A_1ng_R3,MCF10A cells,MCF10A,Amplified cDNA from 1ng RNA,-,GSM1274535,MCIC4,patient-derived non-small cell lung cancer xenograft metastasis associated cancer initiating cells,,patient-derived non-small cell lung cancer xenograft metastasis associated cancer initiating cells,
-,GSM1274514,MCF7_PCR_1ng_R3,MCF7 cells,MCF7,-,GSM1274490,MCF10A_1ng_R4,MCF10A cells,MCF10A,Amplified cDNA from 1ng RNA,-,GSM1274536,RCIC1,patient-derived non-small cell lung cancer xenograft resident cancer initiating cells,,patient-derived non-small cell lung cancer xenograft resident cancer initiating cells,
-,GSM1274515,MCF10A_PCR_1ng_R1,MCF10A cells,MCF10A,-,GSM1274491,MCF10A_1ng_R5,MCF10A cells,MCF10A,Amplified cDNA from 1ng RNA,-,GSM1274537,RCIC2,patient-derived non-small cell lung cancer xenograft resident cancer initiating cells,,patient-derived non-small cell lung cancer xenograft resident cancer initiating cells,
