# TITLE: Gene expression profiling classifies lung squamous cell carcinomas with N1 positive lymph nodes
# SUMMARY: Using gene expression microarrays, we tested whether lung SCCs that have metastasised to loco-regional lymph nodes (N1/2m) are different to those that directly invade and involve local nodes (N1d). Using 22,323 element microarrays, a non-parametric test identified 126 genes/transcripts that discriminated between N0 (n=35) and N1/2m (n=16) tumours (Wilcoxon-Mann-Whitney U test, P<0.01). Hiearchical clustering of all 59 tumours (including 8 N1d tumours) demonstrated the N1d tumours clustered with the N0 tumours rather than the N1/2m tumours. Next, we built class prediction models from the 35 N0 tumours and 16 N1/2m tumours to predict the class of N1d tumours. All models consistently classified N1d tumours as similar to N0 tumours. This could explain some of the variable response of some N1 tumours to adjuvant chemotherapy, and suggest refinement of the TNM "N" stage nomenclature to adjust for this biological observation to ensure appropriate patients benefit from treatment. Keywords: non-small cell lung carcinoma, squamous cell, nodal metastasis, TNM staging, expression profiling
GPL3877_Group,GPL3877_Accession,GPL3877_Title,GPL3877_Source name 1,GPL3877_Source name 2,GPL3877_Characteristics 1,GPL3877_Characteristics 2
-,GSM115459,Primary Lung SCC Carcinoma Sample_N1,Universal Reference RNA,Tumour sample N1,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
-,GSM115460,Primary Lung SCC Carcinoma Sample_N2,Universal Reference RNA,Tumour sample N2,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
-,GSM115461,Primary Lung SCC Carcinoma Sample_N3,Universal Reference RNA,Tumour sample N3,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
-,GSM115462,Primary Lung SCC Carcinoma Sample_N4,Universal Reference RNA,Tumour sample N4,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
-,GSM115463,Primary Lung SCC Carcinoma Sample_N5,Universal Reference RNA,Tumour sample N5,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
-,GSM115464,Primary Lung SCC Carcinoma Sample_N6,Universal Reference RNA,Tumour sample N6,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
-,GSM115465,Primary Lung SCC Carcinoma Sample_N7,Universal Reference RNA,Tumour sample N7,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
-,GSM115466,Primary Lung SCC Carcinoma Sample_N8,Universal Reference RNA,Tumour sample N8,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
-,GSM115467,Primary Lung SCC Carcinoma Sample_N9,Universal Reference RNA,Tumour sample N9,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
-,GSM115468,Primary Lung SCC Carcinoma Sample_N10,Universal Reference RNA,Tumour sample N10,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
-,GSM115469,Primary Lung SCC Carcinoma Sample_N11,Universal Reference RNA,Tumour sample N11,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
-,GSM115470,Primary Lung SCC Carcinoma Sample_N12,Universal Reference RNA,Tumour sample N12,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
-,GSM115471,Primary Lung SCC Carcinoma Sample_N13,Universal Reference RNA,Tumour sample N13,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
-,GSM115472,Primary Lung SCC Carcinoma Sample_N14,Universal Reference RNA,Tumour sample N14,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
-,GSM115473,Primary Lung SCC Carcinoma Sample_N15,Universal Reference RNA,Tumour sample N15,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
-,GSM115474,Primary Lung SCC Carcinoma Sample_N16,Universal Reference RNA,Tumour sample N16,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
-,GSM115475,Primary Lung SCC Carcinoma Sample_N17,Universal Reference RNA,Tumour sample N17,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
-,GSM115476,Primary Lung SCC Carcinoma Sample_N18,Universal Reference RNA,Tumour sample N18,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
-,GSM115477,Primary Lung SCC Carcinoma Sample_N19,Universal Reference RNA,Tumour sample N19,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
-,GSM115478,Primary Lung SCC Carcinoma Sample_N20,Universal Reference RNA,Tumour sample N20,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
-,GSM115479,Primary Lung SCC Carcinoma Sample_N21,Universal Reference RNA,Tumour sample N21,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
-,GSM115480,Primary Lung SCC Carcinoma Sample_N22,Universal Reference RNA,Tumour sample N22,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
-,GSM115481,Primary Lung SCC Carcinoma Sample_N23,Universal Reference RNA,Tumour sample N23,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
-,GSM115482,Primary Lung SCC Carcinoma Sample_N24,Universal Reference RNA,Tumour sample N24,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
-,GSM115483,Primary Lung SCC Carcinoma Sample_N25,Universal Reference RNA,Tumour sample N25,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
-,GSM115484,Primary Lung SCC Carcinoma Sample_N26,Universal Reference RNA,Tumour sample N26,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
-,GSM115485,Primary Lung SCC Carcinoma Sample_N27,Universal Reference RNA,Tumour sample N27,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
-,GSM115486,Primary Lung SCC Carcinoma Sample_N28,Universal Reference RNA,Tumour sample N28,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
-,GSM115487,Primary Lung SCC Carcinoma Sample_N29,Universal Reference RNA,Tumour sample N29,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
-,GSM115488,Primary Lung SCC Carcinoma Sample_N30,Universal Reference RNA,Tumour sample N30,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
-,GSM115489,Primary Lung SCC Carcinoma Sample_N31,Universal Reference RNA,Tumour sample N31,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
-,GSM115490,Primary Lung SCC Carcinoma Sample_N32,Universal Reference RNA,Tumour sample N32,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
-,GSM115491,Primary Lung SCC Carcinoma Sample_R1,Universal Reference RNA,Tumour sample R1,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
-,GSM115492,Primary Lung SCC Carcinoma Sample_R2,Universal Reference RNA,Tumour sample R2,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
-,GSM115493,Primary Lung SCC Carcinoma Sample_R3,Universal Reference RNA,Tumour sample R3,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
-,GSM115494,Primary Lung SCC Carcinoma Sample_R4,Universal Reference RNA,Tumour sample R4,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
-,GSM115495,Primary Lung SCC Carcinoma Sample_R5,Universal Reference RNA,Tumour sample R5,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
-,GSM115496,Primary Lung SCC Carcinoma Sample_R6,Universal Reference RNA,Tumour sample R6,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
-,GSM115497,Primary Lung SCC Carcinoma Sample_R7,Universal Reference RNA,Tumour sample R7,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
-,GSM115498,Primary Lung SCC Carcinoma Sample_R8,Universal Reference RNA,Tumour sample R8,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
-,GSM115499,Primary Lung SCC Carcinoma Sample_R9,Universal Reference RNA,Tumour sample R9,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
-,GSM115500,Primary Lung SCC Carcinoma Sample_R10,Universal Reference RNA,Tumour sample R10,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
-,GSM115501,Primary Lung SCC Carcinoma Sample_R11,Universal Reference RNA,Tumour sample R11,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
-,GSM115502,Primary Lung SCC Carcinoma Sample_R12,Universal Reference RNA,Tumour sample R12,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
-,GSM115503,Primary Lung SCC Carcinoma Sample_R13,Universal Reference RNA,Tumour sample R13,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
-,GSM115504,Primary Lung SCC Carcinoma Sample_R14,Universal Reference RNA,Tumour sample R14,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
-,GSM115505,Primary Lung SCC Carcinoma Sample_R15,Universal Reference RNA,Tumour sample R15,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
-,GSM115506,Primary Lung SCC Carcinoma Sample_R16,Universal Reference RNA,Tumour sample R16,The reference sample used for this experiment was commercially available Universal Reference RNA (Stratagene),Primary SCC carcinoma of the lung. Total RNA extracted from fresh-frozen tissue using Trizol and RNeasy clean-up.
