# TITLE: Gene expression profiling of Calu-6 lung cancer cells transfected with scrambled siRNA and LAPTM4B-specific siRNA
# SUMMARY: We recently characterized the adjacent airway field of cancerization in NSCLC by whole transcriptome expression analysis and demonstrated that lysosomal protein transmembrane 4 beta (LAPTM4B) was an elevated field cancerization marker in NSCLCs and in adjacent but not in distant normal-appearing airways. We also found that LAPTM4B was up-regulated in NSCLCs compared to normal lung and promoted anchorage-dependent growth of lung cancer cells. Previous reports suggested that LAPTM4B is activated following metabolic and genotixc stress. The precise role of LAPTM4B in lung cancer cell survival and NSCLC pathogenesis is still elusive.
GPL6244_Group,GPL6244_Accession,GPL6244_Title,GPL6244_Source name,GPL6244_Cell line,GPL6244_Type of sirna,GPL6244_Replicate,GPL6244_Serum level in cell culture medium following transfection
-,GSM1626103,Serum starved Calu-6 cells transfected with scrambled siRNA 1,Calu-6 lung cancer cells,Calu-6,control scrambled siRNA,Biological replicate 1,0% FBS
-,GSM1626104,Serum starved Calu-6 cells transfected with scrambled siRNA 2,Calu-6 lung cancer cells,Calu-6,control scrambled siRNA,Biological replicate 2,0% FBS
-,GSM1626105,Serum starved Calu-6 cells transfected with scrambled siRNA 3,Calu-6 lung cancer cells,Calu-6,control scrambled siRNA,Biological replicate 3,0% FBS
-,GSM1626106,Serum starved Calu-6 cells transfected with LAPTM4B-specific  siRNA 1,Calu-6 lung cancer cells,Calu-6,siRNA against LAPTM4B,Biological replicate 1,0% FBS
-,GSM1626107,Serum starved Calu-6 cells transfected with LAPTM4B-specific  siRNA 2,Calu-6 lung cancer cells,Calu-6,siRNA against LAPTM4B,Biological replicate 2,0% FBS
-,GSM1626108,Serum starved Calu-6 cells transfected with LAPTM4B-specific  siRNA 3,Calu-6 lung cancer cells,Calu-6,siRNA against LAPTM4B,Biological replicate 3,0% FBS
-,GSM1626109,Calu-6 cells transfected with scrambled siRNA 1,Calu-6 lung cancer cells,Calu-6,control scrambled siRNA,Biological replicate 1,10% FBS
-,GSM1626110,Calu-6 cells transfected with scrambled siRNA 2,Calu-6 lung cancer cells,Calu-6,control scrambled siRNA,Biological replicate 2,10% FBS
-,GSM1626111,Calu-6 cells transfected with scrambled siRNA 3,Calu-6 lung cancer cells,Calu-6,control scrambled siRNA,Biological replicate 3,10% FBS
-,GSM1626112,Calu-6 cells transfected with LAPTM4B-specific  siRNA 1,Calu-6 lung cancer cells,Calu-6,siRNA against LAPTM4B,Biological replicate 1,10% FBS
-,GSM1626113,Calu-6 cells transfected with LAPTM4B-specific  siRNA 2,Calu-6 lung cancer cells,Calu-6,siRNA against LAPTM4B,Biological replicate 2,10% FBS
-,GSM1626114,Calu-6 cells transfected with LAPTM4B-specific  siRNA 3,Calu-6 lung cancer cells,Calu-6,siRNA against LAPTM4B,Biological replicate 3,10% FBS
