# TITLE: Targeting Taxane-Platin Resistant Lung Cancers with JumonjiC Lysine Demethylase Inhibitors
# SUMMARY: While taxane-platin standard chemotherapy provides benefit in advanced and localized non-small cell lung cancer (NSCLC), the majority of patients relapse with drug resistant tumors. Mechanisms underlying NSCLC resistance to this standard doublet chemotherapy are still not fully understood, and treatment options for chemoresistant lung tumors are limited. The goals of this work were to establish new preclinical NSCLC models of resistance to taxane-platin doublet chemotherapy, identify mechanisms of resistance, and develop new rational pharmacologic approaches to target drug resistant NSCLCs.
GPL10558_Group,GPL10558_Accession,GPL10558_Title,GPL10558_Source name,GPL10558_Treatment,GPL10558_Histology,GPL10558_Age,GPL10558_Gender,GPL10558_Race,GPL10558_Smoker,GPL10558_Pack-years
-,GSM2046026,H1299_rep1,H1299_rep1,Untreated,Large Cell,43,M,Caucasian,Smoker,50
-,GSM2046027,H1299_T5_rep1,H1299_T5_rep1,5 cycles of paclitaxel+carboplatin,Large Cell,43,M,Caucasian,Smoker,50
-,GSM2046028,H1299_T10_rep1,H1299_T10_rep1,10 cycles of paclitaxel+carboplatin,Large Cell,43,M,Caucasian,Smoker,50
-,GSM2046029,H1355_rep1,H1355_rep1,Untreated,Adenocarcinoma,53,M,Caucasian,Smoker,100
-,GSM2046030,H1355_T4_rep1,H1355_T4_rep1,4 cycles of paclitaxel+carboplatin,Adenocarcinoma,53,M,Caucasian,Smoker,100
-,GSM2046031,H1355_T8_rep1,H1355_T8_rep1,8 cycles of paclitaxel+carboplatin,Adenocarcinoma,53,M,Caucasian,Smoker,100
-,GSM2046032,H1299_rep2,H1299_rep2,Untreated,Large Cell,43,M,Caucasian,Smoker,50
-,GSM2046033,H1299_T5_rep2,H1299_T5_rep2,5 cycles of paclitaxel+carboplatin,Large Cell,43,M,Caucasian,Smoker,50
-,GSM2046034,H1299_T10_rep2,H1299_T10_rep2,10 cycles of paclitaxel+carboplatin,Large Cell,43,M,Caucasian,Smoker,50
-,GSM2046035,H1355_rep2,H1355_rep2,Untreated,Adenocarcinoma,53,M,Caucasian,Smoker,100
