# TITLE: Oncogenic KRAS mediates amino acid metabolism during nutrient stress via regulation of NRF2 and ATF4 in NSCLC
# SUMMARY: This SuperSeries is composed of the SubSeries listed below.
GPL10558_Group,GPL10558_Accession,GPL10558_Title,GPL10558_Source name,GPL10558_Cell line,GPL10558_Cell type,GPL10558_Q concentration,GPL10558_ShRNA
-,GSM2160094,H358 4mM Q,NSCLC cell line,H358,NSCLC,4mM,
-,GSM2160095,H358 0.5mM Q,NSCLC cell line,H358,NSCLC,0.5mM,
-,GSM2160096,H2009 4mM Q,NSCLC cell line,H2009,NSCLC,4mM,
-,GSM2160097,H2009 0.5mM Q,NSCLC cell line,H2009,NSCLC,0.5mM,
-,GSM2160098,A549 4mM Q,NSCLC cell line,A549,NSCLC,4mM,
-,GSM2160099,A549 0.5mM Q,NSCLC cell line,A549,NSCLC,0.5mM,
-,GSM2160100,H1792 4mM Q,NSCLC cell line,H1792,NSCLC,4mM,
-,GSM2160101,H1792 0.5mM Q,NSCLC cell line,H1792,NSCLC,0.5mM,
-,GSM2160102,H460 shGFP_high Q,NSCLC cell line,H460,NSCLC,4mM Q,shGFP
-,GSM2160103,H460 shKRAS_high Q,NSCLC cell line,H460,NSCLC,4mM Q,shKRAS
-,GSM2160104,A549 shGFP_high Q,NSCLC cell line,A549,NSCLC,4mM Q,shGFP
-,GSM2160105,A549 shKRAS_high Q,NSCLC cell line,A549,NSCLC,4mM Q,shKRAS
-,GSM2160106,H358 shGFP_high Q,NSCLC cell line,H358,NSCLC,4mM Q,shGFP
-,GSM2160107,H358 shKRAS_high Q,NSCLC cell line,H358,NSCLC,4mM Q,shKRAS
-,GSM2160108,H2009 shGFP_high Q,NSCLC cell line,H2009,NSCLC,4mM Q,shGFP
-,GSM2160109,H2009 shKRAS_high Q,NSCLC cell line,H2009,NSCLC,4mM Q,shKRAS
-,GSM2160110,H460 shGFP_low Q,NSCLC cell line,H460,NSCLC,0.5mM Q,shGFP
-,GSM2160111,A549 shGFP_low Q,NSCLC cell line,A549,NSCLC,0.5mM Q,shGFP
-,GSM2160112,H460 shKRAS_low Q,NSCLC cell line,H460,NSCLC,0.5mM Q,shKRAS
-,GSM2160113,A549 shKRAS_low Q,NSCLC cell line,A549,NSCLC,0.5mM Q,shKRAS
-,GSM2160114,H358 shGFP_low Q,NSCLC cell line,H358,NSCLC,0.5mM Q,shGFP
-,GSM2160115,H358 shKRAS_low Q,NSCLC cell line,H358,NSCLC,0.5mM Q,shKRAS
-,GSM2160116,H2009 shGFP_low Q,NSCLC cell line,H2009,NSCLC,0.5mM Q,shGFP
-,GSM2160117,H2009 shKRAS_low Q,NSCLC cell line,H2009,NSCLC,0.5mM Q,shKRAS
