# TITLE: Death receptor O-glycosylation controls tumor-cell sensitivity to the proapoptotic ligand Apo2L/TRAIL
# SUMMARY: Apo2L/TRAIL stimulates cancer-cell death through the proapoptotic receptors DR4 and DR5, but the determinants of tumor susceptibility to this ligand are not fully defined. mRNA expression of the peptidyl O-glycosyl transferase GALNT14 correlated with Apo2L/TRAIL sensitivity in pancreatic carcinoma, non-small cell lung carcinoma and melanoma cell lines (P < 0.00009; n=83), and up to 30% of samples from various human malignancies displayed GALNT14 overexpression. RNA interference of GALNT14 reduced cellular Apo2L/TRAIL sensitivity, whereas overexpression increased responsiveness. Biochemical analysis of DR5 identified several ectodomain O-GalNAc-Gal-Sialic acid structures. Sequence comparison predicted conserved extracellular DR4 and DR5 O-glycosylation sites; progressive mutation of the DR5 sites attenuated apoptosis signaling. O-glycosylation promoted ligand-stimulated clustering of DR4 and DR5, which mediated recruitment and activation of the apoptosis-initiating protease caspase-8. These results uncover a novel link between death receptor O-glycosylation and apoptosis signaling, providing potential predictive biomarkers for Apo2L/TRAIL-based cancer therapy. Keywords: cell type comparison
GPL570_Group,GPL570_Accession,GPL570_Title,GPL570_Source name,GPL570_Characteristics
-,GSM206438,624,"624 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206439,888,"888 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206440,527MEL,"527MEL cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206441,928MEL,"928MEL cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206442,A2058,"A2058 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206443,A375,"A375 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206444,A427,"A427 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206445,A549,"A549 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206446,ASPC1,"ASPC1 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206447,BxPC3,"BxPC3 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
-,GSM206448,C170,"C170 cell line, RPMI1640, 10%FBS, 2mM L-glutamine, 10mM HEPES",No treatment.  See ATCC/DSMZ for cell line details.
