model,version,trial,input_tokens,output_tokens,input_cost,output_cost
GPT-4.1-mini,v1,,1557106,208241,0.3114,0.1666
GPT-4.1-mini,v2,,1575330,72757,0.3151,0.0582
GPT-4.1-mini,v3,,1585514,74097,0.3171,0.0593
GPT-4o-mini,v1,,1557106,110253,0.1168,0.0331
GPT-4o-mini,v2,,1575330,63537,0.1181,0.0191
GPT-4o-mini,v3,,1585514,63279,0.1189,0.019
GPT-5-mini,v1,seed42,1556570,99364,0.1946,0.0994
GPT-5-mini,v2,seed42,1574794,85331,0.1968,0.0853
GPT-5-mini,v3,seed42,1584978,86328,0.1981,0.0863
GPT-5-mini,v3,seed43,1584978,86008,0.1981,0.086
GPT-5-mini,v3,seed44,1584978,85035,0.1981,0.085
GPT-5-mini,v3,seed45,1584978,85962,0.1981,0.086
GPT-5-mini,v3,seed46,1584978,85470,0.1981,0.0855
GPT-5-mini,v3,seed47,1584978,85902,0.1981,0.0859
GPT-5-mini,v3,seed48,1584978,85121,0.1981,0.0851
GPT-5-mini,v3,seed49,1584978,86782,0.1981,0.0868
GPT-5-mini,v3,seed50,1584978,86130,0.1981,0.0861
GPT-5-mini,v3,seed51,1584978,86480,0.1981,0.0865
o4-mini,v1,seed42,1556570,68329,0.8561,0.1503
o4-mini,v2,seed42,1574794,58632,0.8661,0.129
o4-mini,v3,seed42,1584978,58135,0.8717,0.1279
o4-mini,v3,seed43,1584978,58056,0.8717,0.1277
o4-mini,v3,seed44,1584978,57476,0.8717,0.1264
o4-mini,v3,seed45,1584978,58171,0.8717,0.128
o4-mini,v3,seed46,1584978,57806,0.8717,0.1272
o4-mini,v3,seed47,1584978,57963,0.8717,0.1275
o4-mini,v3,seed48,1584978,57738,0.8717,0.127
o4-mini,v3,seed49,1584978,58032,0.8717,0.1277
o4-mini,v3,seed50,1584978,58268,0.8717,0.1282
o4-mini,v3,seed51,1584978,57929,0.8717,0.1274
