Model,Version,Trial,File,true_positive,false_positive,false_negative,true_negative,total_files_evaluated,sensitivity,specificity,precision,accuracy,f1_score
GPT-4.1-mini,v1,,out-gpt-4.1-mini-edoc-proteom-paper-v1.jsonl,13,2,9,234,258,0.591,0.992,0.867,0.957,0.703
GPT-4.1-mini,v2,,out-gpt-4.1-mini-edoc-proteom-paper-v2.jsonl,14,4,8,232,258,0.636,0.983,0.778,0.953,0.7
GPT-4.1-mini,v3,,out-gpt-4.1-mini-edoc-proteom-paper-v3.jsonl,21,12,1,224,258,0.955,0.949,0.636,0.95,0.764
GPT-4o-mini,v1,,out-gpt-4o-mini-edoc-proteom-paper-v1.jsonl,15,34,7,202,258,0.682,0.856,0.306,0.841,0.423
GPT-4o-mini,v2,,out-gpt-4o-mini-edoc-proteom-paper-v2.jsonl,19,54,3,182,258,0.864,0.771,0.26,0.779,0.4
GPT-4o-mini,v3,,out-gpt-4o-mini-edoc-proteom-paper-v3.jsonl,20,47,2,189,258,0.909,0.801,0.299,0.81,0.449
GPT-5-mini,v1,seed42,out-gpt-5-mini-edoc-proteom-paper-v1-seed42.jsonl,15,7,7,229,258,0.682,0.97,0.682,0.946,0.682
GPT-5-mini,v2,seed42,out-gpt-5-mini-edoc-proteom-paper-v2-seed42.jsonl,15,7,7,229,258,0.682,0.97,0.682,0.946,0.682
GPT-5-mini,v3,seed42,out-gpt-5-mini-edoc-proteom-paper-v3-seed42.jsonl,20,16,2,220,258,0.909,0.932,0.556,0.93,0.69
GPT-5-mini,v3,seed43,out-gpt-5-mini-edoc-proteom-v3-43.jsonl,21,19,1,217,258,0.955,0.919,0.525,0.922,0.677
GPT-5-mini,v3,seed44,out-gpt-5-mini-edoc-proteom-v3-44.jsonl,21,17,1,219,258,0.955,0.928,0.553,0.93,0.7
GPT-5-mini,v3,seed45,out-gpt-5-mini-edoc-proteom-v3-45.jsonl,21,16,1,220,258,0.955,0.932,0.568,0.934,0.712
GPT-5-mini,v3,seed46,out-gpt-5-mini-edoc-proteom-v3-46.jsonl,21,21,1,215,258,0.955,0.911,0.5,0.915,0.656
GPT-5-mini,v3,seed47,out-gpt-5-mini-edoc-proteom-v3-47.jsonl,21,20,1,216,258,0.955,0.915,0.512,0.919,0.667
GPT-5-mini,v3,seed48,out-gpt-5-mini-edoc-proteom-v3-48.jsonl,20,20,2,216,258,0.909,0.915,0.5,0.915,0.645
GPT-5-mini,v3,seed49,out-gpt-5-mini-edoc-proteom-v3-49.jsonl,21,22,1,214,258,0.955,0.907,0.488,0.911,0.646
GPT-5-mini,v3,seed50,out-gpt-5-mini-edoc-proteom-v3-50.jsonl,20,20,2,216,258,0.909,0.915,0.5,0.915,0.645
GPT-5-mini,v3,seed51,out-gpt-5-mini-edoc-proteom-v3-51.jsonl,21,22,1,214,258,0.955,0.907,0.488,0.911,0.646
o4-mini,v1,seed42,out-o4-mini-edoc-proteom-paper-v1-seed42.jsonl,15,3,7,233,258,0.682,0.987,0.833,0.961,0.75
o4-mini,v2,seed42,out-o4-mini-edoc-proteom-paper-v2-seed42.jsonl,15,3,7,233,258,0.682,0.987,0.833,0.961,0.75
o4-mini,v3,seed42,out-o4-mini-edoc-proteom-paper-v3-seed42.jsonl,20,12,2,224,258,0.909,0.949,0.625,0.946,0.741
o4-mini,v3,seed43,out-o4-mini-edoc-proteom-v3-43.jsonl,20,11,2,225,258,0.909,0.953,0.645,0.95,0.755
o4-mini,v3,seed44,out-o4-mini-edoc-proteom-v3-44.jsonl,20,14,2,222,258,0.909,0.941,0.588,0.938,0.714
o4-mini,v3,seed45,out-o4-mini-edoc-proteom-v3-45.jsonl,20,11,2,225,258,0.909,0.953,0.645,0.95,0.755
o4-mini,v3,seed46,out-o4-mini-edoc-proteom-v3-46.jsonl,20,14,2,222,258,0.909,0.941,0.588,0.938,0.714
o4-mini,v3,seed47,out-o4-mini-edoc-proteom-v3-47.jsonl,20,11,2,225,258,0.909,0.953,0.645,0.95,0.755
o4-mini,v3,seed48,out-o4-mini-edoc-proteom-v3-48.jsonl,20,13,2,223,258,0.909,0.945,0.606,0.942,0.727
o4-mini,v3,seed49,out-o4-mini-edoc-proteom-v3-49.jsonl,20,14,2,222,258,0.909,0.941,0.588,0.938,0.714
o4-mini,v3,seed50,out-o4-mini-edoc-proteom-v3-50.jsonl,20,13,2,223,258,0.909,0.945,0.606,0.942,0.727
o4-mini,v3,seed51,out-o4-mini-edoc-proteom-v3-51.jsonl,21,17,1,219,258,0.955,0.928,0.553,0.93,0.7
