custom_id,error,model,Q1,Q2,Q2a,Q3,Q4,Q5,in_actual
PXD010372,,o4-mini-2025-04-16,Yes | justification: Title and description focus on high-grade serous ovarian cancer (HGSOC) and CT45 as a target in ovarian cancer,No | evidence: Description only mentions platinum‐resistant and platinum‐sensitive HGSOC patient tumors | justification: No healthy or non‐cancer control samples are described,Not applicable | evidence: No healthy controls reported | justification: Cannot assess proportion without any control samples,"Yes | justification: Study performs quantitative proteomics, phosphoproteomics, interaction proteomics, and immunopeptidomics",meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Dataset is ovarian cancer proteomics but lacks healthy controls,No,False
PXD036969,,o4-mini-2025-04-16,"No | justification: The study focuses on Long COVID Syndrome and plasma profiling, not ovarian cancer.",Yes | evidence: Three groups include healthy individuals vaccinated against SARS-CoV-2 without virus exposure. | justification: The dataset contains a healthy control group of vaccinated individuals.,Unclear | evidence: Description lists three groups but does not specify exact sample counts or percentages. | justification: No explicit numbers provided to determine if healthy controls constitute ≥20%.,Yes | justification: The study includes label-free proteome profiling of plasma samples.,"meets ovarian cancer criterion: No | meets healthy controls criterion: Yes | meets proteomics criterion: Yes | justification: Although the dataset contains healthy controls and uses proteomics, it is not about ovarian cancer.",No,False
PXD051500,,o4-mini-2025-04-16,Yes | justification: Study performed on exosomes from platinum-sensitive and -resistant epithelial ovarian cancer (EOC) patients.,No | evidence: Description only mentions ovarian cancer patients (platinum-sensitive and -resistant). | justification: No healthy control samples are described.,Not applicable | evidence: No healthy controls included. | justification: Sample composition for healthy controls cannot be assessed.,Yes | justification: 4D data-independent acquisition (DIA) proteomic sequencing was performed on exosome samples.,meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Dataset focuses on ovarian cancer and uses proteomics but lacks healthy control samples.,No,False
PXD019223,,o4-mini-2025-04-16,Yes | justification: Description focuses on LKB1 kinase in epithelial ovarian cancer spheroid viability and metastasis.,No | evidence: No mention of healthy control samples in the description. | justification: The dataset description does not indicate inclusion of any healthy control samples.,"Not applicable | evidence: No sample composition details provided. | justification: Because no healthy controls are mentioned, composition criteria cannot be assessed.",Yes | justification: The use of MIB (multiplex inhibitor beads) and TripleTOF5600 mass spectrometer indicates proteomic profiling.,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Although the dataset addresses ovarian cancer using proteomic methods, it lacks healthy control samples, failing the healthy controls criterion.",No,False
PXD040430,,o4-mini-2025-04-16,No | justification: The study focuses on PARP inhibitor resistance mechanisms in isogenic cell lines and a single case of BRCA1 mutant cancer rather than profiling an ovarian cancer patient cohort.,No | evidence: Description does not mention inclusion of healthy control samples. | justification: No healthy control samples are described.,Not applicable | justification: No healthy controls present.,No | justification: The data describe molecular biology and protein expression in cell lines but do not report a proteomics (mass spectrometry–based) dataset.,"meets ovarian cancer criterion: No | meets healthy controls criterion: No | meets proteomics criterion: No | justification: The dataset is not a proteomic study of ovarian cancer patient samples and lacks healthy controls, so it fails all inclusion criteria.",No,False
PXD005420,,o4-mini-2025-04-16,Yes | justification: Title and description focus on serous ovarian cancer tumor microenvironment,"Yes | evidence: ‘biopsies including Tumor, Borderline and healthy regions of serous ovarian cancers’ | justification: Healthy tissue regions are explicitly included",Unclear | evidence: No explicit numbers or percentages of healthy vs tumor samples provided | justification: Cannot determine whether healthy samples constitute ≥20% without counts,Yes | justification: Study uses MALDI MSI and top‐down tissue microproteomics,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: Yes | meets proteomics criterion: Yes | justification: Dataset is ovarian cancer–focused, includes healthy controls, and employs proteomic methods",Yes,False
PXD001849,,o4-mini-2025-04-16,No | justification: The dataset is described as ‘gynecologic cancer’ tissue without specific mention of ovarian cancer.,No | evidence: Description does not mention any healthy or normal control samples. | justification: No healthy controls are described.,Not applicable | evidence: No healthy control samples reported. | justification: Cannot assess proportion without any controls.,Yes | justification: The study uses iTRAQ shotgun proteomics on cancer tissues.,"meets ovarian cancer criterion: No | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Fails to focus on ovarian cancer and lacks healthy controls, though it is a proteomics study.",No,False
PXD005554,,o4-mini-2025-04-16,Yes | justification: Dataset includes omental metastasis samples derived from high-grade serous ovarian cancer and disease-free omentum from a patient with ovarian cancer.,No | evidence: Only ‘disease-free omentum’ from ovarian cancer patients and matched adjacent normal mammary gland tissues from breast cancer patients are provided. | justification: No samples from disease-free healthy individuals are included; normal tissues are from cancer patients.,"Not applicable | evidence: No healthy control samples from disease-free individuals. | justification: Healthy controls criterion not met, so composition cannot be assessed.",Yes | justification: LC-MS/MS analysis of ECM-enriched samples confirms proteomics methodology.,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Although the dataset includes ovarian cancer proteomics data, it lacks healthy control samples from disease-free individuals, failing the healthy controls criterion.",No,False
PXD033569,,o4-mini-2025-04-16,Yes | justification: Study uses A2780 ovarian cancer cell line to investigate La protein function in ovarian cancer.,"No | evidence: Control group (NC) consists of the same ovarian cancer cells with non-targeting lentivirus, not healthy samples. | justification: No healthy subjects or non-cancerous controls are included; both groups are cancer cell lines.",Not applicable | evidence: No healthy control samples reported | justification: Healthy control composition criterion does not apply when no healthy controls are present.,Yes | justification: Proteomic analysis was conducted using TMT labeling and mass spectrometry on cell samples.,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Although the study is on ovarian cancer and uses proteomics, it lacks any healthy control samples, failing criterion 2.",No,False
PXD055375,,o4-mini-2025-04-16,Yes | justification: Title and description indicate study of HDAC inhibitor targets in ovarian cancer cell types.,"No | evidence: Description mentions only ovarian cancer and leukemia cell types, no healthy control samples. | justification: No indication of healthy (non‐diseased) control samples.",Not applicable | evidence: No healthy controls reported. | justification: Criterion 2 failed.,"Yes | justification: Study uses proteome integral solubility alteration (PISA), a proteomics method.",meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Dataset is on ovarian cancer and uses proteomics but lacks healthy control samples.,No,False
