model,version,trial,input_tokens,output_tokens,input_cost,output_cost
GPT-4.1-mini,v1,,128377,39932,0.0257,0.0319
GPT-4.1-mini,v2,,133537,39354,0.0267,0.0315
GPT-4.1-mini,v3,,143341,47084,0.0287,0.0377
GPT-4o-mini,v1,,128377,46952,0.0096,0.0141
GPT-4o-mini,v2,,133537,47029,0.01,0.0141
GPT-4o-mini,v3,,143341,52839,0.0108,0.0159
GPT-5-mini,v1,seed42,128119,59854,0.016,0.0599
GPT-5-mini,v2,seed42,133279,59763,0.0167,0.0598
GPT-5-mini,v3,seed42,143083,64689,0.0179,0.0647
GPT-5-mini,v3,seed43,143083,64929,0.0179,0.0649
GPT-5-mini,v3,seed44,143083,63978,0.0179,0.064
GPT-5-mini,v3,seed45,143083,64589,0.0179,0.0646
GPT-5-mini,v3,seed46,143083,64547,0.0179,0.0645
GPT-5-mini,v3,seed47,143083,65950,0.0179,0.0659
GPT-5-mini,v3,seed48,143083,65732,0.0179,0.0657
GPT-5-mini,v3,seed49,143083,65723,0.0179,0.0657
GPT-5-mini,v3,seed50,143083,65479,0.0179,0.0655
GPT-5-mini,v3,seed51,143083,65392,0.0179,0.0654
o4-mini,v1,seed42,128119,40321,0.0705,0.0887
o4-mini,v2,seed42,133279,39706,0.0733,0.0874
o4-mini,v3,seed42,143083,44264,0.0787,0.0974
o4-mini,v3,seed43,143083,44507,0.0787,0.0979
o4-mini,v3,seed44,143083,43935,0.0787,0.0967
o4-mini,v3,seed45,143083,44609,0.0787,0.0981
o4-mini,v3,seed46,143083,44698,0.0787,0.0983
o4-mini,v3,seed47,143083,44029,0.0787,0.0969
o4-mini,v3,seed48,143083,44056,0.0787,0.0969
o4-mini,v3,seed49,143083,44234,0.0787,0.0973
o4-mini,v3,seed50,143083,44337,0.0787,0.0975
o4-mini,v3,seed51,143083,44004,0.0787,0.0968
